Country,EXPOSED VALUE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods
Country,National,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500
Country,million US$,million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%]
Afghanistan,60187.9,317.83,0.53,637.57,1.06,1034.61,1.72,1800.74,2.99,2585.25,4.3,3514.64,5.84,4070.92,6.76,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,585.1699419,0.97223851,1045.4424,1.736964406,1304.836191,2.167937727,1662.178063,2.76164821,1749.645544,2.906972238,1924.580505,3.197620294,2099.515466,3.48826835
Albania,40459.7,112.83,0.28,239.07,0.59,412.61,1.02,817.76,2.02,1308.38,3.23,1992.98,4.93,2495.49,6.17,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,207.1011055,0.511870097,463.0508986,1.144474375,559.4568154,1.382750775,985.9901863,2.436968604,1152.001339,2.847280971,1342.639991,3.318462546,1434.570014,3.54567635
Algeria,899206,2965.76,0.33,5719.85,0.64,8834.51,0.98,14487.39,1.61,19624.9,2.18,25377.2,2.82,28956.58,3.22,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,733.6121298,0.081584434,1747.368783,0.194323524,2455.765743,0.273103799,5227.693307,0.581367707,6507.867777,0.723734915,7652.708961,0.851051813,8032.451716,0.893282709
American Samoa,1930.49,0.39,0.02,2.46,0.13,7.18,0.37,21.09,1.09,39.03,2.02,63.67,3.3,81.13,4.2,30.27,1.57,378.56,19.61,496.65,25.73,554.09,28.7,647.04,33.52,649.55,33.65,652.06,33.78,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Andorra,8381.65,0.19,0,0.39,0,0.64,0.01,1.59,0.02,3.66,0.04,8.46,0.1,14,0.17,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Angola,176183,11.01,0.01,35.66,0.02,67.93,0.04,166.9,0.09,332.88,0.19,639.83,0.36,902.12,0.51,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1144.973472,0.649877384,2017.694758,1.145226701,2238.836871,1.270745118,2478.659079,1.406866201,2874.601619,1.631599882,3449.004383,1.957626095,3781.001249,2.146064745
Anguilla,865.496,14.72,1.7,46.74,5.4,91.19,10.54,170.15,19.66,232.18,26.83,296.68,34.28,330.33,38.17,52.45,6.06,133.37,15.41,270.28,31.23,383.49,44.31,419.78,48.5,492.36,56.89,497.56,57.49,79.97,9.24,127.61,14.74,163.34,18.87,197.85,22.86,212.01,24.5,212.04,24.5,212.07,24.5,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Antigua and Barbuda,6257.29,147.35,2.35,323.82,5.18,489.18,7.82,735.46,11.75,942.71,15.07,1137.05,18.17,1270.59,20.31,876.67,14.01,3056.16,48.84,3814.43,60.96,4319.25,69.03,---,---,---,---,---,---,444.21,7.1,834.5,13.34,1184.09,18.92,1654.31,26.44,1880.62,30.05,2188.42,34.97,2239.48,35.79,---,---,---,---,---,---,---,---,2.47,0.04,10.65,0.17,18.62,0.3,,,,,,,,,,,,,,
Argentina,1380560,3505.79,0.25,7077.08,0.51,10551.61,0.76,15760.37,1.14,19805.08,1.43,23889.28,1.73,26288.67,1.9,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3044.116394,0.220498667,5661.090809,0.410057571,8110.660033,0.587490586,12126.79617,0.878396895,16022.725,1.160596062,20878.86228,1.512347329,22521.60769,1.631338565
