Country,Country name,Region,GA,Hazard,Exposed Value (from GED),AAL,PML 20 years,PML 50 years,PML 100 years,PML 250 years,PML 500 years,PML 1000 years,PML 1500 years,,,
AFG,Afghanistan,South Asia,,No,60187.9,0,0,0,0,0,0,0,0,,,
AUS,Australia,East Asia and the Pacific,Yes,Yes,6616530,1076.23,3355.6,3917.02,4610.1,4613.35,4618.76,4629.58,4640.4,,,
BGD,Bangladesh,South Asia,,Yes,381432,23.35,147.65,247.68,305.42,369.31,433.09,461.97,490.85,,,
BRN,Brunei,East Asia and the Pacific,,Yes,71236.5,0,0,0,0,0,0,0,0,,,
BTN,Bhutan,South Asia,,No,11083.7,0,0,0,0,0,0,0,0,,,
CHN,China,East Asia and the Pacific,,Yes,31726100,4834,8136.54,9531.32,10298.59,12117.15,12248.62,12511.56,12774.49,,,
FJI,Fiji,East Asia and the Pacific,Yes,Yes,11571,85.05,646.89,818.52,907.78,1025.85,1042.64,1076.23,1109.81,,,
FSM,Micronesia,East Asia and the Pacific,,Yes,1347.82,2.07,1.85,49.46,68.04,81.41,94.59,100.09,101.74,,,
HKG,Hong Kong,East Asia and the Pacific,,Yes,1250060,898.23,5650.54,8539.95,9688.13,11340.84,11759.2,12595.92,13432.64,,,
IDN,Indonesia,East Asia and the Pacific,Yes,Yes,2827830,37.86,329.13,481,481.01,481.03,481.06,481.12,481.18,,,
IND,India,South Asia,Yes,Yes,5769370,726.92,3767.52,4311.67,4526.74,5171.93,5540,5540,5540,,,
IRN,Iran,Middle East and North Africa,,Yes,2067640,0,0,0,0,0,0,0,0,,,
JPN,Japan,East Asia and the Pacific,,Yes,39255200,17812.27,33910.03,40525.86,45243.59,49145.19,55647.87,58872.81,59225.74,,,
KAZ,Kazakhstan,Europe and Central Asia,,No,734310,0,0,0,0,0,0,0,0,,,
KGZ,Kyrgizstan,Europe and Central Asia,,No,18466.6,0,0,0,0,0,0,0,0,,,
KHM,Cambodia,East Asia and the Pacific,,Yes,27390.5,0,0,0,0,0,0,0,0,,,
KIR,Kiribati,East Asia and the Pacific,,No,595.115,0,0,0,0,0,0,0,0,,,
KOR,South Korea,East Asia and the Pacific,,Yes,5538600,7688.85,32448.8,44607.99,50115.44,58999.94,60040.48,62121.55,64202.62,,,
LAO,Laos,East Asia and the Pacific,,No,21925.6,0,0,0,0,0,0,0,0,,,
LKA,Sri Lanka,South Asia,Yes,Yes,208274,18.57,22.65,385,385,385.01,385.01,385.02,385.04,,,
MAC,Macau,East Asia and the Pacific,,No,56709.1,0,0,0,0,0,0,0,0,,,
MDV,Maldives,South Asia,,No,7443.12,0,0,0,0,0,0,0,0,,,
MHL,Marshall Islands,East Asia and the Pacific,,No,766.314,0,0,0,0,0,0,0,0,,,
MMR,Myanmar,East Asia and the Pacific,,Yes,195390,40.61,240.52,479.07,570.46,602.73,623.86,666.12,708.38,,,
MNG,Mongolia,East Asia and the Pacific,,No,36587.6,0,0,0,0,0,0,0,0,,,
MYS,Malaysia,East Asia and the Pacific,,Yes,1170980,0,0,0,0,0,0,0,0,,,
NCL,New Caledonia,East Asia and the Pacific,Yes,Yes,17113.3,258.21,919.31,1168.78,1312.54,1325.65,1347.5,1391.2,1434.9,,,
NPL,Nepal,South Asia,,No,53996.6,0,0,0,0,0,0,0,0,,,
NZL,New Zealand,East Asia and the Pacific,Yes,Yes,679705,323.42,1290.38,3143.82,3830.06,3830.34,3830.82,3831.77,3832.72,,,
PAK,Pakistan,South Asia,Yes,Yes,502344,18.1,136.33,272.18,294.43,344,344,344.01,344.02,,,
PHL,Philippines,East Asia and the Pacific,Yes,Yes,566949,2541.62,2485.84,3118.53,3827.86,4008.12,4308.56,4909.43,5040.6,,,
PLW,Palau,East Asia and the Pacific,,Yes,780.067,0.93,3.08,10.27,33.6,38.1,42.38,47.1,47.11,,,
PNG,Papua New Guinea,East Asia and the Pacific,,Yes,47017.9,0.56,2.25,12.79,16.26,19.84,20.13,20.7,21.27,,,
PRK,North Korea,East Asia and the Pacific,,Yes,77982.1,1.95,9.02,17.47,21,22.34,23.49,25.77,28.06,,,
PYF,French Polynesia,East Asia and the Pacific,,No,22002,0,0,0,0,0,0,0,0,,,
SGP,Singapore,East Asia and the Pacific,,No,1126580,0,0,0,0,0,0,0,0,,,
SLB,Solomon Islands,East Asia and the Pacific,Yes,Yes,3693.47,18.42,127.46,229.9,256.03,300.01,300.05,300.14,300.23,,,
THA,Thailand,East Asia and the Pacific,Yes,Yes,1379000,0,0,0,0,0,0,0,0,,,
TJK,Tajikistan,Europe and Central Asia,,No,20536.9,0,0,0,0,0,0,0,0,,,
TKM,Turkmenistan,Europe and Central Asia,,No,36127,0,0,0,0,0,0,0,0,,,
TLS,Timor-Leste,East Asia and the Pacific,,No,12524.2,0,0,0,0,0,0,0,0,,,
TON,Tonga,East Asia and the Pacific,,Yes,1303.32,0,0,0,0,0,0,0,0,,,
TUV,Tuvalu,East Asia and the Pacific,,No,123.265,0,0,0,0,0,0,0,0,,,
TWN,Taiwan,East Asia and the Pacific,,Yes,1680400,1494.08,2748.16,3087.82,3603.04,3698.75,3858.27,4177.31,4496.34,,,
UZB,Uzbekistan,Europe and Central Asia,,No,151891,0,0,0,0,0,0,0,0,,,
VNM,Vietnam,East Asia and the Pacific,,Yes,487574,40.93,110.56,175.26,212.61,241.42,265.67,303.35,304.85,,,
VUT,Vanuatu,East Asia and the Pacific,Yes,Yes,2809.61,23.82,62.11,80.01,94.59,103.02,103.05,103.13,103.2,,,
WSM,Samoa,East Asia and the Pacific,,No,1930.49,0,0,0,0,0,0,0,0,,,
BWA,Botswana,Sub-Saharan Africa,,No,90628.6,0,0,0,0,0,0,0,0,,,
COG,Congo,Sub-Saharan Africa,,No,69047.7,0,0,0,0,0,0,0,0,,,
AGO,Angola,Sub-Saharan Africa,,No,176183,0,0,0,0,0,0,0,0,,,
LSO,Lesotho,Sub-Saharan Africa,,No,17938,0,0,0,0,0,0,0,0,,,
CMR,Cameroon,Sub-Saharan Africa,,No,81683.7,0,0,0,0,0,0,0,0,,,
DJI,Djibouti,Middle East and North Africa,,No,4744.66,0,0,0,0,0,0,0,0,,,
ERI,Eritrea,Sub-Saharan Africa,,No,9081.79,0,0,0,0,0,0,0,0,,,
KEN,Kenya,Sub-Saharan Africa,,No,98382.7,0,0,0,0,0,0,0,0,,,
GAB,Gabon,Sub-Saharan Africa,,No,120252,0,0,0,0,0,0,0,0,,,
COM,Comoros,Sub-Saharan Africa,,Yes,1426.14,0.3,1.13,4.62,7.58,8.75,8.83,8.99,9.14,,,
GHA,Ghana,Sub-Saharan Africa,,No,74174,0,0,0,0,0,0,0,0,,,
GNB,Guinea-Bissau,Sub-Saharan Africa,,No,2029.35,0,0,0,0,0,0,0,0,,,
BEN,Benin,Sub-Saharan Africa,,No,21971.9,0,0,0,0,0,0,0,0,,,
BFA,Burkina Faso,Sub-Saharan Africa,,No,24689.4,0,0,0,0,0,0,0,0,,,
MYT,Mayotte,Sub-Saharan Africa,,Yes,6949.04,6.12,29.92,62.8,196.12,244.77,267.48,312.04,313.82,,,
MRT,Mauritania,Sub-Saharan Africa,,No,11985.5,0,0,0,0,0,0,0,0,,,
BDI,Burundi,Sub-Saharan Africa,,No,3616.17,0,0,0,0,0,0,0,0,,,
CIV,Ivory Coast,Sub-Saharan Africa,,No,45467.6,0,0,0,0,0,0,0,0,,,
CPV,Cape Verde,Sub-Saharan Africa,,No,7137.79,0,0,0,0,0,0,0,0,,,
ETH,Ethiopia,Sub-Saharan Africa,,No,65598.9,0,0,0,0,0,0,0,0,,,
LBR,Liberia,Sub-Saharan Africa,,No,1911.24,0,0,0,0,0,0,0,0,,,
NER,Niger,Sub-Saharan Africa,,No,12723.5,0,0,0,0,0,0,0,0,,,
STP,Sao Tome And Principe,Sub-Saharan Africa,,No,2122.7,0,0,0,0,0,0,0,0,,,
SWZ,Swaziland,Sub-Saharan Africa,,No,13701.2,0,0,0,0,0,0,0,0,,,
SYC,Seychelles,Sub-Saharan Africa,,Yes,6234.98,0,0,0,0,0,0,0,0,,,
