,social_p,social_r,ILO_total,ILO_social,year,share1,PV_EST,PV_PER_RNK,PV_PER_RNK_UPPER,PV_STD_ERR,GE_EST,GE_PER_RNK,GE_PER_RNK_UPPER,GE_STD_ERR,RQ_EST,RQ_PER_RNK,RQ_PER_RNK_UPPER,RQ_STD_ERR,remittance_usd,remittance_gdp,gdp,incomeLevel,region,is_eca,gini,FSR,social_p_est1,social_p_est2,social_p_est2_nofsr,social_p_est2_fsr,social_p_est3,social_p_est4,social_p_est,social_r_est
Afghanistan,,,5.6,1.99,2011.0,,-2.4580669403076203,2.9126212596893297,5.79710149765015,0.221862941980362,-1.34412062168121,8.17307662963867,16.746412277221697,0.2313312292099,-1.12695050239563,11.5384616851807,23.9234447479248,0.19101056456565896,268060745.211873,1.3377476141446398,61132547122.9643,Low income,South Asia,False,,False,0.08619870689271762,0.06525139766525793,0.06975349858004912,,0.07452622062344619,0.03278675186475444,0.07452622062344619,0.09070591012439887
Albania,0.2629495641629598,0.17935972626416474,10.83,8.15,2011.0,0.0885,0.473254770040512,61.65048599243161,75.36231994628909,0.20479880273342105,-0.0706450566649437,51.9230766296387,63.6363639831543,0.214526772499084,0.225227430462837,60.5769233703613,68.8995208740234,0.17967614531517004,1141665181.67832,8.64144113529657,32151736049.6334,Upper middle income,Europe & Central Asia (all income levels),True,28.96,True,0.3906354913595444,0.5348755261185449,,0.6243774176460604,0.5351130798602004,0.5432702029131429,0.5351130798602004,0.2376479368052081
Algeria,,,8.53,5.36,2011.0,,-1.17141842842102,10.1941747665405,18.8405799865723,0.209124550223351,-0.5118632316589361,33.6538467407227,45.45454406738279,0.190354973077774,-1.20655655860901,9.61538505554199,19.6172256469727,0.18491402268409696,304151072.046077,0.142447182871522,552609735401.293,Upper middle income,Middle East & North Africa (all income levels),False,35.33,False,0.2607990033874538,0.21988524607891818,0.2285730957857155,,0.2277288125041308,0.17533715868132624,0.2277288125041308,0.11937310994856619
American Samoa,,,,,,,1.12646758556366,89.3203887939453,99.51690673828129,0.3207258582115169,0.417159289121628,70.1923065185547,85.64593505859379,0.459674477577209,0.175328105688095,58.1730766296387,81.339714050293,0.53016859292984,,,,Upper middle income,East Asia & Pacific (all income levels),False,,False,,,,,,,,
Andorra,,,,,,,1.33159673213959,97.0873794555664,99.51690673828129,0.3207258582115169,1.6782146692276,93.75,100.0,0.459674477577209,0.8546114563941959,77.4038467407227,94.7368392944336,0.53016859292984,,,,High income: nonOECD,Europe & Central Asia (all income levels),True,,False,,,,,,,,
Angola,,,6.79,4.64,2011.0,,-0.273348599672318,34.466018676757805,48.30917739868161,0.209124550223351,-1.14691305160522,12.980769157409696,18.6602878570557,0.182274475693703,-0.96201628446579,16.826923370361303,28.2296657562256,0.17910851538181302,45379.90324647031,3.25246008780078e-05,152477494308.397,Upper middle income,Sub-Saharan Africa (all income levels),False,42.72,False,0.17476244759793913,0.13007114261602182,0.1398549942819318,,0.14076171478918545,0.13537972821715316,0.14076171478918545,0.1041555722992187
Anguilla,,,,,,,1.26575016975403,94.6601943969727,99.51690673828129,0.27711081504821805,0.9215814471244808,77.4038467407227,93.3014373779297,0.459674477577209,0.8546114563941959,77.4038467407227,94.7368392944336,0.53016859292984,,,,,,,,False,,,,,,,,
Antigua and Barbuda,,,7.09,3.05,2011.0,,0.9573606252670293,81.5533981323242,98.06763458251949,0.27711081504821805,-0.0872628912329674,50.0,72.7272720336914,0.459674477577209,0.514969825744629,68.75,89.4736862182617,0.53016859292984,21127350.738,1.73036575213085,2006791858.61138,High income: nonOECD,Latin America & Caribbean (all income levels),False,,False,0.2691955349517821,0.2500395894833835,0.2527719634658106,,0.25357091868138926,0.25407873821220933,0.25357091868138926,0.12236347029512061
Argentina,0.2001534455359978,0.14264750646937888,18.13,12.79,2010.0,0.0458,0.07525200396776201,49.029125213623,59.4202880859375,0.19970490038394895,-0.182003036141396,45.6730766296387,59.8086128234863,0.19348980486393,-1.0789178609848,12.980769157409696,24.401914596557607,0.180651679635048,502077244.396272,0.0933819272193551,,High income: nonOECD,Latin America & Caribbean (all income levels),False,42.28,False,0.3731279233521063,0.30495253349098606,0.31655980819216517,,0.3117874004060761,0.262248224313632,0.3117874004060761,0.13592520044505205
Armenia,0.5050600974072442,0.2457265032536369,8.61,6.97,2013.0,0.0877,-0.205437257885933,37.8640785217285,52.6570053100586,0.209124550223351,-0.169273406267166,46.15384674072271,60.76554870605471,0.198865324258804,0.217384174466133,60.096153259277294,67.9425811767578,0.178614243865013,2078618314.8008895,17.8507390334771,24258831575.955,Lower middle income,Europe & Central Asia (all income levels),True,31.54,True,0.41266259781554643,0.5278181848463802,,0.6368334397908033,0.5150502047688578,0.5304342055354139,0.5150502047688578,0.2338265132880162
