country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,share1_orig,urbanization_rate,gdp_pc_cd,axfin_p,axfin_r,social_p,social_r
Afghanistan,1802.695566,1739.583177,34656032,,,0.27132,561.7787463,0.02233598,0.04460866,0.111074297,0.043162523
Albania,11359.1704,11424.62832,2876101,0.089,0.089,0.58376,4146.89625,0.04461803,0.09645449,0.243888298,0.168005653
Algeria,13921.18002,13974.66622,40606052,0.094,0.094,0.71304,3843.752322,0.1018003,0.1647805,,
American Samoa,,,55599,,,0.87148,11541.85498,,,,
Andorra,,,77281,,,0.84612,40215.43532,,,,
Angola,5984.640422,6024.726138,28813463,0.054,0.054,0.44819,3110.808183,0.0402588,0.2220807,,
Antigua and Barbuda,21013.01763,20777.61308,100963,0.0103,0.0103,0.23393,14353.37881,0.153,0.153,,
Arab World,15506.22982,15533.69477,406452690,,,0.580939286,6153.069547,,,,
Argentina,18489.43489,10405,43847430,0.05,0.048,0.91893,12449.21685,0.01099222,0.06069045,0.200153446,0.145651065
Armenia,8190.239289,8174.366732,2924816,0.079,0.082,0.62558,3606.152057,0.004417139,0.02506004,0.733632664,0.317179551
Aruba,,35973.78051,104822,,,0.41304,25324.72036,,,,
Australia,44260.57597,44414.02948,24127159,0.073,0.073,0.89554,49927.81951,0.4856016,0.702807,,
Austria,44438.72482,44143.70016,8747358,0.079,0.081,0.66032,44176.51522,0.4861395,0.6850328,,
Azerbaijan,16001.3234,15994.00974,9762274,0.084,0.084,0.54895,3876.936433,0.04266026,0.06077156,0.857128962,0.386053296
"Bahamas, The",20878.86949,21481.7261,391232,,,0.82951,23124.38655,,,,
Bahrain,,44507.82996,1425171,,,0.88835,22354.16707,0.2638231,0.4028472,,
Bangladesh,3319.353556,3319.353556,162951560,0.086,0.089,0.35035,1358.779752,0.03864263,0.09956344,0.063258356,0.145820582
Barbados,16750.52593,15588.26899,284996,,,0.31415,16096.89259,,,,
Belarus,16752.09877,16742.2555,9507120,0.096,0.095,0.77046,4989.254611,0.07855246,0.1958292,0.713104557,0.385745929
Belgium,42094.57905,41945.69212,11348159,0.086,0.086,0.97897,41096.1573,0.4867135,0.6023575,,
Belize,7846.015832,7831.454486,366954,0.0321,0.0321,0.43845,4810.565902,0.1267646,0.2864756,0.42036753,0.112876376
Benin,2009.961384,2009.961384,10872298,0.032,0.032,0.44395,789.4404107,0.0402082,0.09291302,0.047258796,0.074529866
Bermuda,,50669.31477,65331,,,1,85748.06541,,,,
Bhutan,8253.293783,8105.796967,797765,0.067,0.067,0.39377,2804.000223,0.1739075,0.2584666,0.024656816,0.018314412
Bolivia,6707.956184,6707.956184,10887882,0.039,0.038,0.68911,3104.956089,0.1129292,0.3135603,0.410258289,0.129052762
Bosnia and Herzegovina,11327.48741,11179.34991,3516816,0.077,0.073,0.3994,4708.718261,0.05371241,0.1112821,0.222205844,0.125427609
