,avg_prod_k,Y,Ktot
Anguilla,0.08939670947592271,294.6552429199219,3296.041259765625
Antigua and Barbuda,0.1965798305897395,1363.846923828125,11773.296875
Aruba,0.2900954091368279,3716.979248046875,32336.228515625
"Bahamas, The",0.17814358167191324,8009.97265625,42922.21484375
Bahrain,0.3167842477995807,52476.3203125,226229.953125
Barbados,0.30097955403576265,2830.75634765625,15839.5302734375
Belize,0.26768435101768434,2736.4658203125,5175.43603515625
Bermuda,0.18616346548104687,2286.531494140625,12282.3857421875
Cape Verde,0.2645166713365088,3289.493408203125,14981.5830078125
Cayman Islands,0.018668842258921473,266.87115478515625,14295.0029296875
Comoros,0.46093969144460023,1170.0550537109375,2337.47119140625
Cuba,0.3900885552741554,68233.9,174919.0
Dominica,0.2489250493096647,655.7547607421875,2189.09619140625
Dominican Republic,0.2998107066720086,131433.609375,433194.9375
Fiji,0.3481038803906317,6304.34814453125,16197.642578125
Grenada,0.18387786596119932,1121.628173828125,5848.6083984375
Guinea-Bissau,0.4231887629374076,2262.511474609375,5404.1005859375
Guyana,0.38084819217434374,3075.73,8076.0
Haiti,0.1333669537730951,17441.189453125,130775.9453125
Jamaica,0.20311210419878095,20034.494140625,135654.890625
Kiribati,0.28394957983193275,168.95,595.0
Maldives,0.30899368534193206,6041.84814453125,13602.8427734375
Mauritius,0.26998959699669817,22719.138671875,84453.671875
New Caledonia,0.1567434114415941,2682.35,17113.0
Papua New Guinea,0.32518120719724364,15289.37,47018.0
Puerto Rico,0.3918303323939312,101495.811,259030.0
Sao Tome and Principe,0.1463447951012718,634.81005859375,4084.982421875
Seychelles,0.21854769867246696,2345.4033203125,10731.7685546875
Singapore,0.2644643106949859,363712.1875,1607120.25
Solomon Islands,0.29688600054156516,1096.4,3693.0
St. Kitts and Nevis,0.1806809338521401,1140.0406494140625,7831.755859375
St. Lucia,0.3962581796549673,1898.5697021484375,7987.611328125
St. Vincent and the Grenadines,0.1332927780170586,934.7730102539062,7012.9306640625
Suriname,0.5436590436590436,7784.78955078125,38824.8515625
Timor-Leste,0.12895241137016927,1615.0,12524.0
Tonga,0.3578357636224098,466.26,1303.0
Trinidad and Tobago,0.3587566245413779,41967.9921875,195334.109375
Turks and Caicos Islands,0.03623195703615049,76.52485656738281,2112.081787109375
Vanuatu,0.297067615658363,834.76,2810.0
"Virgin Islands, British",0.2912124137276223,786.23974609375,2699.884033203125
