country,income_cat,n,c,axfin,gamma_SP,k,fa,shew
Albania,nonpoor,0.8,13009.795497919626,0.09645449,1.0947430984172037,70791.58711520016,0.019647835158194182,0.0
Albania,poor,0.2,5083.959601821501,0.04461803,0.6210276063311843,25140.786146868635,0.018865034135988532,0.0
Angola,nonpoor,0.8,7124.238658362375,0.22208070000000002,1.1604757421563552,16512.572963163704,0.0025013245537822528,0.0
Angola,poor,0.2,1626.6760573005001,0.040258800000000004,0.358097031374579,3616.24950682721,0.011065528371385058,0.0
Argentina,nonpoor,0.8,12381.949999999999,0.06069045,1.1690029326255191,46076.80859783711,0.0076083589721786995,0.8000000000000004
Argentina,poor,0.2,2497.2,0.01099222,0.3239882694979223,8699.976258471756,0.007982847915511909,0.8000000000000004
Armenia,nonpoor,0.8,9380.085824648699,0.02506004,1.035962983705468,26926.680008478706,0.04721784450584201,0.4000000000000002
Armenia,poor,0.2,3351.4903600051994,0.0044171390000000005,0.8561480651781276,3753.08517576765,0.047069894746031044,0.4000000000000002
Australia,nonpoor,0.8,51464.75665890712,0.702807,0.9182778183098946,195480.48449421133,0.004859699782336582,1.0
Australia,poor,0.2,16211.120759871495,0.48560159999999997,1.3268887267604212,29730.8648272579,0.005233491243751848,1.0
Austria,nonpoor,0.8,50710.075564314,0.6850328,1.1244270734124568,221622.0392664947,0.02126328197509567,1.0
Austria,poor,0.2,17878.198566744,0.48613950000000006,0.5022917063501725,63743.92865374477,0.022879758958942127,1.0
Azerbaijan,nonpoor,0.8,18313.141154132,0.06077156,1.0385490134239197,32721.643369780093,0.022530678465729738,0.0
Azerbaijan,poor,0.2,6717.484091472,0.04266026,0.8458039463043211,2793.1382860631597,0.02285831327168632,0.0
Bangladesh,nonpoor,0.8,3779.9138619633245,0.09956344,1.1991777074801835,12936.000824053297,0.05716154930697205,0.8000000000000004
Bangladesh,poor,0.2,1477.1123324467,0.03864263,0.20328917007926642,5543.733958322406,0.05704275714015244,0.8000000000000004
Belarus,nonpoor,0.8,18939.676529397497,0.1958292,1.0468521479623363,51623.73518281685,0.014297524206729343,0.8000000000000004
Belarus,poor,0.2,7952.571360409999,0.07855246,0.8125914081506546,10124.184437854845,0.015038024043062138,0.8000000000000004
Belgium,nonpoor,0.8,47922.953250527506,0.6023575,1.084866627560227,229366.61618685385,0.006229660380791619,0.0
Belgium,poor,0.2,18036.64761289,0.4867135,0.6605334897590918,50400.03549767991,0.00650051818612728,0.0
Benin,nonpoor,0.8,2432.0532744706,0.09291302,1.2243358143219925,7357.267779323078,0.007679026503155802,0.4000000000000002
Benin,poor,0.2,321.5938214176,0.0402082,0.10265674271203011,1001.5294292421347,0.017170204052523154,0.4000000000000002
Bhutan,nonpoor,0.8,9453.38571332355,0.2584666,1.1398036472565787,50963.00400254846,0.030319272204421377,0.6000000000000002
Bhutan,poor,0.2,2715.4419841058,0.1739075,0.4407854109736848,14544.312851058994,0.028333430498590446,0.6000000000000002
Bolivia,nonpoor,0.8,8066.317311428349,0.3135603,1.110544812614802,19359.53449375267,0.018098992660867716,0.6000000000000002
Bolivia,poor,0.2,1274.5116749866,0.1129292,0.5578207495407916,2071.2543104516913,0.01868105104344218,0.6000000000000002
Bosnia and Herzegovina,nonpoor,0.8,12954.071707864874,0.11128210000000001,1.09696269207967,40315.73834422376,0.015812386234699164,0.0
Bosnia and Herzegovina,poor,0.2,4080.4627170404992,0.05371241,0.6121492316813202,11293.970464189826,0.016048545079449115,0.0
Botswana,nonpoor,0.8,18848.831948351995,0.3458668,1.0839556935246748,67408.291881292,0.004730442552345373,0.8000000000000004
Botswana,poor,0.2,2171.8818705919994,0.1474994,0.6641772259013006,6231.901937097064,0.004991901010441628,0.8000000000000004
Brazil,nonpoor,0.8,16898.548405353496,0.1676081,1.2114325557745178,63546.49814786592,0.002210342670133197,0.2000000000000001
Brazil,poor,0.2,2524.2644920860002,0.05749141,0.1542697769019286,9839.067838631412,0.002454043180773615,0.2000000000000001
Bulgaria,nonpoor,0.8,20808.16334355,0.199541,1.131584776500291,66129.03559835261,0.007948876527283124,0.8000000000000004
Bulgaria,poor,0.2,5312.7225558,0.05927353,0.47366089399883604,9551.564801390521,0.0075484951608062074,0.8000000000000004
Burkina Faso,nonpoor,0.8,1827.7836302121375,0.1090839,1.157312395888536,4504.451588123553,0.003195184254779624,0.6000000000000002
Burkina Faso,poor,0.2,661.74936230145,0.05447056,0.3707504164458551,1636.051084882621,0.002080585096135569,0.6000000000000002
Burundi,nonpoor,0.8,841.9736355594223,0.05378873,1.1587602079190082,1820.0633117292612,0.023729558157775627,0.6000000000000002
Burundi,poor,0.2,237.98826529731,0.01814623,0.36495916832396613,508.17856522449455,0.024241471727202337,0.6000000000000002
Cameroon,nonpoor,0.8,3636.0660030635618,0.1220212,1.2027776014498464,8662.295575041766,0.017442919342660183,0.8000000000000004
Cameroon,poor,0.2,685.3318120957499,0.01092981,0.18888959420061463,1634.4309521287094,0.02461963671382283,0.8000000000000004
Canada,nonpoor,0.8,50304.9567241045,0.6994052,0.9480528519889099,155818.93169643634,0.009280730042706964,0.8000000000000004
Canada,poor,0.2,14218.959930582003,0.5176056,1.2077885920443605,18897.53629069773,0.010129224120246468,0.8000000000000004
Central African Republic,nonpoor,0.8,783.1254876810101,0.03726327,1.196917691764562,2488.2788165334,0.008844292218730631,0.0
Central African Republic,poor,0.2,106.90027339596001,0.0062126659999999995,0.21232923294175135,339.0712168161717,0.010503225381202614,0.0
Chad,nonpoor,0.8,2194.3310748871127,0.05942366,1.1970792820997191,2912.7107360504265,0.0071837521881060505,0.0
Chad,poor,0.2,452.24909640155,0.026735900000000003,0.2116828716011232,602.9557944898854,0.00797579411907514,0.0
Chile,nonpoor,0.8,27020.99743903,0.1811644,1.138764500775171,78369.42720523804,0.08276712001956048,0.8000000000000004
Chile,poor,0.2,5449.61292888,0.1033565,0.44494199689931563,13337.279754040228,0.08406526159487791,0.8000000000000004
China,nonpoor,0.8,17065.0499795595,0.4840392,1.1025467859810105,75352.15435222056,0.014292262081700284,0.8000000000000004
China,poor,0.2,3744.2303752620005,0.305054,0.5898128560759573,12724.38898399927,0.014598016425722444,0.8000000000000004
Colombia,nonpoor,0.8,15814.811436537999,0.1673623,1.1876840222728315,56604.998312679156,0.060171412648249725,0.8000000000000004
Colombia,poor,0.2,2362.3784718480006,0.05714529,0.24926391090867372,8127.860809713479,0.06524897092170368,0.8000000000000004
Comoros,nonpoor,0.8,1684.5631041321249,0.1475529,1.174778013222391,8513.47456629272,0.011141681810346088,0.5999999999999999
Comoros,poor,0.2,317.5092761715,0.03531137,0.3008879471104368,1588.6919359698452,0.011369937394957445,0.5999999999999999
"Congo, Dem. Rep.",nonpoor,0.8,876.8512127009249,0.06591558,1.2023387281674374,3693.4032939465387,0.015354737909832298,0.4000000000000002
"Congo, Dem. Rep.",poor,0.2,204.13467385629997,0.02017935,0.1906450873302504,883.1915267661525,0.02940110209884123,0.4000000000000002
"Congo, Rep.",nonpoor,0.8,6348.4232322739745,0.13450479999999998,1.1858645475951644,17058.271619298248,0.03829101630577072,0.0
"Congo, Rep.",poor,0.2,1113.2934269541,0.04429218,0.2565418096193421,2878.2290904833862,0.04246956185035874,0.0
Costa Rica,nonpoor,0.8,18424.035408747375,0.29628730000000003,1.1676607683471867,38415.70178192281,0.021356118731809967,1.0
