country,macro_gdp_pc_pp,macro_pop,macro_urbanization_rate,macro_prepare_scaleup,macro_borrow_abi,macro_avg_prod_k,macro_T_rebuild_K,macro_pi,macro_income_elast,macro_rho,macro_shareable,macro_max_increased_spending,macro_fa_glofris,macro_protection,macro_tau_tax,n_cat_info__nonpoor,n_cat_info__poor,c_cat_info__nonpoor,c_cat_info__poor,axfin_cat_info__nonpoor,axfin_cat_info__poor,gamma_SP_cat_info__nonpoor,gamma_SP_cat_info__poor,k_cat_info__nonpoor,k_cat_info__poor,fa_cat_info__nonpoor,fa_cat_info__poor,v_cat_info__nonpoor,v_cat_info__poor,shew_cat_info__nonpoor,shew_cat_info__poor,shew_for_hazard_ratio,hazard_ratio_fa__earthquake,hazard_ratio_fa__flood,hazard_ratio_fa__surge,hazard_ratio_fa__tsunami,hazard_ratio_fa__wind,hazard_ratio_flood_poor,ratio_surge_flood
Albania,9960.94072581355,2897366.0,0.57407,0.0,0.175,0.1852799860314327,3,0.2,1.5,0.06,0.8,0.05,0.07367993943126039,1.0,0.1867574269182081,0.8,0.2,11349.246839473812,4407.716271172496,0.092387,0.07585278999999999,1.094242898311792,0.6230284067528323,61811.78043633126,21560.668539257527,0.022103814552968414,0.021223163402987057,0.3514999999999999,0.6999999999999998,0.0,0.0,0.0,0.003020792060882213,0.0018249671832344515,0.0,0.0,0.0,0.0016661885930703865,0.0
Angola,7488.01175983409,21471618.0,0.4405,0.0,0.175,0.43239739052511456,3,0.2,1.5,0.06,0.8,0.05,0.017032878672476978,1.0,0.10613230399367687,0.8,0.2,8854.57390600381,2021.7631751552044,0.20126910000000006,0.09179081,1.1604757421563552,0.35809703137457904,20523.147060632382,4494.564269427742,0.0028141295675106386,0.012449336301822971,0.6,0.6999999999999997,0.0,0.0,0.0,4.3127215040719005e-05,0.000817286507595834,0.0,0.0,0.0,0.004228895323706887,0.0
Argentina,18087.196261682242,41446246.0,0.91751,0.7333333333333333,0.375,0.2695495148851759,3,0.2,1.5,0.06,0.8,0.05,0.07205781664084926,1.0,0.14528127847863,0.8,0.2,21573.50334112149,4141.967943925233,0.06037133,0.004365798,1.1711269003347782,0.3154923986608884,80282.0253528984,14379.760091832175,0.008573419621953241,0.008978744504127544,0.3972539125,0.6999999999999998,0.6400000000000003,0.6400000000000003,0.8000000000000002,0.001944975098418697,0.0011183749356124264,0.0,0.0,0.0,0.0012367548901097186,0.0
Armenia,7526.83641911287,2976566.0,0.62673,0.4,0.425,0.3666957212217474,3,0.2,1.5,0.06,0.8,0.05,0.03800051942626459,1.0,0.2684700594609083,0.8,0.2,8583.416081445841,3300.5177697809936,0.01239363,0.001895716,1.0437676428818643,0.8249294284725426,24135.209063322924,6089.709775922267,0.05308045055645555,0.052914131233905516,0.2375,0.2999999999999999,0.3200000000000002,0.3200000000000002,0.4000000000000001,0.008132150223755063,0.0031871319714113573,0.0,0.0,0.0,0.0031418805975541152,0.0
Australia,42834.0167597384,23129300.0,0.8942299999999999,0.8,0.9166666666666669,0.27360239086009513,3,0.2,1.5,0.06,0.8,0.05,0.04109036778223482,1.0,0.15777560000000002,0.8,0.2,49778.48172691098,15056.156891048047,0.6854684,0.5201536,0.9280760142886478,1.2876959428454082,188801.4700889032,27572.67331648017,0.003926638030718836,0.004330773315234596,0.5385999999999999,0.6999999999999998,0.8,0.8,1.0,1.6860245802487052e-05,0.0009087217142046991,0.00028963856260099595,1.4051578938568268e-05,3.5515070335051376e-05,0.0010049098812967535,0.31873186045134144
Austria,44056.254416802,8479823.0,0.65968,0.8,0.8916666666666666,0.23227851820729006,3,0.2,1.5,0.06,0.8,0.05,0.07921920515759366,1.0,0.417385921738,0.8,0.2,50411.36911642568,18635.79561830725,0.5678905000000001,0.4380794,1.1189693594425305,0.5241225622298784,220464.96965866664,66489.86022248652,0.02373429787983792,0.025467007423445053,0.2394999999999999,0.5700000000000001,0.8,0.8,1.0,0.0010887844876421762,0.0012342947291563266,0.0,0.0,0.0,0.0013649447904381092,0.0
Azerbaijan,16593.1887600482,9416801.0,0.5462,0.0,0.25,0.5982212831852317,3,0.2,1.5,0.06,0.8,0.05,0.05712771561032616,1.0,0.425931195068567,0.8,0.2,19055.203142320348,6745.131230959593,0.024682880000000004,0.001134416,1.045493422915381,0.8180263083384756,33970.395026645696,2806.1365164174763,0.025692136852413817,0.02605108769825194,0.2375,0.2999999999999999,0.0,0.0,0.0,0.0060304773637312094,0.0005986705484620512,0.0,0.0,0.0,0.0006620398086529529,0.0
Bangladesh,2853.4477401556605,156594962.0,0.34277,0.7333333333333333,0.6166666666666667,0.2897089076246591,3,0.2,1.5,0.06,0.8,0.05,0.22001199985389425,1.0,0.055500158631513086,0.8,0.2,3250.076976037297,1266.9307966291133,0.1823108,0.1456589,1.1364744196042722,0.4541023215829108,11219.884377995933,4367.269628867606,0.06276019512803058,0.06262654531590585,0.4155351976122284,0.6999999999999998,0.6400000000000003,0.6400000000000003,0.8000000000000002,0.0007521400776754101,0.013945985750889248,0.00013897419181074447,3.271208625031438e-05,0.0027707137054016288,0.013897558831249041,0.009965175233445433
Belarus,17054.5583344525,9466000.0,0.76667,0.7333333333333333,0.5166666666666667,0.3864445367538237,3,0.2,1.5,0.06,0.8,0.05,0.03563503796859986,1.0,0.32718412041469713,0.8,0.2,19320.682773142875,7990.060579690998,0.08594028,0.04172604,1.0739649897627177,0.7041400409491291,51260.270227469904,15618.764325773796,0.016139498179580252,0.016975397849178127,0.29499999999999993,0.6999999999999998,0.6400000000000003,0.6400000000000003,0.8000000000000002,0.0,0.005114064010898183,0.0,0.0,0.0,0.005378932495001406,0.0
Belgium,40608.9720093428,11182817.0,0.9785799999999999,0.0,0.425,0.2166915174374668,3,0.2,1.5,0.06,0.8,0.05,0.10099202257790048,1.0,0.42328490884750014,0.8,0.2,46522.65355820334,16954.245813900616,0.4174232,0.4380374,1.0894315549689566,0.6422737801241732,222424.5622974532,47324.40147905378,0.007023333288955351,0.007316652796049723,0.27,0.4600000000000001,0.0,0.0,0.0,0.0003362771340208368,0.00017367292770594092,0.0,0.0,0.0,0.00019205620206641505,0.0
