country,hazard,rp,income_cat,fa,v
Albania,earthquake,1.0,nonpoor,0.002153867850031007,0.3849999999999998
Albania,earthquake,1.0,poor,0.002153867850031007,0.5660000000000002
Albania,earthquake,20.0,nonpoor,0.006952476397735023,0.3849999999999998
Albania,earthquake,20.0,poor,0.006952476397735023,0.5660000000000002
Albania,earthquake,50.0,nonpoor,0.01473126413548269,0.3849999999999998
Albania,earthquake,50.0,poor,0.01473126413548269,0.5660000000000002
Albania,earthquake,100.0,nonpoor,0.02542463251324513,0.3849999999999998
Albania,earthquake,100.0,poor,0.02542463251324513,0.5660000000000002
Albania,earthquake,250.0,nonpoor,0.050389586980517535,0.3849999999999998
Albania,earthquake,250.0,poor,0.050389586980517535,0.5660000000000002
Albania,earthquake,500.0,nonpoor,0.08062112088335151,0.3849999999999998
Albania,earthquake,500.0,poor,0.08062112088335151,0.5660000000000002
Albania,earthquake,1000.0,nonpoor,0.1228055163622968,0.3849999999999998
Albania,earthquake,1000.0,poor,0.1228055163622968,0.5660000000000002
Albania,earthquake,1500.0,nonpoor,0.15376970066280043,0.3849999999999998
Albania,earthquake,1500.0,poor,0.15376970066280043,0.5660000000000002
Albania,earthquake,2000.0,nonpoor,1.0812045329179897e-15,0.3849999999999998
Albania,earthquake,2000.0,poor,1.0812045329179897e-15,0.5660000000000002
Albania,flood,1.0,nonpoor,0.0005948765372142396,0.3849999999999998
Albania,flood,1.0,poor,0.0005431201775556761,0.5660000000000002
Albania,flood,20.0,nonpoor,0.012987360764860565,0.3849999999999998
Albania,flood,20.0,poor,0.01185741451095484,0.5660000000000002
Albania,flood,50.0,nonpoor,0.029038034626092658,0.3849999999999998
Albania,flood,50.0,poor,0.02651162306021741,0.5660000000000002
Albania,flood,100.0,nonpoor,0.03508367314804024,0.3849999999999998
Albania,flood,100.0,poor,0.03203126967942014,0.5660000000000002
Albania,flood,250.0,nonpoor,0.06183168471831349,0.3849999999999998
Albania,flood,250.0,poor,0.056452109777331366,0.5660000000000002
Albania,flood,500.0,nonpoor,0.07224228453573095,0.3849999999999998
Albania,flood,500.0,poor,0.06595695064359762,0.5660000000000002
Albania,flood,1000.0,nonpoor,0.08419728083221717,0.3849999999999998
Albania,flood,1000.0,poor,0.0768718200409204,0.5660000000000002
Albania,flood,1500.0,nonpoor,0.08996223496387405,0.3849999999999998
Albania,flood,1500.0,poor,0.08213520280307864,0.5660000000000002
Albania,flood,2000.0,nonpoor,5.5017571246617895e-16,0.3849999999999998
Albania,flood,2000.0,poor,5.023084824302581e-16,0.5660000000000002
Albania,surge,1.0,nonpoor,0.0,0.3849999999999998
Albania,surge,1.0,poor,0.0,0.5660000000000002
Albania,surge,20.0,nonpoor,0.0,0.3849999999999998
Albania,surge,20.0,poor,0.0,0.5660000000000002
Albania,surge,50.0,nonpoor,0.0,0.3849999999999998
Albania,surge,50.0,poor,0.0,0.5660000000000002
Albania,surge,100.0,nonpoor,0.0,0.3849999999999998
Albania,surge,100.0,poor,0.0,0.5660000000000002
Albania,surge,250.0,nonpoor,0.0,0.3849999999999998
Albania,surge,250.0,poor,0.0,0.5660000000000002
Albania,surge,500.0,nonpoor,0.0,0.3849999999999998
Albania,surge,500.0,poor,0.0,0.5660000000000002
Albania,surge,1000.0,nonpoor,0.0,0.3849999999999998
Albania,surge,1000.0,poor,0.0,0.5660000000000002
Albania,surge,1500.0,nonpoor,0.0,0.3849999999999998
Albania,surge,1500.0,poor,0.0,0.5660000000000002
Albania,surge,2000.0,nonpoor,0.0,0.3849999999999998
Albania,surge,2000.0,poor,0.0,0.5660000000000002
Albania,tsunami,1.0,nonpoor,0.0,0.3849999999999998
Albania,tsunami,1.0,poor,0.0,0.5660000000000002
Albania,tsunami,20.0,nonpoor,0.0,0.3849999999999998
Albania,tsunami,20.0,poor,0.0,0.5660000000000002
Albania,tsunami,50.0,nonpoor,0.0,0.3849999999999998
Albania,tsunami,50.0,poor,0.0,0.5660000000000002
Albania,tsunami,100.0,nonpoor,0.0,0.3849999999999998
Albania,tsunami,100.0,poor,0.0,0.5660000000000002
Albania,tsunami,250.0,nonpoor,0.0,0.3849999999999998
Albania,tsunami,250.0,poor,0.0,0.5660000000000002
Albania,tsunami,500.0,nonpoor,0.0,0.3849999999999998
Albania,tsunami,500.0,poor,0.0,0.5660000000000002
Albania,tsunami,1000.0,nonpoor,0.0,0.3849999999999998
Albania,tsunami,1000.0,poor,0.0,0.5660000000000002
Albania,tsunami,1500.0,nonpoor,0.0,0.3849999999999998
Albania,tsunami,1500.0,poor,0.0,0.5660000000000002
Albania,tsunami,2000.0,nonpoor,0.0,0.3849999999999998
Albania,tsunami,2000.0,poor,0.0,0.5660000000000002
Albania,wind,1.0,nonpoor,0.0,0.3849999999999998
Albania,wind,1.0,poor,0.0,0.5660000000000002
Albania,wind,20.0,nonpoor,0.0,0.3849999999999998
Albania,wind,20.0,poor,0.0,0.5660000000000002
Albania,wind,50.0,nonpoor,0.0,0.3849999999999998
Albania,wind,50.0,poor,0.0,0.5660000000000002
Albania,wind,100.0,nonpoor,0.0,0.3849999999999998
Albania,wind,100.0,poor,0.0,0.5660000000000002
Albania,wind,250.0,nonpoor,0.0,0.3849999999999998
Albania,wind,250.0,poor,0.0,0.5660000000000002
Albania,wind,500.0,nonpoor,0.0,0.3849999999999998
Albania,wind,500.0,poor,0.0,0.5660000000000002
Albania,wind,1000.0,nonpoor,0.0,0.3849999999999998
Albania,wind,1000.0,poor,0.0,0.5660000000000002
Albania,wind,1500.0,nonpoor,0.0,0.3849999999999998
Albania,wind,1500.0,poor,0.0,0.5660000000000002
Albania,wind,2000.0,nonpoor,0.0,0.3849999999999998
Albania,wind,2000.0,poor,0.0,0.5660000000000002
Algeria,earthquake,1.0,nonpoor,0.005888432822120851,0.10000000000000002
Algeria,earthquake,1.0,poor,0.005888432822120851,0.5503924
Algeria,earthquake,20.0,nonpoor,0.0231717774286909,0.10000000000000002
Algeria,earthquake,20.0,poor,0.0231717774286909,0.5503924
Algeria,earthquake,50.0,nonpoor,0.04468975612507338,0.10000000000000002
Algeria,earthquake,50.0,poor,0.04468975612507338,0.5503924
Algeria,earthquake,100.0,nonpoor,0.0690249040419805,0.10000000000000002
Algeria,earthquake,100.0,poor,0.0690249040419805,0.5503924
Algeria,earthquake,250.0,nonpoor,0.11319141690583265,0.10000000000000002
Algeria,earthquake,250.0,poor,0.11319141690583265,0.5503924
Algeria,earthquake,500.0,nonpoor,0.15333129277497703,0.10000000000000002
Algeria,earthquake,500.0,poor,0.15333129277497703,0.5503924
Algeria,earthquake,1000.0,nonpoor,0.19827458397286854,0.10000000000000002
Algeria,earthquake,1000.0,poor,0.19827458397286854,0.5503924
Algeria,earthquake,1500.0,nonpoor,0.22624063540410627,0.10000000000000002
Algeria,earthquake,1500.0,poor,0.22624063540410627,0.5503924
Algeria,earthquake,2000.0,nonpoor,-3.046862147967369e-15,0.10000000000000002
Algeria,earthquake,2000.0,poor,-3.046862147967369e-15,0.5503924
Algeria,flood,1.0,nonpoor,0.000664278159363273,0.10000000000000002
Algeria,flood,1.0,poor,0.0007397033743255666,0.5503924
Algeria,flood,20.0,nonpoor,0.005604511986716982,0.10000000000000002
Algeria,flood,20.0,poor,0.006240874202452132,0.5503924
Algeria,flood,50.0,nonpoor,0.013349219419543144,0.10000000000000002
Algeria,flood,50.0,poor,0.01486495154185614,0.5503924
Algeria,flood,100.0,nonpoor,0.018761097293967393,0.10000000000000002
Algeria,flood,100.0,poor,0.020891319063839165,0.5503924
Algeria,flood,250.0,nonpoor,0.03993754821086335,0.10000000000000002
Algeria,flood,250.0,poor,0.04447224217364348,0.5503924
Algeria,flood,500.0,nonpoor,0.04971758437814984,0.10000000000000002
Algeria,flood,500.0,poor,0.05536274888682847,0.5503924
Algeria,flood,1000.0,nonpoor,0.058463726757726486,0.10000000000000002
Algeria,flood,1000.0,poor,0.06510196872916968,0.5503924
Algeria,flood,1500.0,nonpoor,0.06136481404324702,0.10000000000000002
Algeria,flood,1500.0,poor,0.06833245888463328,0.5503924
Algeria,flood,2000.0,nonpoor,-3.724009433516524e-16,0.10000000000000002
Algeria,flood,2000.0,poor,-4.1468506907299583e-16,0.5503924
Algeria,surge,1.0,nonpoor,0.0,0.10000000000000002
Algeria,surge,1.0,poor,0.0,0.5503924
Algeria,surge,20.0,nonpoor,0.0,0.10000000000000002
Algeria,surge,20.0,poor,0.0,0.5503924
Algeria,surge,50.0,nonpoor,0.0,0.10000000000000002
Algeria,surge,50.0,poor,0.0,0.5503924
Algeria,surge,100.0,nonpoor,0.0,0.10000000000000002
Algeria,surge,100.0,poor,0.0,0.5503924
Algeria,surge,250.0,nonpoor,0.0,0.10000000000000002
Algeria,surge,250.0,poor,0.0,0.5503924
Algeria,surge,500.0,nonpoor,0.0,0.10000000000000002
Algeria,surge,500.0,poor,0.0,0.5503924
Algeria,surge,1000.0,nonpoor,0.0,0.10000000000000002
