country,hazard,rp,income_cat,fa,v
Albania,earthquake,1.0,nonpoor,0.0022595875278185627,0.35149999999999987
Albania,earthquake,1.0,poor,0.0022595875278185627,0.6999999999999998
Albania,earthquake,20.0,nonpoor,0.0072937292580642,0.35149999999999987
Albania,earthquake,20.0,poor,0.0072937292580642,0.6999999999999998
Albania,earthquake,50.0,nonpoor,0.0154543282258744,0.35149999999999987
Albania,earthquake,50.0,poor,0.0154543282258744,0.6999999999999998
Albania,earthquake,100.0,nonpoor,0.02667256606549561,0.35149999999999987
Albania,earthquake,100.0,poor,0.02667256606549561,0.6999999999999998
Albania,earthquake,250.0,nonpoor,0.05286289141251956,0.35149999999999987
Albania,earthquake,250.0,poor,0.05286289141251956,0.6999999999999998
Albania,earthquake,500.0,nonpoor,0.08457829909302525,0.35149999999999987
Albania,earthquake,500.0,poor,0.08457829909302525,0.6999999999999998
Albania,earthquake,1000.0,nonpoor,0.12883325832435336,0.35149999999999987
Albania,earthquake,1000.0,poor,0.12883325832435336,0.6999999999999998
Albania,earthquake,1500.0,nonpoor,0.16131727755212824,0.35149999999999987
Albania,earthquake,1500.0,poor,0.16131727755212824,0.6999999999999998
Albania,earthquake,2000.0,nonpoor,1.1342739887998302e-15,0.35149999999999987
Albania,earthquake,2000.0,poor,1.1342739887998302e-15,0.6999999999999998
Albania,flood,1.0,nonpoor,0.0006240752440136197,0.35149999999999987
Albania,flood,1.0,poor,0.0005697784937426602,0.6999999999999998
Albania,flood,20.0,nonpoor,0.013624827727075559,0.35149999999999987
Albania,flood,20.0,poor,0.012439419596119926,0.6999999999999998
Albania,flood,50.0,nonpoor,0.030463327112913618,0.35149999999999987
Albania,flood,50.0,poor,0.027812910066990357,0.6999999999999998
Albania,flood,100.0,nonpoor,0.036805707589828936,0.35149999999999987
Albania,flood,100.0,poor,0.03360348104307733,0.6999999999999998
Albania,flood,250.0,nonpoor,0.06486660897580113,0.35149999999999987
Albania,flood,250.0,poor,0.05922298490599876,0.6999999999999998
Albania,flood,500.0,nonpoor,0.07578819894438166,0.35149999999999987
Albania,flood,500.0,poor,0.06919435797561686,0.6999999999999998
Albania,flood,1000.0,nonpoor,0.08832998999542896,0.35149999999999987
Albania,flood,1000.0,poor,0.08064496891147535,0.6999999999999998
Albania,flood,1500.0,nonpoor,0.094377909070014,0.35149999999999987
Albania,flood,1500.0,poor,0.08616669766718188,0.6999999999999998
Albania,flood,2000.0,nonpoor,5.771803400006057e-16,0.35149999999999987
Albania,flood,2000.0,poor,5.269636119971528e-16,0.6999999999999998
