country,hazard,rp,fa
Afghanistan,earthquake,0.1,3.204148208706646e-05
Afghanistan,earthquake,0.5,0.0007638256003978953
Afghanistan,earthquake,1.0,0.001363391230532254
Afghanistan,earthquake,1.5,0.0019505820825302708
Afghanistan,earthquake,2.0,0.0025068018920734454
Afghanistan,earthquake,3.0,0.0033459800161923653
Afghanistan,earthquake,5.0,0.005134173890562093
Afghanistan,earthquake,10.0,0.008950367274102398
Afghanistan,earthquake,20.0,0.015691379355390393
Afghanistan,earthquake,50.0,0.02896336792905933
Afghanistan,earthquake,100.0,0.04798568186469271
Afghanistan,earthquake,250.0,0.07581950863387872
Afghanistan,earthquake,500.0,0.1062661503531428
Afghanistan,earthquake,1000.0,0.13873935876892288
Afghanistan,earthquake,1500.0,0.16088189354169752
Afghanistan,earthquake,2000.0,0.1749872741539246
Afghanistan,earthquake,4000.0,0.2092186291069569
Afghanistan,earthquake,5000.0,0.21921862799867686
Afghanistan,earthquake,30000.0,0.3315847531666481
Afghanistan,flood,2.0,0.0
Afghanistan,flood,3.0,6.035218562548493e-06
Afghanistan,flood,5.0,0.0005543454867177216
Afghanistan,flood,10.0,0.006327361605770372
Afghanistan,flood,20.0,0.03006968153412631
Afghanistan,flood,50.0,0.05423820030901469
Afghanistan,flood,100.0,0.06771943425254759
Afghanistan,flood,250.0,0.08277553783577964
Afghanistan,flood,500.0,0.09191550027953607
Afghanistan,flood,1000.0,0.0981420856099708
Afghanistan,flood,1500.0,0.10548581154727907
Afghanistan,flood,2000.0,0.10990140646879754
Afghanistan,flood,4000.0,0.1210182167252462
Afghanistan,flood,5000.0,0.13055180252286108
Afghanistan,flood,30000.0,0.14973109093142334
Albania,earthquake,0.5,0.0002988632778495139
Albania,earthquake,1.0,0.0006887242181014672
Albania,earthquake,1.5,0.001050966469582956
Albania,earthquake,2.0,0.0014340379891202811
Albania,earthquake,3.0,0.002223780337340825
Albania,earthquake,5.0,0.0035556177686492892
Albania,earthquake,10.0,0.005858705225746151
Albania,earthquake,20.0,0.010188116410052525
Albania,earthquake,50.0,0.019749943686110084
Albania,earthquake,100.0,0.03421829927259132
Albania,earthquake,250.0,0.06292398276969863
Albania,earthquake,500.0,0.10055438477382
Albania,earthquake,1000.0,0.13623769435019387
Albania,earthquake,1500.0,0.17153968604836717
Albania,earthquake,2000.0,0.20874450059830982
Albania,earthquake,4000.0,0.27208881243465644
Albania,earthquake,5000.0,0.2774374865756183
Albania,earthquake,30000.0,0.3600029716443941
Albania,flood,10.0,0.0004952990882344442
Albania,flood,20.0,0.01938831862381926
Albania,flood,50.0,0.04368020350341976
Albania,flood,100.0,0.05068512154717326
Albania,flood,250.0,0.09747254624817214
Albania,flood,500.0,0.10666103586644138
Albania,flood,1000.0,0.12419040123974226
Albania,flood,1500.0,0.14089778135292516
Albania,flood,2000.0,0.14919650420353825
Albania,flood,4000.0,0.16336246703387675
Albania,flood,5000.0,0.16674588281668012
Albania,flood,30000.0,0.18305785488193868
Albania,tsunami,50.0,0.0
Albania,tsunami,100.0,0.0
Albania,tsunami,250.0,4.78491732154376e-07
Albania,tsunami,500.0,1.4142173511272397e-05
Albania,tsunami,1000.0,0.00020478438560429368
Albania,tsunami,1500.0,0.0012487491578401272
Albania,tsunami,2000.0,0.0013754489512378286
Albania,tsunami,4000.0,0.005574442075487297
Albania,tsunami,5000.0,0.006551212427539854
Albania,tsunami,30000.0,0.020836313185816354
Angola,earthquake,1.5,7.050022348109626e-08
Angola,earthquake,2.0,2.5504683759997087e-07
Angola,earthquake,3.0,1.0609950109727068e-06
Angola,earthquake,5.0,5.928791822487811e-06
Angola,earthquake,10.0,3.106944239861409e-05
Angola,earthquake,20.0,0.0002098540222635541
Angola,earthquake,50.0,0.0005059372196190739
Angola,earthquake,100.0,0.0010461071670550572
Angola,earthquake,250.0,0.0026280752352805486
Angola,earthquake,500.0,0.0050009014599455325
Angola,earthquake,1000.0,0.009086982625596972
Angola,earthquake,1500.0,0.010832608000597823
Angola,earthquake,2000.0,0.012397001633396907
Angola,earthquake,4000.0,0.017185625913208796
Angola,earthquake,5000.0,0.019345358105738817
Angola,earthquake,30000.0,0.025838569656809193
Angola,flood,1.5,1.4718341990153494e-09
Angola,flood,2.0,2.4762002665639368e-06
Angola,flood,3.0,7.497740498223001e-05
Angola,flood,5.0,0.0011690495140933396
Angola,flood,10.0,0.0056168721510960135
Angola,flood,20.0,0.015714698980847777
Angola,flood,50.0,0.02776094808946534
Angola,flood,100.0,0.030795880868631338
Angola,flood,250.0,0.03515472349123078
Angola,flood,500.0,0.03796974010380055
Angola,flood,1000.0,0.040045866892484905
Angola,flood,1500.0,0.051286979690665715
Angola,flood,2000.0,0.052819306109497165
Angola,flood,4000.0,0.05527778077755309
Angola,flood,5000.0,0.056727815629583025
Angola,flood,30000.0,0.060129478648693814
Angola,tsunami,250.0,0.0
Angola,tsunami,500.0,0.0
Angola,tsunami,1000.0,0.0
Angola,tsunami,1500.0,0.0
Angola,tsunami,2000.0,8.694124454638926e-07
Angola,tsunami,4000.0,7.48360540301035e-06
