country,hazard,rp,0
Afghanistan,earthquake,1.0,0.0020045910026270652
Afghanistan,earthquake,20.0,0.005280629495297227
Afghanistan,earthquake,50.0,0.010592992943764444
Afghanistan,earthquake,100.0,0.017189667690682014
Afghanistan,earthquake,250.0,0.029918638131584588
Afghanistan,earthquake,500.0,0.04295298556686643
Afghanistan,earthquake,1000.0,0.05839446134522055
Afghanistan,earthquake,1500.0,0.06763685059621619
Afghanistan,earthquake,2000.0,-8.673617379884035e-16
Afghanistan,flood,1.0,0.0005520650656162953
Afghanistan,flood,20.0,0.009722385095675377
Afghanistan,flood,50.0,0.017369644064670803
Afghanistan,flood,100.0,0.021679377266859288
Afghanistan,flood,250.0,0.027616482100222804
Afghanistan,flood,500.0,0.029069722386060984
Afghanistan,flood,1000.0,0.03197620294112272
Afghanistan,flood,1500.0,0.034882683496184445
Afghanistan,flood,2000.0,4.3368086899420177e-16
Afghanistan,surge,1.0,0.0
Afghanistan,surge,20.0,0.0
Afghanistan,surge,50.0,0.0
Afghanistan,surge,100.0,0.0
Afghanistan,surge,250.0,0.0
Afghanistan,surge,500.0,0.0
Afghanistan,surge,1000.0,0.0
Afghanistan,surge,1500.0,0.0
Afghanistan,surge,2000.0,0.0
Afghanistan,tsunami,1.0,0.0
Afghanistan,tsunami,20.0,0.0
Afghanistan,tsunami,50.0,0.0
Afghanistan,tsunami,100.0,0.0
Afghanistan,tsunami,250.0,0.0
Afghanistan,tsunami,500.0,0.0
Afghanistan,tsunami,1000.0,0.0
Afghanistan,tsunami,1500.0,0.0
Afghanistan,tsunami,2000.0,0.0
Afghanistan,wind,1.0,0.0
Afghanistan,wind,20.0,0.0
Afghanistan,wind,50.0,0.0
Afghanistan,wind,100.0,0.0
Afghanistan,wind,250.0,0.0
Afghanistan,wind,500.0,0.0
Afghanistan,wind,1000.0,0.0
Afghanistan,wind,1500.0,0.0
Afghanistan,wind,2000.0,0.0
Albania,earthquake,1.0,0.0008639357794580868
Albania,earthquake,20.0,0.002788700855419096
Albania,earthquake,50.0,0.005908842626119324
Albania,earthquake,100.0,0.010198048922755236
Albania,earthquake,250.0,0.020211716844168396
Albania,earthquake,500.0,0.032337857176400225
Albania,earthquake,1000.0,0.04925839786256448
Albania,earthquake,1500.0,0.06167841086315519
Albania,earthquake,2000.0,4.3368086899420177e-16
Albania,flood,1.0,0.00023445834463220905
Albania,flood,20.0,0.00511870096664088
Albania,flood,50.0,0.011444743747482063
Albania,flood,100.0,0.013827507752158321
Albania,flood,250.0,0.024369686040677515
Albania,flood,500.0,0.028472809709414553
Albania,flood,1000.0,0.03318462546682254
Albania,flood,1500.0,0.03545676349552765
Albania,flood,2000.0,2.1684043449710089e-16
Albania,surge,1.0,0.0
Albania,surge,20.0,0.0
Albania,surge,50.0,0.0
Albania,surge,100.0,0.0
Albania,surge,250.0,0.0
Albania,surge,500.0,0.0
Albania,surge,1000.0,0.0
Albania,surge,1500.0,0.0
Albania,surge,2000.0,0.0
Albania,tsunami,1.0,0.0
Albania,tsunami,20.0,0.0
Albania,tsunami,50.0,0.0
Albania,tsunami,100.0,0.0
Albania,tsunami,250.0,0.0
Albania,tsunami,500.0,0.0
Albania,tsunami,1000.0,0.0
Albania,tsunami,1500.0,0.0
Albania,tsunami,2000.0,0.0
Albania,wind,1.0,0.0
Albania,wind,20.0,0.0
Albania,wind,50.0,0.0
Albania,wind,100.0,0.0
Albania,wind,250.0,0.0
Albania,wind,500.0,0.0
