country,hazard,rp,income_cat,fa,shew
Albania,earthquake,20.0,nonpoor,0.0072937292580642,0.0
Albania,earthquake,20.0,poor,0.0072937292580642,0.0
Albania,earthquake,50.0,nonpoor,0.015454328225874399,0.0
Albania,earthquake,50.0,poor,0.015454328225874399,0.0
Albania,earthquake,100.0,nonpoor,0.02667256606549561,0.0
Albania,earthquake,100.0,poor,0.02667256606549561,0.0
Albania,earthquake,250.0,nonpoor,0.052862891412519555,0.0
Albania,earthquake,250.0,poor,0.052862891412519555,0.0
Albania,earthquake,500.0,nonpoor,0.08457829909302525,0.0
Albania,earthquake,500.0,poor,0.08457829909302525,0.0
Albania,earthquake,1000.0,nonpoor,0.12883325832435336,0.0
Albania,earthquake,1000.0,poor,0.12883325832435336,0.0
Albania,earthquake,1500.0,nonpoor,0.16131727755212824,0.0
Albania,earthquake,1500.0,poor,0.16131727755212824,0.0
Albania,earthquake,2000.0,nonpoor,1.1342739887998302e-15,0.0
Albania,earthquake,2000.0,poor,1.1342739887998302e-15,0.0
Albania,flood,20.0,nonpoor,0.01362482772707556,0.0
Albania,flood,20.0,poor,0.012439419596119926,0.0
Albania,flood,50.0,nonpoor,0.03046332711291362,0.0
Albania,flood,50.0,poor,0.027812910066990354,0.0
Albania,flood,100.0,nonpoor,0.036805707589828936,0.0
Albania,flood,100.0,poor,0.03360348104307733,0.0
Albania,flood,250.0,nonpoor,0.06486660897580113,0.0
Albania,flood,250.0,poor,0.05922298490599876,0.0
Albania,flood,500.0,nonpoor,0.07578819894438166,0.0
Albania,flood,500.0,poor,0.06919435797561686,0.0
Albania,flood,1000.0,nonpoor,0.08832998999542896,0.0
Albania,flood,1000.0,poor,0.08064496891147535,0.0
Albania,flood,1500.0,nonpoor,0.09437790907001399,0.0
Albania,flood,1500.0,poor,0.08616669766718187,0.0
Albania,flood,2000.0,nonpoor,5.771803400006056e-16,0.0
Albania,flood,2000.0,poor,5.269636119971529e-16,0.0
Albania,surge,20.0,nonpoor,0.0,0.0
Albania,surge,20.0,poor,0.0,0.0
