country,gdp_pc_pp,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Albania,10397.2873904977,2889167.0,0.57407,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,20.0,0.1747212667573905
Angola,6937.0062661166285,25021974.0,0.4405,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.43239739052511456,20.0,0.10614328583642389
Argentina,18087.196261682242,43416755.0,0.91751,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.375,0.2695495148851759,20.0,0.14823992836916638
Armenia,7899.28441030032,3017712.0,0.62673,5,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.3666957212217474,20.0,0.352494774979343
Australia,43654.5805243593,23781169.0,0.8942299999999999,5,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666667,0.27360239086009513,20.0,0.15804680000000002
Austria,43892.729536691404,8611088.0,0.65968,5,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.23227851820729004,20.0,0.41664470793399994
Azerbaijan,16695.3894224544,9651349.0,0.5462,5,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.5982212831852317,20.0,0.4490361121517241
Bangladesh,3136.5610686987798,160995642.0,0.34276999999999996,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6166666666666667,0.2897089076246591,20.0,0.13848079978265682
Belarus,16621.0334358041,9513000.0,0.76667,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5166666666666667,0.38644453675382373,20.0,0.4173360367906013
Belgium,41138.3833578238,11285721.0,0.97858,5,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.21669151743746679,20.0,0.42395626542699993
Benin,1985.61385323733,10879829.0,0.4395,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.3302533219458435,20.0,0.07287723932202511
Bhutan,7601.368909759971,774830.0,0.38644,5,0.2,1.5,0.06,0.8,0.05,0.6,0.4166666666666667,0.18557539427848196,20.0,0.01874379279939925
Bolivia,6475.7415032685485,10724705.0,0.68512,5,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.45,0.4218342004210295,20.0,0.1386699909854736
Bosnia and Herzegovina,10023.5601739126,3810416.0,0.39767,5,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.32393223235700314,20.0,0.13266662073202962
Botswana,14876.3317411501,2262485.0,0.57444,5,0.2,1.5,0.06,0.8,0.05,0.6,0.7083333333333333,0.2811780767140953,20.0,0.049144487072782586
Brazil,14454.9373211346,207847528.0,0.8568700000000001,5,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.5583333333333333,0.265575010187584,20.0,0.19749189098011216
Bulgaria,16956.409065094198,7177991.0,0.73948,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.7166666666666667,0.3230784715072762,20.0,0.42039442281199996
Burkina Faso,1561.52191470315,18105570.0,0.29859,5,0.2,1.5,0.06,0.8,0.05,0.8,0.4166666666666667,0.40566509188102295,20.0,0.31634875046907623
Burundi,692.673931192175,11178921.0,0.12057,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.4629793127178333,20.0,0.09738057318683054
Cambodia,3278.221214638761,15577899.0,0.20723000000000005,5,0.2,1.5,0.06,0.8,0.05,0.0,0.15,0.45929444965397004,20.0,0.03628180982636412
Cameroon,2938.7762141428907,23344179.0,0.54381,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5666666666666667,0.41973757460294764,20.0,0.03686175551822502
Canada,42890.881104323904,35851774.0,0.81828,5,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.8333333333333333,0.3354838938558465,20.0,0.17486100000000002
Central African Republic,562.192971628219,4900274.0,0.40037,5,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.3147438330510679,20.0,0.005826693097235924
Chad,2043.5442307367002,14037472.0,0.22471,5,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.7532009944644721,20.0,0.06394174104682257
Chile,22145.094809787402,17948141.0,0.8953,5,0.2,1.5,0.06,0.8,0.05,0.8,0.925,0.34739411181855295,20.0,0.14901159215587234
