country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Albania,11424.6283187,2876101.0,0.5837600000000001,4146.89625046,3.0,0.2,1.5,0.06,0.8,0.05,0.0,2,0.1852799860314327,1.0,0.17475920807972503
Algeria,13974.6662247,40606052.0,0.71304,3843.75232202,3.0,0.2,1.5,0.06,0.8,0.05,0.8,2,0.2889104503291931,1.0,0.12955854598878927
Angola,6024.72613815,28813463.0,0.44819,3110.80818263,3.0,0.2,1.5,0.06,0.8,0.05,0.0,2,0.43239739052511456,1.0,0.1061323039936769
Antigua and Barbuda,20777.613083,100963.0,0.23393000000000003,14353.3788139,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,2,0.40051064160860556,1.0,0.12371490701349917
Argentina,10405.0,43847430.0,0.9189299999999999,12449.2168521,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,2,0.2695495148851759,1.0,0.148267179558944
Armenia,8174.36673172,2924816.0,0.62558,3606.15205715,3.0,0.2,1.5,0.06,0.8,0.05,0.4,2,0.3666957212217474,1.0,0.35132870626370993
Australia,44414.0294791,24127159.0,0.89554,49927.819509500005,3.0,0.2,1.5,0.06,0.8,0.05,0.8,2,0.27360239086009513,1.0,0.158996
Austria,44143.7001648,8747358.0,0.66032,44176.515216,3.0,0.2,1.5,0.06,0.8,0.05,0.8,2,0.23227851820729004,1.0,0.41699351443000005
Azerbaijan,15994.0097416,9762274.0,0.54895,3876.93643264,3.0,0.2,1.5,0.06,0.8,0.05,0.0,2,0.5982212831852317,1.0,0.42562365152124004
Bangladesh,3319.35355606,162951560.0,0.35035,1358.77975225,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,2,0.2897089076246591,1.0,0.13847254356040598
Belarus,16742.2554956,9507120.0,0.77046,4989.25461056,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,2,0.38644453675382373,1.0,0.41684499884861004
Belgium,41945.692123,11348159.0,0.9789700000000001,41096.157302199994,3.0,0.2,1.5,0.06,0.8,0.05,0.0,2,0.21669151743746679,1.0,0.42390653530999994
Belize,7831.45448606,366954.0,0.43845,4810.56590199,3.0,0.2,1.5,0.06,0.8,0.05,0.0,2,0.9615481265045698,1.0,0.122746842458362
Benin,2009.96138386,10872298.0,0.44395,789.4404106860001,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,2,0.3302533219458435,1.0,0.07365719192142159
Bhutan,8105.79696748,797765.0,0.39377,2804.00022299,3.0,0.2,1.5,0.06,0.8,0.05,0.6,2,0.18557539427848196,1.0,0.018739353116387806
