country,vp,vr,v
Afghanistan,0.6999999999999998,0.45468464062685954,
Albania,0.6999999999999998,0.35149999999999987,0.3823422499999999
Algeria,0.5522099499999998,0.10000000000000002,
American Samoa,0.3000000000000001,0.27549999999999997,
Andorra,0.10499999999999998,0.10000000000000002,
Angola,0.6999999999999997,0.6,0.6054299999999999
Antigua and Barbuda,0.3,0.2175,
Arab World,,,
Argentina,0.6999999999999998,0.3972539125,0.41163435165625
Armenia,0.2999999999999999,0.2375,0.2428
Aruba,0.6999999999999997,0.6764212741773349,
Australia,0.6999999999999998,0.5385999999999999,0.5500432599999998
Austria,0.5700000000000001,0.2394999999999999,0.2652128999999999
Azerbaijan,0.2999999999999999,0.2375,0.24585624999999997
"Bahamas, The",0.6999999999999998,0.47350000000000003,
Bahrain,0.6999999999999997,0.62725,
Bangladesh,0.6999999999999998,0.41553519761222835,0.44082411854450126
Barbados,0.398,0.24699999999999991,
Belarus,0.6999999999999998,0.29499999999999993,0.33408249999999995
Belgium,0.46000000000000013,0.26999999999999996,0.28637799999999997
Belize,0.466,0.26899999999999996,
Benin,0.6999999999999997,0.6734349004145419,0.6750447454494207
Bermuda,0.6999999999999998,0.5265,
Bhutan,0.6999999999999997,0.673890576643806,0.6756581846050203
Bolivia,0.6999999999999998,0.38885421167860285,0.3994953976391946
Bosnia and Herzegovina,0.6999999999999998,0.4420310714249999,0.46132714728241
Botswana,0.6999999999999997,0.6416008539893611,0.6432593897360632
Brazil,0.6999999999999997,0.6506628849962744,0.6522811423683966
British Virgin Islands,,,
Brunei Darussalam,0.39486964955708176,0.22297463449207036,
Bulgaria,0.6999999999999998,0.3857760364,0.40513223255776004
Burkina Faso,0.6999999999999997,0.6734349004145419,0.6752147620867676
Burundi,0.6999999999999998,0.4424472127146907,0.4654209213405403
Cabo Verde,,,
Cambodia,0.6999999999999998,0.20385327749999993,0.24875455588624992
Cameroon,0.6343680960785822,0.3,0.31949366000138135
Canada,0.3927198494711082,0.27848915166168753,0.28659953120615644
Caribbean small states,,,
Cayman Islands,0.6999999999999998,0.391375828971834,
Central African Republic,0.7000000000000002,0.6348205552960912,0.6369910308047314
Central Europe and the Baltics,,,
Chad,0.6999999999999997,0.6734349004145419,0.6747259642543951
Channel Islands,,,
Chile,0.313141,0.11529374999999999,0.124454077675
China,0.6999999999999997,0.5370080662500001,0.5446197895561251
Colombia,0.5302351999999999,0.2226012,0.232906939
Comoros,0.6999999999999998,0.4424472127146907,0.45277507948483153
"Congo, Dem. Rep.",0.6999999999999997,0.6,0.60553
"Congo, Rep.",0.6343680960785822,0.3,0.31892523423804775
Costa Rica,0.6999999999999998,0.32104216733095076,0.33665523003691555
Cote d'Ivoire,0.6999999999999997,0.6734349004145419,0.6747923770033588
Croatia,0.6999999999999998,0.44120128109999995,0.45929131155110997
Cuba,0.3,0.14625,
Curacao,,,
Cyprus,0.4646689476190476,0.10000000000000002,0.1291370489147619
Czech Republic,0.6999999999999998,0.4135,0.4408607499999999
Denmark,0.2999999999999999,0.25,0.25424
Djibouti,0.6224866506129807,0.2919383715793353,0.30605278309407197
Dominica,0.40199999999999997,0.26899999999999996,
Dominican Republic,0.3489973692170465,0.2999999999999999,0.3024155703024003
Early-demographic dividend,,,
East Asia & Pacific,,,
East Asia & Pacific (IDA & IBRD countries),,,
East Asia & Pacific (excluding high income),,,
Ecuador,0.6999999999999997,0.6764212741773349,0.6774964640748484
"Egypt, Arab Rep.",0.6999999999999998,0.5499999999999999,0.5638749999999999
El Salvador,0.6999999999999998,0.43999999999999995,0.4543519999999999
Equatorial Guinea,0.6999999999999998,0.3269905140632944,
Eritrea,0.6999999999999997,0.6,
Estonia,0.4342145961505898,0.12597759214313936,0.14807818533047357
Ethiopia,0.6224866506129807,0.2919383715793353,0.31848139838573697
Euro area,,,
Europe & Central Asia,,,
Europe & Central Asia (IDA & IBRD countries),,,
Europe & Central Asia (excluding high income),,,
European Union,,,
Faroe Islands,,,
Fiji,0.5179999999999999,0.22549999999999995,0.24334249999999996
Finland,0.39999999999999997,0.2825,0.29358024999999993
Fragile and conflict affected situations,,,
France,0.5700000000000001,0.2394999999999999,0.26527899999999993
French Polynesia,0.6999999999999998,0.4444999999999999,
Gabon,0.6999999999999998,0.3269905140632944,0.3486996661448106
"Gambia, The",0.6999999999999997,0.6734349004145419,0.6747020556647683
Georgia,0.5390769999999999,0.201292325,0.22027582373499996
Germany,0.2999999999999999,0.24072669375,0.245687869483125
Ghana,0.6999999999999997,0.6973988599523725,0.6975351596908681
Gibraltar,,,
Greece,0.44601325999999997,0.14181598750000002,0.15869893612375002
Greenland,0.3000000000000001,0.26311504999999996,
Grenada,0.3159999999999999,0.26899999999999996,
Guam,0.39486964955708176,0.22297463449207036,
Guatemala,0.5837106449697208,0.09999999999999998,0.11871960196032817
Guinea,0.6999999999999997,0.6849999999999998,0.6861339999999998
Guinea-Bissau,0.6999999999999997,0.6755000000000001,0.67660005
Guyana,0.3439999999999999,0.2845,
Haiti,0.99,0.2477187041068309,0.2646257685205493
Heavily indebted poor countries (HIPC),,,
High income,,,
Honduras,0.6999999999999998,0.391375828971834,0.4009431782737071
"Hong Kong SAR, China",0.32,0.10000000000000002,
Hungary,0.6999999999999998,0.43510499999999996,0.45576680999999997
IBRD only,,,
IDA & IBRD total,,,
IDA blend,,,
IDA only,,,
IDA total,,,
Iceland,0.2999999999999999,0.2588924625,0.2626661344425
India,0.6999999999999998,0.52231544875,0.5368855819525
Indonesia,0.3,0.19760155000000001,0.205414551735
"Iran, Islamic Rep.",0.6999999999999998,0.27298385870631203,0.30206365792841217
Iraq,0.6999999999999997,0.6,0.6088
Ireland,0.3000000000000001,0.2663043624999999,0.2689090352787499
Isle of Man,0.2999999999999999,0.2688517875,
Israel,0.6999999999999998,0.5499999999999999,0.5569149999999999
Italy,0.5700000000000001,0.2394999999999999,0.2600901499999999
Jamaica,0.6999999999999998,0.391375828971834,0.40767118520212114
Japan,0.3,0.20493824999999996,0.21194430097499994
Jordan,0.6999999999999998,0.5499999999999999,0.5622849999999999
Kazakhstan,0.43421459615058977,0.12597759214313936,0.15664717404188067
Kenya,0.6999999999999997,0.6,0.60468
Kiribati,0.6999999999999998,0.4444999999999999,0.4602387999999999
"Korea, Dem. People’s Rep.",,,
"Korea, Rep.",0.3,0.20907224999999996,
Kosovo,,,
Kuwait,0.6999999999999998,0.4921332951438577,
Kyrgyz Republic,0.6695666402757435,0.1573663400378202,0.20664000892070844
Lao PDR,0.3999999999999998,0.3,0.30724999999999997
Late-demographic dividend,,,
Latin America & Caribbean,,,
Latin America & Caribbean (excluding high income),,,
Latin America & the Caribbean (IDA & IBRD countries),,,
Latvia,0.43421459615058977,0.12597759214313936,0.14551981819721171
Least developed countries: UN classification,,,
Lebanon,0.6999999999999998,0.49999999999999994,
Lesotho,0.6999999999999997,0.6416008539893611,0.6432593897360632
Liberia,0.6999999999999997,0.6734349004145419,0.6751616318875967
Libya,0.6999999999999997,0.6,
Liechtenstein,0.10500000000000004,0.10000000000000002,
Lithuania,0.4734920000000001,0.2625238,0.27625782982
Low & middle income,,,
Low income,,,
Lower middle income,,,
Luxembourg,0.2999999999999999,0.259837,0.26267250779999995
"Macao SAR, China",0.3000000000000001,0.25749999999999995,
"Macedonia, FYR",0.4472128,0.16786880000000004,0.18292544160000002
Madagascar,0.6999999999999998,0.4424472127146907,0.4591881438882358
Malawi,0.6999999999999998,0.4424472127146907,0.45648383962174
Malaysia,0.39486964955708176,0.22297463449207036,0.2308130471790349
