country,vp,vr,v
Afghanistan,0.6999999999999998,0.4549088965878277,
Albania,0.6999999999999998,0.35149999999999987,0.3825164999999999
Algeria,0.5503924,0.10000000000000002,0.14233688560000002
American Samoa,0.3000000000000001,0.27549999999999997,
Andorra,0.10499999999999998,0.10000000000000002,
Angola,0.6999999999999997,0.6,0.6053999999999999
Antigua and Barbuda,0.3,0.21750000000000005,0.21834975000000006
Arab World,,,
Argentina,0.6999999999999998,0.3973657374999999,0.4118921820999999
Armenia,0.2999999999999999,0.2375,0.24262499999999998
Aruba,0.6999999999999997,0.6764212741773349,
Australia,0.6999999999999998,0.5385999999999999,0.5503821999999999
Austria,0.5700000000000001,0.2394999999999999,0.2662704999999999
Azerbaijan,0.2999999999999999,0.2375,0.24275
"Bahamas, The",0.6999999999999998,0.47350000000000003,
Bahrain,0.6999999999999997,0.62725,
Bangladesh,0.6999999999999998,0.4141510725658423,0.43959162710748234
Barbados,0.39799999999999985,0.24700000000000003,
Belarus,0.6999999999999998,0.29499999999999993,0.33347499999999997
Belgium,0.46000000000000013,0.26999999999999996,0.28634
Belize,0.466,0.26899999999999996,0.27532369999999995
Benin,0.7000000000000002,0.6734349004145418,0.6742849836012764
Bermuda,0.6999999999999998,0.5265,
Bhutan,0.6999999999999997,0.6738905766438061,0.6756399080086711
Bolivia,0.6999999999999998,0.38885421167860285,0.40067775163481595
Bosnia and Herzegovina,0.6999999999999998,0.4420235935,0.4608558711745
Botswana,0.6999999999999997,0.6416008539893611,0.6432360300776588
Brazil,0.6999999999999997,0.6506628849962744,0.6524390211364085
British Virgin Islands,,,
Brunei Darussalam,0.39486964955708176,0.22297463449207036,
Bulgaria,0.6999999999999998,0.3853306138,0.404210776972
Burkina Faso,0.6999999999999997,0.6734349004145419,0.6756398036801349
Burundi,0.6999999999999998,0.4424472127146907,0.45944569667552104
Cabo Verde,,,
Cambodia,0.6999999999999998,0.20316341249999995,
Cameroon,0.6343680960785822,0.3,0.31504656432353617
Canada,0.39271984947110816,0.27848915166168753,0.28602837771710926
Caribbean small states,,,
Cayman Islands,0.6999999999999998,0.391375828971834,
