ISO,Country,EXPOSED VALUE,EARTHQUAKE,TROPICAL CYCLONES,TSUNAMI,FLOODS
AFG,Afghanistan,60187.9,146.81,0,0,74.52
ALB,Albania,40459.7,46.73,0,0,27.74
DZA,Algeria,899206,991.52,0,0,161.69
WSM,American Samoa,1930.49,0.4,14.29,0.01,0
AND,Andorra,8381.65,0.12,0,0,0
AGO,Angola,176183,4.6,0,0,159.95
AIA,Anguilla,865.496,4.44,20.72,0,0
ATG,Antigua and Barbuda,6257.29,30.93,238.29,0.06,0
ARG,Argentina,1380560,1103.92,0,0,648.2
ARM,Armenia,22895.2,45.24,0,0,17.68
ABW,Aruba,8909.38,16.14,39.35,0,0
AUS,Australia,6616530,61.35,1205.46,51.13,3376.6
AUT,Austria,1801470,524.6,0,0,607.3
AZE,Azerbaijan,192784,282.02,0,0,28.59
BHS,Bahamas,45743.7,0,2189.98,0,0
BHR,Bahrain,103503,25.66,0,0,0
BGD,Bangladesh,381432,126.46,489.2,5.5,2343.16
BRB,Barbados,14036.5,22.82,80.72,0,0
BLR,Belarus,229400,0,0,0,394.65
BEL,Belgium,1980550,190.39,0,0,100.41
BLZ,Belize,5994.43,2.95,43.51,0,36.86
BEN,Benin,21971.9,0.23,0,0,23.89
BMU,Bermuda,10451.9,0,61.19,0.07,0
BTN,Bhutan,11083.7,7.98,0,0,45.54
BOL,Bolivia (Plurinational State of),60590,74.5,0,0,61.7
BIH,Bosnia and Herzegovina,30656.2,14.91,0,0,46.86
BWA,Botswana,90628.6,31.51,0,0,51.01
BRA,Brazil,6817410,0,0,0,3614.74
VGB,British Virgin Islands,3849.5,20.54,66.12,0,0
BRN,Brunei Darussalam,71236.5,5.94,0,0.4,26.12
BGR,Bulgaria,163822,83.36,0,0,48.15
BFA,Burkina Faso,24689.4,0,0,0,25.04
BDI,Burundi,3616.17,3.87,0,0,2.8
CPV,Cabo Verde,7137.79,0,0.15,0,0
KHM,Cambodia,27390.5,0,0.01,0,242.43
CMR,Cameroon,81683.7,9.88,0,0,102.84
CAN,Canada,6291920,294.11,97.47,0,2083.02
CYM,Cayman Islands,8554.03,3.26,386.51,0,0
CAF,Central African Republic,3893.74,0.43,0,0,6.57
TCD,Chad,26745.1,0,0,0,49.83
CHL,Chile,784154,2396.64,0,11.81,347.97
CHN,China,31726100,6954.76,6105.05,0,13732.71
HKG,"China, Hong Kong Special Administrative Region",1250060,7.91,1011.67,119.06,0
MAC,"China, Macao Special Administrative Region",56709.1,0,2.18,9.3,0
COL,Colombia,944577,3140.03,0,13.2,599.64
COM,Comoros,1426.14,0.25,0.56,0,0
COG,Congo,69047.7,0.99,0,0,153.62
CRI,Costa Rica,140412,236.24,0.83,0.47,38.87
CIV,Cote d'Ivoire,45467.6,0.33,0,0,54.93
HRV,Croatia,188114,152.79,0,0,123.07
CUB,Cuba,174919,3.41,321.91,0,5.51
CYP,Cyprus,71610.5,28.55,0,0.55,0.01
CZE,Czech Republic,1007260,149.9,0,0,334.81
,,,,,,
COD,Democratic Republic of the Congo,27402,4.18,0,0,63.32
DNK,Denmark,1346390,0,0,0,19.64
DJI,Djibouti,4744.66,2.95,0,0,0.22
DMA,Dominica,2027.94,13.06,55.46,0,0
DOM,Dominican Republic,202173,363.87,549.35,0,87.07
ECU,Ecuador,282705,1248.86,0,2.24,189.62
EGY,Egypt,617149,176.9,0,8.52,93.59
SLV,El Salvador,71580.5,250.38,0,0,10.7
GNQ,Equatorial Guinea,20061.4,2.53,0,0,31.74
ERI,Eritrea,9081.79,0.71,0,0,7.21
EST,Estonia,79617.3,1.09,0,0,52.81
ETH,Ethiopia,65598.9,2.94,0,0,83.72
FRO,Faeroe Islands,9272.37,0,1.13,0,0
FLK,Falkland Islands (Malvinas),44.9375,0,0,0,0
FJI,Fiji,11571,1.52,130.27,0,0
FIN,Finland,965383,0,0,0,0
FRA,France,10329400,501.01,0,0,2813.36
GUF,French Guiana,16800.4,0.18,0,0,58.4
PYF,French Polynesia,22002,0,104.08,0,0
GAB,Gabon,120252,2.9,0,0,296.97
GMB,Gambia,2097.61,0.05,0,0,1.75
GEO,Georgia,53823.5,167.01,0,0,40.32
DEU,Germany,15114900,2350.12,0,0,2105.63
GHA,Ghana,74174,0,0,0,66.26
GIB,Gibraltar,4042.19,2.53,0,0,0
GRC,Greece,1181280,5109.11,0,0,42.38
GRD,Grenada,4536.19,8.6,21.07,0,0
GLP,Guadeloupe,41119.1,179.86,903.51,0.28,0
GTM,Guatemala,172912,701.65,0,0,57.41
GIN,Guinea,13665.9,0.45,0,0,24.41
GNB,Guinea-Bissau,2029.35,0.06,0,0,1.01
GUY,Guyana,8076.05,0.06,0,0,33.75
HTI,Haiti,28268.6,119.53,51.16,0,27.94
HND,Honduras,77974.8,675.94,24.34,0,104.84
HUN,Hungary,562480,123.2,0,0,1403.06
ISL,Iceland,57291.7,31.5,0,0,0
IND,India,5769370,446.55,1887.36,0,6230.81
