Country,Country name,Region,Exposed Value (from GED),AAL,PML 20 years,PML 50 years,PML 100 years,PML 250 years,PML 500 years,PML 1000 years,PML 1500 years
BWA,Botswana,Sub-Saharan Africa,90628.6,0,0,0,0,0,0,0,0
NAM,Namibia,Sub-Saharan Africa,42062.7,0,0,0,0,0,0,0,0
COG,Congo,Sub-Saharan Africa,69047.7,0,0,0,0,0,0,0,0
AGO,Angola,Sub-Saharan Africa,176183,0,0,0,0,0,0,0,0
LSO,Lesotho,Sub-Saharan Africa,17938,0,0,0,0,0,0,0,0
DJI,Djibouti,Middle East and North Africa,4744.66,0,0,0,0,0,0,0,0
ERI,Eritrea,Sub-Saharan Africa,9081.79,0,0,0,0,0,0,0,0
KEN,Kenya,Sub-Saharan Africa,98382.7,0,0,0,0,0,0,0,0
CMR,Cameroon,Sub-Saharan Africa,81683.7,0,0,0,0,0,0,0,0
GAB,Gabon,Sub-Saharan Africa,120252,0,0,0,0,0,0,0,0
COM,Comoros,Sub-Saharan Africa,1426.14,0.26,0.92,5.63,8.49,11.1,12.7,14.14,15.59
GHA,Ghana,Sub-Saharan Africa,74174,0,0,0,0,0,0,0,0
GNB,Guinea-Bissau,Sub-Saharan Africa,2029.35,0,0,0,0,0,0,0,0
BEN,Benin,Sub-Saharan Africa,21971.9,0,0,0,0,0,0,0,0
BFA,Burkina Faso,Sub-Saharan Africa,24689.4,0,0,0,0,0,0,0,0
MYT,Mayotte,Sub-Saharan Africa,6949.04,36.31,278.77,596.93,799.9,1007.52,1099.88,1284.61,1309.95
MRT,Mauritania,Sub-Saharan Africa,11985.5,0,0,0,0,0,0,0,0
CIV,Ivory Coast,Sub-Saharan Africa,45467.6,0,0,0,0,0,0,0,0
CPV,Cape Verde,Sub-Saharan Africa,7137.79,0.15,0,0.87,7.06,10.22,11.99,12.73,13.46
BDI,Burundi,Sub-Saharan Africa,3616.17,0,0,0,0,0,0,0,0
ETH,Ethiopia,Sub-Saharan Africa,65598.9,0,0,0,0,0,0,0,0
LBR,Liberia,Sub-Saharan Africa,1911.24,0,0,0,0,0,0,0,0
NER,Niger,Sub-Saharan Africa,12723.5,0,0,0,0,0,0,0,0
STP,Sao Tome And Principe,Sub-Saharan Africa,2122.7,0,0,0,0,0,0,0,0
SWZ,Swaziland,Sub-Saharan Africa,13701.2,0,0,0,0,0,0,0,0
SYC,Seychelles,Sub-Saharan Africa,6234.98,0,0,0,0,0,0,0,0
MWI,Malawi,Sub-Saharan Africa,18357,0,0,0,0,0,0,0,0
MOZ,Mozambique,Sub-Saharan Africa,36409.4,38.72,222.28,363.59,487.94,639.31,766.32,832.04,897.76
MDG,Madagascar,Sub-Saharan Africa,23496.4,194.58,726.89,895.23,1061.73,1182.53,1359.9,1462.88,1503.86
MLI,Mali,Sub-Saharan Africa,27719.2,0,0,0,0,0,0,0,0
REU,Reunion,Sub-Saharan Africa,67897.7,114.65,148.76,2696.57,3951.13,5041.84,5918.78,6307.5,6696.21
RWA,Rwanda,Sub-Saharan Africa,13197.4,0,0,0,0,0,0,0,0
SDN,Sudan,Sub-Saharan Africa,70368.8,0,0,0,0,0,0,0,0
SOM,Somalia,Sub-Saharan Africa,6408.32,0,0,0,0,0,0,0,0
TCD,Chad,Sub-Saharan Africa,26745.1,0,0,0,0,0,0,0,0
SLE,Sierra Leone,Sub-Saharan Africa,3031.82,0,0,0,0,0,0,0,0
TZA,Tanzania,Sub-Saharan Africa,50142.8,0,0,0,0,0,0,0,0
UGA,Uganda,Sub-Saharan Africa,43697.1,0,0,0,0,0,0,0,0
ZMB,Zambia,Sub-Saharan Africa,48954.5,0,0,0,0,0,0,0,0
TUN,Tunisia,Middle East and North Africa,178846,0,0,0,0,0,0,0,0
ZAF,South Africa,Sub-Saharan Africa,1282850,0,0,0,0,0,0,0,0
LBY,Libya,Middle East and North Africa,73757.4,0,0,0,0,0,0,0,0
MUS,Mauritius,Sub-Saharan Africa,44217.9,57.15,269.95,831.07,1262.25,1657.26,1835.08,2172.35,2212.69
MAR,Morroco,Middle East and North Africa,374846,0,0,0,0,0,0,0,0
NGA,Nigeria,Sub-Saharan Africa,592030,0,0,0,0,0,0,0,0
CAF,Central African Republic,Sub-Saharan Africa,3893.74,0,0,0,0,0,0,0,0
DZA,Algeria,Middle East and North Africa,899206,0,0,0,0,0,0,0,0
EGY,Egypt,Middle East and North Africa,617149,0,0,0,0,0,0,0,0
ESH,Western Sahara,Middle East and North Africa,3690.88,0,0,0,0,0,0,0,0
GNQ,Equatorial Guinea,Sub-Saharan Africa,20061.4,0,0,0,0,0,0,0,0
GIN,Guinea,Sub-Saharan Africa,13665.9,0,0,0,0,0,0,0,0
GMB,The Gambia,Sub-Saharan Africa,2097.61,0,0,0,0,0,0,0,0
SEN,Senegal,Sub-Saharan Africa,35335.2,0,0,0,0,0,0,0,0
SSD,South Sudan,Sub-Saharan Africa,19958.3,0,0,0,0,0,0,0,0
TGO,Togo,Sub-Saharan Africa,12513.7,0,0,0,0,0,0,0,0
ZWE,Zimbawue,Sub-Saharan Africa,22038.1,0,0,0,0,0,0,0,0
COD,Democratic Republic of the Congo,Sub-Saharan Africa,27402,0,0,0,0,0,0,0,0
TLS,Timor-Leste,East Asia and the Pacific,12524.2,0,0,0,0,0,0,0,0
KHM,Cambodia,East Asia and the Pacific,27390.5,0.01,0,0.14,0.24,0.33,0.35,0.4,0.44
IRN,Iran,Middle East and North Africa,2067640,0,0,0,0,0,0,0,0
PRK,North Korea,East Asia and the Pacific,77982.1,0,0,0,0,0,0,0,0
THA,Thailand,East Asia and the Pacific,1379000,0.02,0,0,0,0,0,0,0
NZL,New Zealand,East Asia and the Pacific,679705,1.05,0,27.32,44.16,57,64.43,73.3,74.85
IDN,Indonesia,East Asia and the Pacific,2827830,0,0,0,0,0,0,0,0
TUV,Tuvalu,East Asia and the Pacific,123.265,0,0,0,0,0,0,0,0
PAK,Pakistan,South Asia,502344,7.5,0,173.3,220.79,265.18,309.38,325.77,342.15
KOR,South Korea,East Asia and the Pacific,5538600,64.15,339.87,849.52,1105.13,1408.73,1499.89,1680.13,1860.37
LKA,Sri Lanka,South Asia,208274,1.7,1.79,37.1,45.35,52.28,59.81,64.52,65.62
AUS,Australia,East Asia and the Pacific,6616530,129.23,401.03,1495.5,2071.07,2498.77,2932.4,3048.13,3163.87
PNG,Papua New Guinea,East Asia and the Pacific,47017.9,0.87,5.98,15,17.42,21.11,21.73,22.97,24.2
LAO,Laos,East Asia and the Pacific,21925.6,0.35,2.52,4.25,5.18,6.26,7.44,7.84,8.23
MAC,Macau,East Asia and the Pacific,56709.1,2.18,12.89,21.89,35.54,47.87,57.79,60.61,63.07
VNM,Vietnam,East Asia and the Pacific,487574,35.14,140.64,289.1,621.19,876.13,1072.2,1147.87,1223.53
HKG,Hong Kong,East Asia and the Pacific,1250060,113.44,772.67,1094.77,1349.65,1729.68,1996.14,2282.23,2375.31
JPN,Japan,East Asia and the Pacific,39255200,4533.35,11867.43,22861.42,33925.57,46339.5,55105.9,62223.25,69340.61
IND,India,South Asia,5769370,1160.44,10062.93,16330.44,20139.23,23949,28081.57,29608.06,31134.55
MMR,Myanmar,East Asia and the Pacific,195390,41.76,245.37,352.48,418.69,467.52,509.1,589.11,592
MHL,Marshall Islands,East Asia and the Pacific,766.314,0.25,1.96,3.43,4.6,5.73,6.37,7.26,7.32
BGD,Bangladesh,South Asia,381432,465.85,452.77,9705.84,13545.05,17810.98,19852.02,23479.03,24083.06
TWN,Taiwan,East Asia and the Pacific,1680400,2913.48,10594.3,14313.72,16708.2,20736.6,21899.39,24224.98,26550.56
FSM,Micronesia,East Asia and the Pacific,1347.82,4.31,23.11,49.94,88.02,141.21,165.61,194.82,202.36
FJI,Fiji,East Asia and the Pacific,11571,45.22,307.98,753.59,961.3,1172.67,1288.37,1386.68,1484.99
PYF,French Polynesia,East Asia and the Pacific,22002,104.08,246.82,1965.36,2716.03,3598.98,4265.23,4837.63,5410.02
SLB,Solomon Islands,East Asia and the Pacific,3693.47,21.24,52.89,481.55,741.67,884.7,985.64,1022.88,1060.11
PHL,Philippines,East Asia and the Pacific,566949,4071.51,13456.31,18350.42,21890.05,26833.42,29207.14,32395.48,35583.82
WSM,Samoa,East Asia and the Pacific,1930.49,14.29,30.27,378.56,496.65,554.09,647.04,649.55,652.06
VUT,Vanuatu,East Asia and the Pacific,2809.61,35.05,253.09,445,544.87,582.91,619.87,693.8,741.15
NCL,New Caledonia,East Asia and the Pacific,17113.3,221.95,749.05,3448.79,4496.84,5670.62,6346.91,7256.69,7333.58
TON,Tonga,East Asia and the Pacific,1303.32,18.03,71.34,256.84,407.77,492.67,572.54,583.71,594.89
PLW,Palau,East Asia and the Pacific,780.067,11.88,35.92,233.44,422.63,463.98,499.22,569.69,0
MYS,Malaysia,East Asia and the Pacific,1170980,0,0,0,0,0,0,0,0
MNG,Mongolia,East Asia and the Pacific,36587.6,0,0,0,0,0,0,0,0
BTN,Bhutan,South Asia,11083.7,0,0,0,0,0,0,0,0
TKM,Turkmenistan,Europe and Central Asia,36127,0,0,0,0,0,0,0,0
CHN,China,East Asia and the Pacific,31726100,1271.05,4532.94,8306.87,12962.98,18469.1,22534.45,24644.54,26754.62
NPL,Nepal,South Asia,53996.6,0,0,0,0,0,0,0,0
AFG,Afghanistan,South Asia,60187.9,0,0,0,0,0,0,0,0
