country,iso3,wb_risk,ndgain_risk,inform_risk,wb_resilience,ndgain_readiness,inform_coping,gdp,pop,protection,exposure,asset_vulnerability
Mali,MLI,0.035752729,38.29222488,6.734110832,0.252451032,0.353986979,7.801228046,1589.167358,15301650,2,0.067079946,0.178635076
Madagascar,MDG,0.048802499,38.28547668,4.810108662,0.43528825,0.307788283,7.695029259,1368.632446,22924851,2,0.039037123,0.331235439
Botswana,BWA,0.002055631,61.46232605,2.928443193,0.493484616,0.638838708,4.846069813,15246.6084,2021144,50,0.026719928,0.557670593
Zambia,ZMB,0.0039526,45.43256378,4.05598259,0.327109277,0.383585542,6.253811836,3799.540527,14538640,10,0.017963158,0.319559664
South Africa,ZAF,0.001115589,57.49561691,4.212235451,0.452331811,0.470238686,4.807793617,12105.55469,52981991,50,0.019518668,0.557306171
Bangladesh,BGD,0.154628754,42.2678833,6.011384964,0.612664998,0.345972657,5.840101242,2853.447754,156594962,2,0.174521714,0.385141939
Lithuania,LTU,0.000467159,67.59222412,1.373433113,0.722907245,0.676426888,2.894061565,24482.60156,2956121,100,0.071094602,0.153645873
Slovenia,SVN,0.001764069,73.72118378,1.389709115,0.811208248,0.73873508,1.926294684,27575.80469,2060484,100,0.11003691,0.369293422
France,FRA,0.000613441,75.63906097,2.294409752,0.749427021,0.747631669,2.226830721,37154.44531,66028467,100,0.083606616,0.158413053
Vietnam,VNM,0.012421494,51.10633469,3.654206991,0.699704111,0.436957568,4.673454285,5124.603516,89708900,10,0.193138987,0.125435934
Malaysia,MYS,0.001390711,65.17236328,3.041619301,0.563863754,0.599720299,3.274210453,22589.37109,29716965,50,0.098445542,0.129772976
Tanzania,TZA,0.012999046,43.81121063,5.30742836,0.503105223,0.369686484,6.882645607,1718.117798,49253126,2,0.018943563,0.334759146
Hungary,HUN,0.003137902,66.35264587,1.855592847,0.797054648,0.636203229,1.99975884,22913.91602,9897247,50,0.074206561,0.384171456
Italy,ITA,0.00033621,67.90020752,2.340558767,0.646194935,0.63189286,2.481046438,34167.23828,59831093,100,0.038160708,0.150866672
Guatemala,GTM,0.001854631,48.5155983,5.180683613,0.251684219,0.387086242,5.249916554,7062.530762,15468203,10,0.02830236,0.132485777
"Congo, Dem. Rep.",COD,0.06292776,34.01310349,6.99985075,0.527504325,0.224229142,8.332550049,783.2592773,67513677,2,0.031802855,0.51351428
Uruguay,URY,0.00018622,62.59449387,1.690898061,0.561333716,0.572755933,3.001917362,18965.81641,3407062,100,0.011037281,0.326179028
Armenia,ARM,0.001769563,59.01716232,3.253666639,0.68376267,0.560994089,5.291628838,7526.836426,2976566,10,0.039878871,0.124426752
Germany,DEU,0.000388544,78.84398651,1.758314133,0.751111448,0.819183528,1.755634308,43206.66016,80621788,100,0.073113903,0.133647174
Turkey,TUR,0.000666678,61.83575821,4.682287693,0.544327259,0.541314006,3.655460835,18660.13086,74932641,50,0.027105235,0.325073391
Bosnia and Herzegovina,BIH,0.00473428,55.14905548,3.263869524,0.543978155,0.440200716,4.77693224,9387.349609,3829307,50,0.111948013,0.384649366
Iraq,IRQ,0.009807098,43.7562027,7.010271072,0.39688918,0.306226939,7.019946098,14471.47363,33417476,50,0.22551693,0.518580258
Honduras,HND,0.007742673,45.25389862,3.906587839,0.341087282,0.323461384,5.67483902,4445.270996,8097688,10,0.042758945,0.255188108
Serbia,SRB,0.004100787,57.48344803,3.704777479,0.708755314,0.520251095,4.374167442,12892.77734,7163976,50,0.092392758,0.387598842
Belgium,BEL,0.000848832,69.48078156,1.360451698,0.761100829,0.717824578,1.661587238,40607.25781,11195138,100,0.097459786,0.147950798
Kenya,KEN,0.014205515,39.72094345,6.214412212,0.465679169,0.310864776,6.573053837,2705.323242,44353691,2,0.014787173,0.512546003
Slovak Republic,SVK,0.002425789,66.6557312,2.06307435,0.648659229,0.631629527,3.366586208,26263.3457,5414095,100,0.12753877,0.388448358
Czech Republic,CZE,0.001241812,69.97628784,1.703905463,0.765410721,0.659784913,2.725950241,27959.15039,10521468,100,0.074853234,0.39105767
Bulgaria,BGR,0.00123239,64.27951813,2.460737467,0.665512383,0.588950634,3.662621498,15695.01758,7265115,50,0.041496363,0.393463701
Mozambique,MOZ,0.010450485,41.8129921,5.744740963,0.42165333,0.343336791,7.199801445,1069.624634,25833752,2,0.043111857,0.14466241
Croatia,HRV,0.0015916,63.5318222,1.951852679,0.741198599,0.584593773,3.193216801,20063.13086,4252700,100,0.086369239,0.386420697
Dominican Republic,DOM,0.000419816,50.25018692,3.845620155,0.575408399,0.412255913,5.281898022,11795.4707,10403761,50,0.042322893,0.13312304
Peru,PER,0.002339448,55.99256134,4.635421276,0.512098074,0.471289605,4.782636166,11396.49316,30375603,50,0.061390381,0.311900973
Ukraine,UKR,0.008685898,59.63124847,5.069834709,0.715946436,0.510845721,5.553412437,8508.014648,45489600,10,0.038319312,0.40899387
Panama,PAN,0.000750401,56.5655899,3.247108221,0.467547506,0.4837479,4.053640366,18793.39258,3864170,50,0.018735997,0.600002587
Colombia,COL,0.000902142,57.68986511,5.464838505,0.432613522,0.463193059,4.273443222,12025.38574,48321405,50,0.026544163,0.255525112
Spain,ESP,0.000316761,69.93968964,2.063162327,0.729965925,0.649609387,2.32276392,31596.37891,46647421,100,0.039899033,0.110067375
Moldova,MDA,0.015961327,54.72658157,3.805021524,0.669982433,0.506922662,4.964904308,4520.533691,3559000,10,0.070003517,0.403763086
Mexico,MEX,0.001685235,57.45371246,4.596210957,0.585298419,0.464346498,4.096893311,16290.8125,122332399,50,0.056970902,0.394449025
Liberia,LBR,0.079608731,37.37616348,3.608308077,0.477175206,0.347151518,7.487543106,849.8309326,4294077,2,0.061802279,0.601249754
Poland,POL,0.000169768,70.27268219,2.252424479,0.663347364,0.67704612,3.314855337,22877.22461,38530725,100,0.045617372,0.131489873
Pakistan,PAK,0.013415522,46.80976868,6.268153667,0.575267375,0.348591059,5.945381165,4454.074707,182142594,10,0.068151362,0.497723252
Azerbaijan,AZE,0.000284186,52.98804092,4.594303608,0.582269371,0.449429691,5.579379082,16593.54688,9416598,50,0.041010555,0.124378398
Cambodia,KHM,0.078783967,44.00240326,4.611074925,0.388997167,0.366325975,6.918273449,2943.524658,15135169,2,0.109813049,0.263616771
Georgia,GEO,0.003861715,58.27166748,4.219574928,0.791114092,0.566289544,4.12391901,6946.23584,4476900,10,0.079743765,0.157051489
Latvia,LVA,0.000433489,64.62138367,1.30171454,0.653221607,0.677198529,3.253700733,21824.56836,2013385,100,0.055000652,0.127627209
Denmark,DNK,3.67E-05,81.412323,0.857433498,0.772862792,0.871649265,1.107992649,41990.51563,5613706,100,0.00534152,0.1255631
Senegal,SEN,0.013560533,43.02380371,4.742940903,0.589315116,0.359160394,6.056972027,2170.077148,14133280,10,0.030310441,0.617976308
Bolivia,BOL,0.006095321,48.18281555,3.662351131,0.391332954,0.325694472,5.689580917,5934.388184,10671200,10,0.046137672,0.258609772
"Yemen, Rep.",YEM,0.001014331,37.85648346,7.165207386,0.716946602,0.307569653,8.194339752,3832.284668,24407381,10,0.013169339,0.129999995
Sri Lanka,LKA,0.013937607,53.40065002,4.482880116,0.644281864,0.443870664,4.266664982,9425.737305,20483000,10,0.061434317,0.60671103
Lao PDR,LAO,0.015154273,43.45106125,4.313845635,0.559861124,0.372960389,6.290460587,4667.339844,6769727,10,0.152696922,0.141795054
Paraguay,PRY,0.003680558,52.35908508,3.162482023,0.408490151,0.376145661,4.891734123,7833.074219,6802295,10,0.017937306,0.321491182
Thailand,THA,0.004908612,60.12642288,4.257266522,0.553291559,0.552662492,4.120910168,13931.81152,67010502,50,0.133690998,0.252475083
Nepal,NPL,0.060051791,45.37027359,5.249833584,0.551004827,0.369189322,6.391107559,2172.790283,27797457,2,0.050608624,0.363996476
United States,USA,0.000213283,78.89530182,3.166282177,0.622087479,0.798518896,2.57016325,51340.48828,316128839,100,0.038707703,0.135238484
Cameroon,CMR,0.003958156,44.77544022,4.297609806,0.322776318,0.327999443,7.172063351,2739.343994,22253959,10,0.03395129,0.163529187
Finland,FIN,0.000105743,81.50279236,0.307370931,0.804529429,0.867059708,1.701438904,38845.65625,5439407,100,0.015912594,0.142600969
Rwanda,RWA,0.067364395,44.59977341,4.125424862,0.399142385,0.454755992,5.534348011,1426.366333,11776522,2,0.078063048,0.60689646
Burkina Faso,BFA,0.010858651,39.57143402,4.417040348,0.603691161,0.337436497,6.656978607,1581.990479,16934839,2,0.010395299,0.601356566
Argentina,ARG,0.002583734,57.25459671,2.65013814,0.522039592,0.456604064,4.011629582,18087.19531,41446246,50,0.069562405,0.323578179
Costa Rica,CRI,0.000227507,58.16699982,2.827311039,0.452260166,0.503936768,2.888030291,13430.74316,4872166,50,0.017925728,0.179983214
Syrian Arab Republic,SYR,0.013309402,44.95712662,6.67368412,0.546613514,0.313047111,5.917973518,4959.392578,22845550,10,0.050333686,0.403772175
Estonia,EST,8.61E-05,69.78753662,0.98351413,0.641692936,0.693689227,2.421190739,25132.02734,1324612,100,0.012318277,0.129808396
Ecuador,ECU,0.003477478,50.63285446,4.251963615,0.618227243,0.368490607,4.400121689,10540.65723,15737878,50,0.054520611,0.600428402
Jamaica,JAM,1.84E-05,53.11022949,3.133831739,0.501568317,0.451489449,4.086540222,8606.655273,2715000,50,0.000809521,0.268323273
Mongolia,MNG,0.003175871,58.01439667,2.966311932,0.599224389,0.518080592,5.348209858,9132.305664,2839073,10,0.031500593,0.129644588
Romania,ROU,0.001977953,59.38641739,2.867573261,0.743179858,0.561870337,4.399197102,18200.30273,19963581,50,0.053309605,0.451993763
Uganda,UGA,0.002089032,39.08383179,6.412771225,0.384191841,0.33543691,7.149110794,1367.82312,37578876,2,0.003686757,0.258913726
Greece,GRC,0.00015464,64.62271881,2.367785692,0.585435212,0.589055777,2.856892824,24539.50586,11032328,100,0.014985985,0.176266164
Australia,AUS,0.000745441,80.11140442,1.845148444,0.707618713,0.788908184,2.210321665,42831.0625,23130900,100,0.041670181,0.447437406
Philippines,PHL,0.002171062,50.70018387,5.24668932,0.663962543,0.403989732,4.701581955,6326.216309,98393574,10,0.033293381,0.122817799
Gabon,GAB,0.001951644,50.38057327,3.158957958,0.370145232,0.382854134,6.249833584,18646.36914,1671711,50,0.06321232,0.195420429
United Kingdom,GBR,0.000136472,79.9831543,2.131302118,0.676102698,0.803155839,1.758713961,37017.10938,64097085,100,0.02828454,0.128166512
Austria,AUT,0.000692789,77.61824036,1.697112918,0.688124299,0.81097281,1.97773838,44375.79297,8473786,100,0.07072708,0.161214769
El Salvador,SLV,0.003505882,49.50302887,3.665485144,0.552149892,0.406280965,4.976108551,7515.08252,6340454,10,0.008215094,0.32805419
Niger,NER,0.014878651,35.57199478,5.984322548,0.496153504,0.318769544,8.182749748,886.8096313,17831270,2,0.021829572,0.184627056
Jordan,JOR,0.000199771,54.36618805,3.967813492,0.722149491,0.483832806,4.667625904,11406.50488,6459000,50,0.003215141,0.461578906
Netherlands,NLD,0.001661908,73.33258057,1.36784029,0.747630596,0.783985674,1.401446581,44944.59375,16804224,100,0.314986289,0.128229752
"Congo, Rep.",COG,0.005142136,37.61143875,4.529213905,0.333154112,0.266249955,7.657235146,5680.22998,4447632,10,0.041483473,0.159678698
Ireland,IRL,0.000208533,74.82196808,1.386613607,0.705188811,0.758559167,2.005447865,44931.04297,4595281,100,0.036976896,0.127735898
Nigeria,NGA,0.006195555,42.00712585,6.477125168,0.333188474,0.300178409,6.787214756,5422.693359,173615345,10,0.031153003,0.6008479
Sierra Leone,SLE,0.056170914,38.64665604,4.323259831,0.497843653,0.353430301,7.340224743,1494.64856,6092075,2,0.039002795,0.601770818
Malawi,MWI,0.021032386,39.61584473,4.126264095,0.505795598,0.312568396,6.730012417,754.9819946,16362567,2,0.020351263,0.326897711
Canada,CAN,0.000173951,78.22241974,2.714777708,0.689875007,0.764731288,2.611354113,41894.09766,35158304,100,0.035635304,0.138978332
Brazil,BRA,0.003952674,56.84755707,3.400291443,0.553313911,0.410955012,4.235169888,14555.08203,200361925,50,0.055357512,0.57015264
Belarus,BLR,0.000613283,64.4892807,2.20939374,0.674062014,0.61229527,4.044138908,17054.55859,9466000,50,0.037058774,0.263599873
Kyrgyz Republic,KGZ,0.003794626,54.39173889,3.638290167,0.590401888,0.442825764,5.179360867,3109.867188,5719500,10,0.05578864,0.215550646
Benin,BEN,0.05222683,40.32119751,4.33881855,0.524763107,0.363430113,7.386187553,1733.309448,10323474,2,0.031194445,0.601135135
"Egypt, Arab Rep.",EGY,0.014182827,52.82292557,4.642037869,0.545936286,0.41358608,4.721504211,10733.48828,82056378,10,0.096048944,0.463887274
Sweden,SWE,8.21E-05,81.55766296,1.172485828,0.707425296,0.868691027,1.4965626,43741.22656,9592552,100,0.019771978,0.128256425
Albania,ALB,0.003502237,55.2025528,2.614965439,0.635594785,0.516264856,5.122849941,10405.35156,2773620,50,0.060982607,0.347853422
