country,vp,vr,v
Afghanistan,0.6999999999999998,0.45468464062685954,0.4777442844079347
Albania,0.6999999999999998,0.35149999999999987,0.3823422499999999
Algeria,0.5522099499999998,0.10000000000000002,
American Samoa,0.3000000000000001,0.27549999999999997,
Andorra,0.10499999999999998,0.10000000000000002,
Angola,0.6999999999999997,0.6,0.6053999999999999
Antigua and Barbuda,0.3,0.2175,
Arab World,,,
Argentina,0.6999999999999998,0.3972539125,0.4111196833075
Armenia,0.2999999999999999,0.2375,0.24298124999999998
Aruba,0.6999999999999997,0.6764212741773349,
Australia,0.6999999999999998,0.5385999999999999,0.5499464199999998
Austria,0.5700000000000001,0.2394999999999999,0.26746029999999993
Azerbaijan,0.2999999999999999,0.2375,0.24258124999999997
"Bahamas, The",0.6999999999999998,0.47350000000000003,
Bahrain,0.6999999999999997,0.62725,
Bangladesh,0.6999999999999998,0.41553519761222835,0.44079567206426246
Barbados,0.398,0.24699999999999991,
Belarus,0.6999999999999998,0.29499999999999993,0.3329484999999999
Belgium,0.46000000000000013,0.26999999999999996,0.285865
Belize,0.466,0.26899999999999996,
Benin,0.6999999999999997,0.6734349004145419,0.675065997529089
Bermuda,0.6999999999999998,0.5265,
Bhutan,0.6999999999999997,0.673890576643806,0.6756529627203491
Bolivia,0.6999999999999998,0.38885421167860285,0.3991842518508732
Bosnia and Herzegovina,0.6999999999999998,0.4420310714249999,0.46130135038955244
Botswana,0.6999999999999997,0.6416008539893611,0.6432593897360632
Brazil,0.6999999999999997,0.6506628849962744,0.6523354131949007
Brunei Darussalam,0.39486964955708176,0.22297463449207036,
Bulgaria,0.6999999999999998,0.3857760364,0.40591779246675996
Burkina Faso,0.6999999999999997,0.6734349004145419,0.6752200751066846
Burundi,0.6999999999999998,0.4424472127146907,0.46552394245545436
Cabo Verde,,,
Cambodia,0.6999999999999998,0.20385327749999993,0.24845686785274992
Cameroon,0.6343680960785822,0.3,0.3212323741009899
Canada,0.3927198494711082,0.27848915166168753,0.28659953120615644
Caribbean small states,,,
Cayman Islands,0.6999999999999998,0.391375828971834,
Central African Republic,0.7000000000000002,0.6348205552960912,0.6370171025826129
Central Europe and the Baltics,,,
Chad,0.6999999999999997,0.6734349004145419,0.6747312772743123
Channel Islands,,,
Chile,0.313141,0.11529374999999999,0.12423644569999999
China,0.6999999999999997,0.5370080662500001,0.5446197895561251
Colombia,0.5302351999999999,0.2226012,0.23275312199999998
Comoros,0.6999999999999998,0.4424472127146907,0.44901480879046607
"Congo, Dem. Rep.",0.6999999999999997,0.6,0.60547
"Congo, Rep.",0.6343680960785822,0.3,0.31875805019000847
Costa Rica,0.6999999999999998,0.32104216733095076,0.3369962920863177
Cote d'Ivoire,0.6999999999999997,0.6734349004145419,0.6748136290830271
Croatia,0.6999999999999998,0.44120128109999995,0.46193105848388993
Cuba,0.3,0.14625,
Curacao,,,
Cyprus,0.4646689476190476,0.10000000000000002,
Czech Republic,0.6999999999999998,0.4135,0.44023045
Denmark,0.2999999999999999,0.25,0.254565
Djibouti,0.6224866506129807,0.2919383715793353,0.3118704328050641
Dominica,0.40199999999999997,0.26899999999999996,
Dominican Republic,0.3489973692170465,0.2999999999999999,0.3024547681977739
East Asia & Pacific (all income levels),,,
East Asia & Pacific (developing only),,,
Ecuador,0.6999999999999997,0.6764212741773349,0.6774351593877095
"Egypt, Arab Rep.",0.6999999999999998,0.5499999999999999,0.5638749999999999
El Salvador,0.6999999999999998,0.43999999999999995,0.4548199999999999
Equatorial Guinea,0.6999999999999998,0.3269905140632944,
Eritrea,0.6999999999999997,0.6,
Estonia,0.4342145961505898,0.12597759214313936,0.14807818533047357
Ethiopia,0.6224866506129807,0.2919383715793353,0.31825001459041347
Euro area,,,
Europe & Central Asia (all income levels),,,
Europe & Central Asia (developing only),,,
European Union,,,
Faeroe Islands,,,
Fiji,0.5179999999999999,0.22549999999999995,0.24363499999999993
Finland,0.39999999999999997,0.2825,0.2932865
Fragile and conflict affected situations,,,
France,0.5700000000000001,0.2394999999999999,0.2653120499999999
French Polynesia,0.6999999999999998,0.4444999999999999,
Gabon,0.6999999999999998,0.3269905140632944,0.34884886993918535
"Gambia, The",0.6999999999999997,0.6734349004145419,0.6747073686846853
Georgia,0.5390769999999999,0.201292325,0.21912735583999998
Germany,0.2999999999999999,0.24072669375,0.24564045083812497
Ghana,0.6999999999999997,0.6973988599523725,0.6975351596908681
Greece,0.44601325999999997,0.14181598750000002,0.16143671157625003
Greenland,0.3000000000000001,0.26311504999999996,
Grenada,0.3159999999999999,0.26899999999999996,
Guam,0.39486964955708176,0.22297463449207036,
Guatemala,0.5837106449697208,0.09999999999999998,0.11871960196032817
Guinea,0.6999999999999997,0.6849999999999998,0.6861324999999998
Guinea-Bissau,0.6999999999999997,0.6755000000000001,0.6772836000000001
Guyana,0.3439999999999999,0.2845,
Haiti,0.99,0.2445621006189214,0.2646257685205493
Heavily indebted poor countries (HIPC),,,
High income,,,
High income: OECD,,,
High income: nonOECD,,,
Honduras,0.6999999999999998,0.391375828971834,0.39943091983566914
"Hong Kong SAR, China",0.32,0.10000000000000002,
Hungary,0.6999999999999998,0.43510499999999996,0.45695883749999994
Iceland,0.2999999999999999,0.2588924625,0.26282234308499997
India,0.6999999999999998,0.52231544875,0.53748970942675
Indonesia,0.3,0.19760155000000001,0.205414551735
"Iran, Islamic Rep.",0.6999999999999998,0.27298385870631203,0.30044099659149615
Iraq,0.6999999999999997,0.6,0.6088
Ireland,0.3000000000000001,0.2663043624999999,0.2688719700774999
Isle of Man,0.2999999999999999,0.2688517875,
Israel,0.6999999999999998,0.5499999999999999,0.5569149999999999
Italy,0.5700000000000001,0.2394999999999999,0.2595613499999999
Jamaica,0.6999999999999998,0.391375828971834,0.40788722212184086
Japan,0.3,0.20493824999999996,0.21194430097499994
Jordan,0.6999999999999998,0.5499999999999999,0.5623449999999999
Kazakhstan,0.43421459615058977,0.12597759214313936,0.15510598902184342
Kenya,0.6999999999999997,0.6,0.60484
Kiribati,0.6999999999999998,0.4444999999999999,
"Korea, Dem. Rep.",,,
"Korea, Rep.",0.3,0.20907224999999996,
Kosovo,,,
Kuwait,0.6999999999999998,0.4921332951438577,
Kyrgyz Republic,0.6695666402757435,0.1573663400378202,0.19670332309609273
Lao PDR,0.3999999999999998,0.3,0.30762
Latin America & Caribbean (all income levels),,,
Latin America & Caribbean (developing only),,,
Latvia,0.43421459615058977,0.12597759214313936,0.14521158119320426
Least developed countries: UN classification,,,
Lebanon,0.6999999999999998,0.49999999999999994,
Lesotho,0.6999999999999997,0.6416008539893611,0.6432593897360632
Liberia,0.6999999999999997,0.6734349004145419,0.6751456928278454
Libya,0.6999999999999997,0.6,
Liechtenstein,0.10500000000000004,0.10000000000000002,
Lithuania,0.4734920000000001,0.2625238,0.27735486445999996
Low & middle income,,,
Low income,,,
Lower middle income,,,
Luxembourg,0.2999999999999999,0.259837,
"Macao SAR, China",0.3000000000000001,0.25749999999999995,
"Macedonia, FYR",0.4472128,0.16786880000000004,0.18298131040000004
Madagascar,0.6999999999999998,0.4424472127146907,0.4591881438882358
Malawi,0.6999999999999998,0.4424472127146907,0.4563808185068259
Malaysia,0.39486964955708176,0.22297463449207036,0.23077866817602188
Maldives,0.6999999999999998,0.44449999999999995,0.46113305
Mali,0.6492645999999999,0.10000000000000003,0.14377638862000003
Malta,0.5700000000000001,0.2394999999999999,
Marshall Islands,0.2999999999999999,0.26398755000000007,
Mauritania,0.5864441499999998,0.10000000000000002,0.12928393783
Mauritius,0.2999999999999999,0.3,0.3
Mexico,0.6999999999999998,0.3221211,0.34048601454
"Micronesia, Fed. Sts.",0.6999999999999998,0.4444999999999999,0.44856244999999983
Middle East & North Africa (all income levels),,,
Middle East & North Africa (developing only),,,
Middle income,,,
Moldova,0.6999999999999998,0.4153083161363591,0.4394786400963822
Monaco,0.5700000000000001,0.2394999999999999,
Mongolia,0.4342145961505898,0.12597759214313933,0.1478624194276683
