country,gdp_pc_pp,gdp_pc_pp_B,gdp_pc_pp_2015_1,gdp_pd_pp_2005,pop,share1,share1_orig,urbanization_rate,axfin_p,axfin_r,social_p,social_r
Afghanistan,1809.016488,1802.695566,1809.016488,1820.304303,32526562,,,0.26703,0.02233598,0.04460866,0.111074297,0.043162523
Albania,10971.29252,11359.1704,10971.29252,10397.28739,2889167,0.089,0.0885,0.57407,0.04461803,0.09645449,0.243888298,0.168005653
Algeria,13724.72385,13921.18002,13724.72385,13822.56622,39666519,0.094,,0.70727,0.1018003,0.1647805,,
American Samoa,,,,,55538,,,0.87202,,,,
Andorra,,,,,70473,,,0.85115,,,,
Angola,6231.067992,5984.640422,6231.067992,6937.006266,25021974,0.054,0.0543,0.4405,0.0402588,0.2220807,,
Antigua and Barbuda,20154.94749,21013.01763,20154.94749,21615.30668,91818,,,0.23773,,,,
Arab World,15304.99644,15506.22982,15304.99644,15449.04109,392022276,,,0.57821685,,,,
Argentina,19101.29739,18489.43489,19101.29739,18087.19626,43416755,0.051,0.0475,0.91751,0.01099222,0.06069045,0.200153446,0.145651065
Armenia,8195.93365,8190.239289,8195.93365,7899.28441,3017712,0.082,0.0848,0.62673,0.004417139,0.02506004,0.733632664,0.317179551
Aruba,,,,36015.07046,103889,,,0.41528,,,,
Australia,43719.50216,44260.57597,43719.50216,43654.58052,23781169,0.073,0.0709,0.89423,0.4856016,0.702807,,
Austria,44288.92875,44438.72482,44288.92875,43892.72954,8611088,0.079,0.0778,0.65968,0.4861395,0.6850328,,
Azerbaijan,16698.86365,16001.3234,16698.86365,16695.38942,9651349,,0.1337,0.5462,0.04266026,0.06077156,0.857128962,0.386053296
"Bahamas, The",21081.1124,20878.86949,21081.1124,22394.31356,388019,,,0.82874,,,,
Bahrain,43926.47404,,43926.47404,44182.03764,1377237,,,0.88775,0.2638231,0.4028472,,
Bangladesh,3132.56754,3319.353556,3132.56754,3136.561069,160995642,0.089,0.0889,0.34277,0.03864263,0.09956344,0.063258356,0.145820582
Barbados,16460.15411,16750.52593,16460.15411,15425.73681,284215,,,0.31475,,,,
Belarus,17229.55519,16752.09877,17229.55519,16621.03344,9513000,0.095,0.0965,0.76667,0.07855246,0.1958292,0.713104557,0.385745929
Belgium,41722.92186,42094.57905,41722.92186,41138.38336,11285721,0.086,0.0862,0.97858,0.4867135,0.6023575,,
Belize,8061.331831,7846.015832,8061.331831,8024.844341,359287,,,0.43973,0.1267646,0.2864756,0.42036753,0.112876376
Benin,1987.167146,2009.961384,1987.167146,1985.613853,10879829,0.032,0.0606,0.4395,0.0402082,0.09291302,0.047258796,0.074529866
Bermuda,,,,50669.31477,65235,,,1,,,,
