Country,WRI
Afghanistan,9.55
Albania,10.03
Algeria,7.53
Angola,6.62
Argentina,3.62
Armenia,6.18
Australia,3.98
Austria,3.61
Azerbaijan,5.98
Bahamas,4.21
Bahrain,1.76
Bangladesh,19.26
Barbados,1.22
Belarus,3.07
Belgium,3.26
Belize,6.60
Benin,11.41
Bhutan,7.71
Bolivia,4.82
Bosnia a.Herzegov.,6.18
Botswana,5.43
Brazil,4.21
Brunei Darussalam,16.15
Bulgaria,4.26
Burkina Faso,9.48
Burundi,10.59
Cambodia,16.82
Cameroon,11.12
Canada,3.14
Cape Verde,10.17
Centr. Afr. Republic,7.02
Chad,11.05
Chile,11.20
China,6.80
Colombia,6.72
Comoros,7.48
Congo,7.35
Costa Rica,17.17
Cote d'Ivoire,9.06
Croatia,4.21
Cuba,6.12
Cyprus,2.76
Czech Republic,3.46
Denmark,2.95
Djibouti,9.94
Dominican Rep.,11.34
Ecuador,7.44
Egypt,2.26
El Salvador,16.80
Equatorial Guinea,4.69
Eritrea,6.23
Estonia,2.42
Ethiopia,7.45
Fiji,13.47
Finland,2.26
France,2.76
Gabon,6.25
Gambia,12.11
Georgia,6.55
Germany,3.00
Ghana,8.65
Greece,7.06
Grenada,1.44
Guatemala,20.10
Guinea,8.50
Guinea-Bissau,13.78
Guyana,11.61
Haiti,11.93
Honduras,10.70
Hungary,5.41
Iceland,1.55
India,6.88
Indonesia,10.39
Iran (Islamic Rep.),4.83
Iraq,4.76
Ireland,4.46
Israel,2.39
Italy,4.54
Jamaica,12.07
Japan,13.35
Jordan,4.68
Kazakhstan,3.67
Kenya,6.95
Kiribati,1.73
"Korea, Republic of",4.79
Kuwait,3.26
Kyrgyzstan,8.25
Lao P. D. Republic,5.67
Latvia,3.42
Lebanon,4.96
Lesotho,6.97
Liberia,7.89
Libyan Arab Jam.,3.95
Lithuania,2.98
Luxembourg,2.46
Madagascar,11.16
Malawi,8.27
Malaysia,6.44
Mali,8.75
Malta,0.62
Mauritania,8.14
Mauritius,14.66
Mexico,6.23
Mongolia,2.96
Morocco,6.76
Mozambique,8.93
Myanmar,9.01
Namibia,5.59
Nepal,5.23
Netherlands,8.29
New Zealand,4.23
Nicaragua,14.63
Niger,11.41
Nigeria,8.12
Norway,2.28
Oman,2.75
Pakistan,7.03
Panama,7.30
Papua N. Guinea,16.82
Paraguay,3.65
Peru,6.82
Philippines,27.98
Poland,3.27
Portugal,3.56
Qatar,0.08
Rep. of Moldova,4.88
Romania,6.50
Russia,3.84
Rwanda,7.32
Saudi Arabia,1.10
Senegal,10.89
Serbia,6.89
Seychelles,2.56
Sierra Leone,10.50
Singapore,2.24
Slovakia,3.52
Slovenia,3.57
Solomon Islands,19.29
South Africa,5.43
Spain,3.10
Sri Lanka,7.37
Sudan,8.02
Suriname,8.36
Swaziland,7.55
Sweden,2.22
Switzerland,2.46
Syrian Arab Rep.,5.59
Tajikistan,7.16
Thailand,6.38
The f. Yugoslav Rep. of Macedonia,6.14
Timor-Leste,16.23
Togo,10.59
Tonga,28.45
Trinidad and Tobago,7.48
Tunisia,5.46
Turkey,5.37
Turkmenistan,6.90
Uganda,6.63
Ukraine,3.09
United Arab Emirates,1.84
United Kingdom,3.58
United Republic of Tanzania,7.94
United States,3.87
Uruguay,3.93
Uzbekistan,8.56
Vanuatu,36.72
Venezuela,5.89
Viet Nam,12.89
Yemen,6.00
Zambia,7.55
Zimbabwe,9.88
