country,hazard,rp,0
Afghanistan,earthquake,0.1,0.9213344004668588
Afghanistan,earthquake,0.5,21.963366104338142
Afghanistan,earthquake,1.0,39.203531177830484
Afghanistan,earthquake,1.5,56.08786661884277
Afghanistan,earthquake,2.0,72.08164753574073
Afghanistan,earthquake,3.0,96.21173214821549
Afghanistan,earthquake,5.0,147.63021917962425
Afghanistan,earthquake,10.0,257.36266643458214
Afghanistan,earthquake,20.0,451.19659420286996
Afghanistan,earthquake,50.0,832.8249971056208
Afghanistan,earthquake,100.0,1379.800700593865
Afghanistan,earthquake,250.0,2180.1463908900596
Afghanistan,earthquake,500.0,3055.6220732702586
Afghanistan,earthquake,1000.0,3989.3705161696826
Afghanistan,earthquake,1500.0,4626.066376375401
Afghanistan,earthquake,2000.0,5031.65848832608
Afghanistan,earthquake,4000.0,6015.9614243488395
Afghanistan,earthquake,5000.0,6303.5056446360495
Afghanistan,earthquake,30000.0,9534.528987535825
Afghanistan,flood,2.0,0.0
Afghanistan,flood,3.0,0.17353924081609665
Afghanistan,flood,5.0,15.939885841383731
Afghanistan,flood,10.0,181.9396461046535
Afghanistan,flood,20.0,864.6364089274275
Afghanistan,flood,50.0,1559.588274609758
Afghanistan,flood,100.0,1947.2334078519552
Afghanistan,flood,250.0,2380.1630123730683
Afghanistan,flood,500.0,2642.9773789346905
Afghanistan,flood,1000.0,2822.019261166707
Afghanistan,flood,1500.0,3033.1838794342852
Afghanistan,flood,2000.0,3160.151773387102
Afghanistan,flood,4000.0,3479.8092625412405
Afghanistan,flood,5000.0,3753.9420423944657
Afghanistan,flood,30000.0,4305.431456625288
Albania,earthquake,0.5,4.623251350120767
Albania,earthquake,1.0,10.654186737528132
Albania,earthquake,1.5,16.257876124472016
Albania,earthquake,2.0,22.18378288905457
Albania,earthquake,3.0,34.400664815567616
Albania,earthquake,5.0,55.00346100633506
Albania,earthquake,10.0,90.6309635623055
Albania,earthquake,20.0,157.60458523673216
Albania,earthquake,50.0,305.52082031836045
Albania,earthquake,100.0,529.3383631779021
Albania,earthquake,250.0,973.3995771854853
Albania,earthquake,500.0,1555.5213022866285
Albania,earthquake,1000.0,2107.522573111264
Albania,earthquake,1500.0,2653.6250650430848
Albania,earthquake,2000.0,3229.1631851383404
Albania,earthquake,4000.0,4209.065022952359
Albania,earthquake,5000.0,4291.806084756577
Albania,earthquake,30000.0,5569.04895334949
Albania,flood,10.0,7.662005833806402
Albania,flood,20.0,299.92667851042836
Albania,flood,50.0,675.7088434344886
Albania,flood,100.0,784.0710920061439
Albania,flood,250.0,1507.8469468854612
Albania,flood,500.0,1649.9878527167355
Albania,flood,1000.0,1921.1575417866682
Albania,flood,1500.0,2179.611568728538
Albania,flood,2000.0,2307.988269604762
Albania,flood,4000.0,2527.1279620165574
Albania,flood,5000.0,2579.4675525424354
Albania,flood,30000.0,2831.8048333769584
Albania,tsunami,50.0,0.0
Albania,tsunami,100.0,0.0
Albania,tsunami,250.0,0.007402005233370432
Albania,tsunami,500.0,0.21877168466496694
Albania,tsunami,1000.0,3.1679023734238356
Albania,tsunami,1500.0,19.317466071738494
Albania,tsunami,2000.0,21.277442536899578
Albania,tsunami,4000.0,86.23356819583437
Albania,tsunami,5000.0,101.34367098724783
Albania,tsunami,30000.0,322.32636194390614
Algeria,earthquake,0.5,15.826551197760649
Algeria,earthquake,1.0,308.39982870789095
Algeria,earthquake,1.5,514.3044053296431
Algeria,earthquake,2.0,645.7133192731217
Algeria,earthquake,3.0,872.4887085932614
Algeria,earthquake,5.0,1398.2830984601324
Algeria,earthquake,10.0,2135.7925419094195
Algeria,earthquake,20.0,3643.6025880309066
Algeria,earthquake,50.0,6867.699167070601
Algeria,earthquake,100.0,9852.934716500267
Algeria,earthquake,250.0,16037.49898800028
Algeria,earthquake,500.0,20387.22935657055
Algeria,earthquake,1000.0,23075.42862921445
Algeria,earthquake,1500.0,25656.624757657206
Algeria,earthquake,2000.0,26449.03665440353
Algeria,earthquake,4000.0,33243.78046541275
Algeria,earthquake,5000.0,34011.08966552706
Algeria,flood,1.5,0.01727488885729364
Algeria,flood,2.0,0.7902819723452983
Algeria,flood,3.0,25.83535012030971
Algeria,flood,5.0,171.877729724796
Algeria,flood,10.0,551.8719275999104
Algeria,flood,20.0,1010.322538443184
Algeria,flood,50.0,2586.835832436802
Algeria,flood,100.0,3446.582124540774
Algeria,flood,250.0,7475.410438179708
Algeria,flood,500.0,9549.680606361819
Algeria,flood,1000.0,10749.13001889397
Algeria,flood,1500.0,11629.302761361232
Algeria,flood,2000.0,12176.903065368893
Algeria,flood,4000.0,13191.897452834342
Algeria,flood,5000.0,13545.113560602895
Algeria,flood,30000.0,14748.785077575158
Algeria,tsunami,100.0,0.0
Algeria,tsunami,250.0,14.562795222971708
Algeria,tsunami,500.0,31.159524637526353
Algeria,tsunami,1000.0,72.75552912141745
Algeria,tsunami,1500.0,113.24034770927601
