country,income_cat,n,c,axfin,gamma_SP,k,fa,shew
Albania,nonpoor,0.8,12493.55935715,0.09645449,1.094743098803578,67982.53636693957,0.019638884863824358,0.0
Albania,poor,0.2,4882.2251714,0.04461803,0.6210276047856879,24143.185359747327,0.01885644043559078,0.0
Algeria,nonpoor,0.8,15543.249760125002,0.1647805,1.043466843387153,54429.07468673063,0.02401195919508335,0.6000000000000002
Algeria,poor,0.2,6450.6202095,0.10180030000000001,0.8261326264513884,19809.270756735896,0.02461891094125574,0.6000000000000002
Angola,nonpoor,0.8,7368.23790054,0.22208070000000002,1.1604757421563552,17078.114838250305,0.0025014485044538965,0.0
Angola,poor,0.2,1682.3883578400003,0.040258800000000004,0.358097031374579,3740.1030414298643,0.011066076712731507,0.0
Argentina,nonpoor,0.8,22658.914028887495,0.06069045,1.164035416197906,84336.54712118862,0.007588824149980051,0.8000000000000004
Argentina,poor,0.2,4870.830834449999,0.01099222,0.34385833520837505,16972.709068017306,0.00796235157520533,0.8000000000000004
Armenia,nonpoor,0.8,9404.833863375,0.02506004,1.0359629836137951,26997.722272122635,0.047251901683744206,0.4000000000000002
Armenia,poor,0.2,3360.3327965,0.0044171390000000005,0.8561480655448195,3762.987159274228,0.04710384521107197,0.4000000000000002
Australia,nonpoor,0.8,50659.973127900004,0.702807,0.9182778183098946,192423.6455083224,0.0048567070499331245,1.0
Australia,poor,0.2,15957.618288399999,0.48560159999999997,1.3268887267604212,29265.94646508325,0.005230268320622871,1.0
Austria,nonpoor,0.8,50987.62922343749,0.6850328,1.1274635775032424,222751.7590646927,0.021231532291325614,1.0
Austria,poor,0.2,17494.126856249997,0.48613950000000006,0.49014568998702934,62351.222865210286,0.022845595601068573,1.0
Bangladesh,nonpoor,0.8,3567.2112861749997,0.09956344,1.1991777076703831,12208.068707478624,0.0571578608972592,0.8000000000000004
Bangladesh,poor,0.2,1393.9925553,0.03864263,0.2032891693184677,5231.778044470871,0.05703907639563037,0.8000000000000004
Belarus,nonpoor,0.8,19490.934308687498,0.1958292,1.046852147882383,53126.29440446441,0.0143235703749746,0.8000000000000004
Belarus,poor,0.2,8184.038715249999,0.07855246,0.8125914084704686,10418.858709970165,0.015065419198939368,0.8000000000000004
Belgium,nonpoor,0.8,47668.438225050006,0.6023575,1.084866627560227,228148.46817628975,0.006230487115074185,0.0
Belgium,poor,0.2,17940.8563998,0.4867135,0.6605334897590918,50132.364883732145,0.006501380865777602,0.0
Benin,nonpoor,0.8,2404.47224666,0.09291302,1.2243358144014043,7273.831692862902,0.007687678974306543,0.4000000000000002
Benin,poor,0.2,317.94674336,0.0402082,0.10265674239438313,990.1714499086778,0.017189550866231335,0.4000000000000002
Bhutan,nonpoor,0.8,9030.667937835,0.2584666,1.1398036483700025,48684.141344620475,0.030320092364825045,0.6000000000000002
Bhutan,poor,0.2,2594.0182286599997,0.1739075,0.4407854065199899,13893.94908455176,0.02833419694039809,0.6000000000000002
Bolivia,nonpoor,0.8,7845.987676847499,0.3135603,1.1071623813558795,18836.89065798887,0.01803158221184458,0.6000000000000002
Bolivia,poor,0.2,1273.6462826099998,0.1129292,0.5713504745764821,2070.524752625243,0.01861147269382578,0.6000000000000002
Bosnia and Herzegovina,nonpoor,0.8,12612.8511991625,0.11128210000000001,1.0890473537432623,39271.31413090054,0.015792957499217133,0.0
Bosnia and Herzegovina,poor,0.2,4208.838753349999,0.05371241,0.6438105850269503,11654.492380913714,0.016028826174750484,0.0
Botswana,nonpoor,0.8,18658.096008299995,0.3458668,1.0839556918065747,66726.17089237012,0.004730614342352396,0.8000000000000004
Botswana,poor,0.2,2149.9040668,0.1474994,0.6641772327737007,6168.839790852419,0.004992082295532853,0.8000000000000004
Brazil,nonpoor,0.8,17672.551894849996,0.1676081,1.2114325556981178,66457.11568437118,0.002209807806082551,0.2000000000000001
Brazil,poor,0.2,2639.8832706000003,0.05749141,0.15426977720752866,10289.726237466732,0.002453449345485601,0.2000000000000001
Bulgaria,nonpoor,0.8,19975.196518749995,0.199541,1.1315847765002909,63481.839308127375,0.007958753128560021,0.8000000000000004
Bulgaria,poor,0.2,5100.050174999999,0.05927353,0.473660893998836,9169.20829672804,0.007557874282080511,0.8000000000000004
Burkina Faso,nonpoor,0.8,1829.7984641825,0.1090839,1.0893191363303794,4615.751808634186,0.0031931741804776714,0.6000000000000002
Burkina Faso,poor,0.2,662.47883327,0.05447056,0.642723454678482,1212.5153818902484,0.0020792762105435996,0.6000000000000002
Burundi,nonpoor,0.8,870.968271975375,0.05378873,1.1546453907963237,1882.808864183517,0.023997810386982277,0.6000000000000002
Burundi,poor,0.2,258.2032685985,0.01814623,0.38141843681470433,551.364032501946,0.02451551091439813,0.6000000000000002
Cameroon,nonpoor,0.8,3926.3208017874995,0.1220212,1.01086039618204,9406.6139871275,0.017689137965562172,0.8000000000000004
Cameroon,poor,0.2,740.0395228499999,0.01092981,0.95655841527184,1553.5549084081888,0.024967159564152106,0.8000000000000004
Canada,nonpoor,0.8,50205.31286942499,0.6994052,0.9480528519889098,155510.28618717907,0.009299262194611276,0.8000000000000004
Canada,poor,0.2,14190.795072300001,0.5176056,1.2077885920443607,18860.104127297247,0.010149450580794875,0.8000000000000004
Central African Republic,nonpoor,0.8,757.174142134375,0.03726327,1.1969176919665334,2405.821810089234,0.008844563721965763,0.0
Central African Republic,poor,0.2,103.3577939625,0.0062126659999999995,0.2123292321338659,327.83501718962174,0.010503547810584164,0.0
Chad,nonpoor,0.8,2434.1286965362497,0.05942366,1.25,3220.342680501278,0.007183639055310221,0.0
Chad,poor,0.2,501.67110885499994,0.026735900000000003,0.0,711.5294072351271,0.007975668512864898,0.0
Chile,nonpoor,0.8,26818.575051099997,0.1811644,1.138764501160066,77782.33834206774,0.08254404263515189,0.8000000000000004
Chile,poor,0.2,5408.7882456,0.1033565,0.44494199535973566,13237.366205995624,0.08383868540530194,0.8000000000000004
China,nonpoor,0.8,16080.321463049999,0.4840392,1.1025467859810107,71004.00329143049,0.01426962808657611,0.8000000000000004
China,poor,0.2,3528.1717978,0.305054,0.5898128560759575,11990.135717661815,0.014574898221570175,0.8000000000000004
Colombia,nonpoor,0.8,15614.923213824999,0.1673623,1.184274494692513,55893.88839482864,0.05981587883859434,0.8000000000000004
Colombia,poor,0.2,2467.2227946999997,0.05714529,0.26290202122994877,8489.240883558372,0.0648634354292349,0.8000000000000004
Comoros,nonpoor,0.8,1686.8395119187498,0.1475529,1.1747780139957908,8524.97911576783,0.01111071319726759,0.5999999999999999
Comoros,poor,0.2,317.93833732499996,0.03531137,0.300887944016836,1590.8387902840368,0.01133833433916167,0.5999999999999999
"Congo, Dem. Rep.",nonpoor,0.8,886.5249852374999,0.06591558,1.2194671003678696,3736.085051567025,0.015355498673064827,0.4000000000000002
"Congo, Dem. Rep.",poor,0.2,206.38676904999997,0.02017935,0.12213159852852101,885.1966145138563,0.029402558800844483,0.4000000000000002
"Congo, Rep.",nonpoor,0.8,6637.6143459449995,0.13450479999999998,1.1858645474303984,17835.330802079065,0.03888624632768385,0.0
"Congo, Rep.",poor,0.2,1164.00752622,0.04429218,0.2565418102784063,3009.3416892978844,0.04312974694518529,0.0
Costa Rica,nonpoor,0.8,17841.119824687496,0.29628730000000003,1.1676607682235431,37200.27254860719,0.021312934889091997,1.0
Costa Rica,poor,0.2,3206.5544512499996,0.1604869,0.3293569271058269,5943.744646360958,0.021312934889091997,1.0
Cote d'Ivoire,nonpoor,0.8,3821.0502110099997,0.1283048,1.165601919667982,6642.004129159118,0.006455175124759343,0.4000000000000002
Cote d'Ivoire,poor,0.2,923.8594359599999,0.02885922,0.337592321328072,1572.128066277077,0.00630648727273055,0.4000000000000002
Croatia,nonpoor,0.8,24054.547043812498,0.292387,1.0776290716070742,107344.13282605397,0.012363820345966241,0.8000000000000004
Croatia,poor,0.2,7577.052574749998,0.2455249,0.6894837135717019,20884.304701730154,0.012850915004392704,0.8000000000000004
Cyprus,nonpoor,0.8,35169.6524917125,0.2639375,1.1127463956790131,177397.06673793393,0.023258683982928987,0.0
Cyprus,poor,0.2,12066.894883149998,0.15590479999999998,0.5490144172839467,47522.92725144224,0.023262858023031012,0.0
Czech Republic,nonpoor,0.8,34545.868411949996,0.42273649999999996,1.139634203874688,142943.75863783213,0.00795824040031386,1.0
Czech Republic,poor,0.2,14843.628952199997,0.3099159,0.4414631845012468,66370.1284273663,0.00868623173632199,1.0
Denmark,nonpoor,0.8,51481.974522375,0.6937743000000001,1.0428507107699565,234767.33052887238,0.00036154901313094806,0.8000000000000004
Denmark,poor,0.2,21365.587660499998,0.5787514,0.8285971569201745,48707.713272643545,0.00040141146537064616,0.8000000000000004
Djibouti,nonpoor,0.8,3731.8114147312504,0.04367659,1.0665819524761517,14475.467983253864,0.02164352129473768,0.6000000000000002
Djibouti,poor,0.2,769.122016075,0.01797438,0.7336721900953925,2330.095659449796,0.021689889348809048,0.6000000000000002
Dominican Republic,nonpoor,0.8,15861.971519387498,0.3398572,1.1379571420506738,42298.22365462264,0.0911278938793328,0.8000000000000004
Dominican Republic,poor,0.2,3409.7388724499992,0.16015629999999997,0.448171431797304,8077.56594980271,0.0903646001049498,0.8000000000000004
Ecuador,nonpoor,0.8,12818.336177475,0.17610920000000002,1.1651561361481382,50048.902562183976,0.021246658983278432,0.6000000000000002
Ecuador,poor,0.2,2472.2996401,0.09100455,0.33937545540744635,8546.843777040665,0.022617082233824446,0.6000000000000002
"Egypt, Arab Rep.",nonpoor,0.8,11471.1370556625,0.05446997,1.1530944263089176,23232.52908658863,0.007606488776464582,0.6000000000000002
"Egypt, Arab Rep.",poor,0.2,4593.50262735,0.02068763,0.38762229476432974,9505.495286129419,0.012848634834778732,0.6000000000000002
El Salvador,nonpoor,0.8,9208.253703656252,0.2072156,1.1842239643437065,68444.09790679066,0.019230972550850142,0.6000000000000002
El Salvador,poor,0.2,2392.773060375,0.0411891,0.2631041426251734,18422.23154735429,0.019824431887167124,0.6000000000000002
Estonia,nonpoor,0.8,31854.2034590625,0.3648965,1.1155973414270308,116006.39689802499,0.016054063254850263,0.0
Estonia,poor,0.2,10331.093013749998,0.24340720000000002,0.5376106342918763,27825.13811921939,0.016656991089223465,0.0
Ethiopia,nonpoor,0.8,1789.9031603599997,0.1639884,1.1440339379203173,4744.1469898062605,0.01054674819851652,0.8000000000000004
Ethiopia,poor,0.2,505.92551856,0.09488185,0.4238642483187312,1296.3833172565242,0.0069345420883896456,0.8000000000000004
France,nonpoor,0.8,43477.82068908749,0.5990517,1.122863009275521,197586.43821011894,0.015957223075173277,1.0
France,poor,0.2,14917.471593649998,0.4053758,0.5085479628979154,54717.78493151055,0.01737424553342194,1.0
Georgia,nonpoor,0.8,10514.280111594999,0.008063393,1.104088143766673,30972.564584874726,0.05931856577947071,0.6000000000000002
Georgia,poor,0.2,3068.5452686200006,0.01164885,0.5836474249333076,332.1338294866679,0.05999517901794764,0.6000000000000002
Germany,nonpoor,0.8,50638.48406732501,0.6140809,1.0944906863929318,191795.79273931184,0.009816758073521446,0.8000000000000004
Germany,poor,0.2,17135.7993807,0.5265064,0.6220372544282718,37489.71185459307,0.010510568971947245,0.8000000000000004
Ghana,nonpoor,0.8,4646.847834529999,0.2321198,1.0061650235322845,11747.01330888869,0.003771480588952216,0.8000000000000004
Ghana,poor,0.2,1061.01388188,0.1174127,0.9753399058708615,1177.4741685423871,0.004516518566334926,0.8000000000000004
Greece,nonpoor,0.8,28430.317539299995,0.16323,1.192105367812764,118510.19614799749,0.06193571684386237,1.0
Greece,poor,0.2,7130.2390428,0.0654293,0.23157852874894386,36329.652885462485,0.06207053960463205,1.0
Guatemala,nonpoor,0.8,8705.6834304,0.2047981,1.0927804006661896,13490.811131769002,0.05686214979984785,0.4000000000000002
Guatemala,poor,0.2,1640.8617984,0.06985804,0.6288783973352413,2345.729755535374,0.06214476117586902,0.4000000000000002
Guinea,nonpoor,0.8,2024.7878989800001,0.044386400000000006,1.224992096212182,5739.906232105331,0.008079835219474356,0.6000000000000002
Guinea,poor,0.2,666.16398408,0.0054247290000000005,0.10003161515127153,2007.841193130291,0.009834770211986782,0.6000000000000002
Haiti,nonpoor,0.8,1950.5136006562498,0.12755239999999998,1.1998446326513026,14621.867884094105,0.2096786318902968,0.6000000000000002
Haiti,poor,0.2,454.0878223749999,0.04369855,0.20062146939478936,3417.985485957993,0.22277297257648246,0.6000000000000002
Honduras,nonpoor,0.8,5194.967558384999,0.1964441,1.1667351978802227,14361.37309359533,0.05057471527764967,0.4000000000000002
Honduras,poor,0.2,776.0117514600001,0.06635398,0.3330592084791088,1840.302787359041,0.05211412669320876,0.4000000000000002
Hungary,nonpoor,0.8,28852.204466325,0.2304348,1.0899740897623413,139247.75565886937,0.03151808663207275,1.0
Hungary,poor,0.2,9763.4357847,0.1423596,0.6401036409506338,8709.643750139403,0.03889313585445867,1.0
India,nonpoor,0.8,6595.596544311249,0.18833629999999998,1.074368802678621,14698.377251513351,0.004772864432565895,0.8000000000000004
India,poor,0.2,2387.936807755,0.07480032,0.7025247892855162,4783.077172686886,0.005100755407046798,0.8000000000000004
Indonesia,nonpoor,0.8,12026.526547999998,0.3511817,1.0835565390321888,39164.194924357435,0.020460640350976524,0.8000000000000004
Indonesia,poor,0.2,3732.370308,0.1379658,0.6657738438712437,10576.617699432241,0.020127889418401997,0.8000000000000004
"Iran, Islamic Rep.",nonpoor,0.8,19326.679722337496,0.2603003,1.093745230260455,61421.58394130149,0.014086273323945374,0.4000000000000002
"Iran, Islamic Rep.",poor,0.2,5197.78366065,0.1516682,0.6250190789581802,13765.720093097883,0.01449608127099206,0.4000000000000002
Iraq,nonpoor,0.8,17018.930495999997,0.03651581,1.1249677724876996,29186.814902246333,0.016127135024084662,0.6000000000000002
Iraq,poor,0.2,6568.710016,0.033137599999999996,0.5001289100492017,11048.313264230906,0.019310382573519726,0.6000000000000002
Ireland,nonpoor,0.8,70851.615101625,0.5566727,1.0968175885876217,238717.94547404879,0.008708794009962337,0.0
Ireland,poor,0.2,24309.566093499998,0.40051929999999997,0.6127296456495124,33772.341679645266,0.00961426281687621,0.0
Israel,nonpoor,0.8,38149.0102372625,0.6097891,1.0932522782033902,108320.72459296753,0.006026560614601165,0.0
Israel,poor,0.2,7525.722900949999,0.4204639,0.6269908871864386,13387.854572536618,0.006033022002165367,0.0
Italy,nonpoor,0.8,40237.35300585,0.44066890000000003,1.1692501198879177,197038.61539861636,0.013674794639191022,1.0
Italy,poor,0.2,10638.447276600002,0.20171340000000001,0.32299952044832936,50446.82050621564,0.013916870195247344,1.0
Japan,nonpoor,0.8,43774.44005469999,0.6250876999999999,0.997253809279633,215716.6094303598,0.028271416051328924,0.8000000000000004
Japan,poor,0.2,13992.693581200001,0.5732915,1.0109847628814677,35670.80475180111,0.029285948816963378,0.8000000000000004
Jordan,nonpoor,0.8,9743.480231872498,0.05062747,1.1269726833232263,55705.756789977306,0.0065216837234177445,0.6000000000000002
Jordan,poor,0.2,3481.330627509999,0.01797048,0.4921092667070941,18780.6255625352,0.006549799454541808,0.6000000000000002
Kazakhstan,nonpoor,0.8,26462.576835,0.1153157,1.0824581456260591,80207.06620202473,0.025083582329589127,0.8000000000000004
Kazakhstan,poor,0.2,11761.14526,0.02605716,0.6701674174957631,34954.7277721843,0.027287961256041906,0.8000000000000004
"Korea, Rep.",nonpoor,0.8,39603.3571171125,0.6404361999999999,1.0226672556743923,171438.95731405317,0.03210337952980487,1.0
"Korea, Rep.",poor,0.2,12474.843881549998,0.3633893,0.9093309773024305,35920.16338329773,0.03543838722914716,1.0
Kyrgyz Republic,nonpoor,0.8,3662.53832248125,0.0561118,1.099196121080198,7115.940318564651,0.06667653564512724,0.8000000000000004
Kyrgyz Republic,poor,0.2,1537.861395075,0.03731649,0.6032155156792077,2653.532090988779,0.0668395061178478,0.8000000000000004
Lao PDR,nonpoor,0.8,6647.093728274999,0.2385275,1.2219256315570572,26653.91601297935,0.059108524460250125,0.6000000000000002
Lao PDR,poor,0.2,2186.9226118999995,0.1325088,0.11229747377177077,9742.715000886512,0.05048113184541486,0.6000000000000002
Latvia,nonpoor,0.8,26748.855766099998,0.2983719,1.0377439709217788,115872.9556389904,0.049781618163807086,0.0
Latvia,poor,0.2,8177.260535599999,0.185183,0.849024116312884,17657.5605202759,0.04023278068668976,0.0
Lebanon,nonpoor,0.8,15372.3112902375,0.2486327,1.132114479618986,91847.76378732471,0.012295227867150767,0.6000000000000002
Lebanon,poor,0.2,5274.32178905,0.06085023,0.471542081524055,30822.69719757442,0.012362797420524298,0.6000000000000002
Lesotho,nonpoor,0.8,3290.4004748849998,0.1136827,1.2236656497551988,16506.570604736047,0.01215876541961299,0.4000000000000002
Lesotho,poor,0.2,379.14079546,0.02873374,0.10533740097920545,1945.206211104286,0.011532663786190668,0.4000000000000002
Liberia,nonpoor,0.8,905.9785955301251,0.20074909999999999,1.2152277068622772,1902.8153713170589,0.010743978798813725,0.0
Liberia,poor,0.2,302.32005137949994,0.0449625,0.13908917255089034,698.0170965893594,0.010774936689128852,0.0
Lithuania,nonpoor,0.8,31657.165391587503,0.3604111,1.0707658342263315,105826.69242578666,0.01834823179296378,0.0
Lithuania,poor,0.2,8226.14308365,0.16736099999999998,0.716936663094674,7588.226965370958,0.02037120927863327,0.0
Luxembourg,nonpoor,0.8,108319.49180478748,0.6614446999999999,1.1335495459984213,442394.33407516015,0.004732870509912735,0.0
Luxembourg,poor,0.2,37164.993930849996,0.5098123999999999,0.4658018160063143,133273.06427346403,0.005082099602809849,0.0
"Macedonia, FYR",nonpoor,0.8,15056.583588,0.1795803,1.0958980051711549,58527.45127278596,0.02176471299982124,0.6000000000000002
"Macedonia, FYR",poor,0.2,3572.748648,0.07452801,0.61640797931538,7615.498140868407,0.022338822285926596,0.6000000000000002
Madagascar,nonpoor,0.8,1623.33703107375,0.04567038,1.1939805082534478,5512.875174112243,0.036882585060513055,0.4000000000000002
Madagascar,poor,0.2,392.492940705,0.01404179,0.22407796698620855,1363.9146709316806,0.033226010723277036,0.4000000000000002
Malawi,nonpoor,0.8,1286.0290071562501,0.08640283,1.1998895803170941,5079.66664575647,0.02435011668234992,0.8000000000000004
Malawi,poor,0.2,299.392996375,0.04726892,0.20044167873162314,1190.669669594573,0.024518443929987314,0.8000000000000004
Malaysia,nonpoor,0.8,29814.423108974996,0.3924174,1.1131926371885639,119496.56489658054,0.019664296247751848,1.0
Malaysia,poor,0.2,5750.370914099999,0.255594,0.5472294512457437,20860.58493259686,0.021642245946048983,1.0
Mali,nonpoor,0.8,2207.11268415,0.04243126,1.2014434727965169,3419.824711740478,0.04333605245039694,0.6000000000000002
Mali,poor,0.2,767.6913684,0.008713539000000001,0.19422610881393254,1225.1332800349478,0.02408655307038008,0.6000000000000002
Malta,nonpoor,0.8,39156.615104125005,0.5080592,1.0909121012330236,179594.46238470345,0.013475578901806796,0.0
Malta,poor,0.2,14737.281833499997,0.2980542,0.6363515950679048,46924.584512147245,0.013475578901806796,0.0
Mauritania,nonpoor,0.8,4164.3665921875,0.1524401,1.1747092302200515,17463.19438833557,0.03701726078704009,0.6000000000000002
Mauritania,poor,0.2,1350.6053812499997,0.03751141,0.30116307911979445,5777.714555312319,0.040938159295606215,0.6000000000000002
Mauritius,nonpoor,0.8,21835.202301449997,0.4367753,1.1391575970056007,74651.37588619956,0.028022575061107655,0.8000000000000003
Mauritius,poor,0.2,6979.719094200002,0.2319739,0.44336961197759694,21328.132165134168,0.02874161965988645,0.8000000000000003
Mexico,nonpoor,0.8,19714.53591635,0.19560479999999997,1.124491210681997,54543.997287491366,0.005783104369089118,0.8000000000000004
Mexico,poor,0.2,4501.4162346,0.07032508,0.5020351572720121,8182.7537025997635,0.00554204210228997,0.8000000000000004
Moldova,nonpoor,0.8,5357.9334682912495,0.09047662,1.0924136237586834,21266.012884585292,0.026099384793537024,0.6000000000000002
Moldova,poor,0.2,2302.1906818349994,0.03550953,0.6303455049652654,7392.057507142816,0.02039728818236374,0.6000000000000002
Mongolia,nonpoor,0.8,13109.4684988625,0.4111103,1.060867335639998,64581.69663153431,0.02739040017181586,0.6000000000000002
Mongolia,poor,0.2,4621.83655455,0.21726669999999998,0.7565306574400081,16428.20914724182,0.03006095985315246,0.6000000000000002
Montenegro,nonpoor,0.8,17487.61427625,0.07029512,1.146056223564929,47876.475722448755,0.008534565198519051,0.0
Montenegro,poor,0.2,6498.129895,0.02831399,0.41577510574028426,18001.59575090216,0.009884574731595501,0.0
Myanmar,nonpoor,0.8,5859.63541375875,0.1680227,1.2126339833193434,8085.289974541841,0.07580562313465064,0.4000000000000002
Myanmar,poor,0.2,1845.7535499649996,0.06761485,0.14946406672262577,2682.9764369653,0.08335701791132014,0.4000000000000002
Namibia,nonpoor,0.8,12044.2545439975,0.3485483,1.1600212319933696,44048.52698786589,0.010978078218123053,0.8000000000000004
Namibia,poor,0.2,1644.09679401,0.14453729999999998,0.3599150720265211,4859.8928002327475,0.01568377991986486,0.8000000000000004
Nepal,nonpoor,0.8,2652.73758234625,0.22368110000000002,1.1911744398517778,9614.789160206996,0.02463996967635174,0.4000000000000002
Nepal,poor,0.2,960.4240756149999,0.08169342,0.23530224059288804,4366.174118285564,0.028782226837742966,0.4000000000000002
