country,hazard,rp,0
Afghanistan,earthquake,0.1,1.5307634931055226e-05
Afghanistan,earthquake,0.5,0.0003649133148745536
Afghanistan,earthquake,1.0,0.0006513523677986851
Afghanistan,earthquake,1.5,0.0009318794411973632
Afghanistan,earthquake,2.0,0.001197610276081085
Afghanistan,earthquake,3.0,0.0015985228284790712
Afghanistan,earthquake,5.0,0.002452822231372489
Afghanistan,earthquake,10.0,0.004275986808554247
Afghanistan,earthquake,20.0,0.0074964668015144245
Afghanistan,earthquake,50.0,0.013837083485312176
Afghanistan,earthquake,100.0,0.02292488524427443
Afghanistan,earthquake,250.0,0.03622233689645361
Afghanistan,earthquake,500.0,0.050768045957248195
Afghanistan,earthquake,1000.0,0.06628193567427478
Afghanistan,earthquake,1500.0,0.0768604051042718
Afghanistan,earthquake,2000.0,0.0835991700711618
Afghanistan,earthquake,4000.0,0.09995300424751222
Afghanistan,earthquake,5000.0,0.10473044656211712
Afghanistan,earthquake,30000.0,0.15841272062218195
Afghanistan,flood,2.0,0.0
Afghanistan,flood,3.0,2.8832911734102143e-06
Afghanistan,flood,5.0,0.0002648353878667262
Afghanistan,flood,10.0,0.0030228608425390074
Afghanistan,flood,20.0,0.014365618486895663
Afghanistan,flood,50.0,0.025911990194204447
Afghanistan,flood,100.0,0.032352572657493535
Afghanistan,flood,250.0,0.03954554008983647
Afghanistan,flood,500.0,0.04391210490704428
Afghanistan,flood,1000.0,0.04688682046003777
Afghanistan,flood,1500.0,0.050395243552845095
Afghanistan,flood,2000.0,0.05250476878886125
Afghanistan,flood,4000.0,0.0578157613497271
Afghanistan,flood,5000.0,0.06237037747445027
Afghanistan,flood,30000.0,0.07153317289065224
Albania,earthquake,0.5,0.00011426805809535827
Albania,earthquake,1.0,0.00026332836717840553
Albania,earthquake,1.5,0.0004018288846549039
Albania,earthquake,2.0,0.0005482933113457236
Albania,earthquake,3.0,0.0008502451776846497
Albania,earthquake,5.0,0.0013594628978053486
Albania,earthquake,10.0,0.0022400305380985406
Albania,earthquake,20.0,0.0038953473514814043
Albania,earthquake,50.0,0.007551237906320622
Albania,earthquake,100.0,0.013083101535055925
Albania,earthquake,250.0,0.024058497151127796
Albania,earthquake,500.0,0.038446189721788065
Albania,earthquake,1000.0,0.0520894265926654
Albania,earthquake,1500.0,0.0655868695280263
Albania,earthquake,2000.0,0.0798118420338841
Albania,earthquake,4000.0,0.10403104874609449
Albania,earthquake,5000.0,0.10607607285166666
Albania,earthquake,30000.0,0.1376443461852038
Albania,flood,10.0,0.00018937376781850588
Albania,flood,20.0,0.007412973366347957
Albania,flood,50.0,0.016700787287955387
Albania,flood,100.0,0.019379063413869697
Albania,flood,250.0,0.03726787264575519
Albania,flood,500.0,0.040781020440505876
Albania,flood,1000.0,0.04748323743840583
Albania,flood,1500.0,0.053871174742485435
Albania,flood,2000.0,0.05704412710931525
Albania,flood,4000.0,0.062460373211283254
Albania,flood,5000.0,0.0637539960143658
Albania,flood,30000.0,0.0699907521157339
Albania,tsunami,50.0,0.0
Albania,tsunami,100.0,0.0
Albania,tsunami,250.0,1.829476054783014e-07
Albania,tsunami,500.0,5.407150440190287e-06
Albania,tsunami,1000.0,7.829772275681323e-05
Albania,tsunami,1500.0,0.0004774495626941992
Albania,tsunami,2000.0,0.0005258922467764115
Albania,tsunami,4000.0,0.002131344725636482
Albania,tsunami,5000.0,0.002504805299773549
Albania,tsunami,30000.0,0.00796660286516969
Algeria,earthquake,0.5,1.760058451318235e-05
Algeria,earthquake,1.0,0.00034296905126065765
Algeria,earthquake,1.5,0.0005719539297220471
Algeria,earthquake,2.0,0.0007180927610281979
Algeria,earthquake,3.0,0.0009702879079913407
Algeria,earthquake,5.0,0.0015550197601663382
Algeria,earthquake,10.0,0.002375198277045993
Algeria,earthquake,20.0,0.004052022103979406
Algeria,earthquake,50.0,0.007637514837612961
Algeria,earthquake,100.0,0.01095737207769996
Algeria,earthquake,250.0,0.017835177910290056
Algeria,earthquake,500.0,0.02267247922786386
Algeria,earthquake,1000.0,0.025662004734415083
Algeria,earthquake,1500.0,0.028532532876401187
Algeria,earthquake,2000.0,0.02941376798464816
Algeria,earthquake,4000.0,0.03697014973811646
Algeria,earthquake,5000.0,0.037823468332647985
Algeria,flood,1.5,1.9211269561472722e-08
Algeria,flood,2.0,8.788664358837666e-07
Algeria,flood,3.0,2.873129196236425e-05
Algeria,flood,5.0,0.00019114388663420395
Algeria,flood,10.0,0.0006137324790981269
Algeria,flood,20.0,0.0011235718383142284
Algeria,flood,50.0,0.002876800012941197
Algeria,flood,100.0,0.003832917178645131
Algeria,flood,250.0,0.008313345816397697
Algeria,flood,500.0,0.01062012554004513
Algeria,flood,1000.0,0.01195402390430443
Algeria,flood,1500.0,0.012932857166612802
Algeria,flood,2000.0,0.01354183920633191
Algeria,flood,4000.0,0.014670606571613558
Algeria,flood,5000.0,0.015063415458307545
Algeria,flood,30000.0,0.01640200919208186
Algeria,tsunami,100.0,0.0
Algeria,tsunami,250.0,1.6195171321111855e-05
Algeria,tsunami,500.0,3.4652265039964544e-05
Algeria,tsunami,1000.0,8.091085815866159e-05
Algeria,tsunami,1500.0,0.00012593371008342473
Algeria,tsunami,2000.0,0.00013151619475000508
Algeria,tsunami,4000.0,0.00016150008789681233
Algeria,tsunami,5000.0,0.0001768992267021521
Andorra,earthquake,2.0,9.85727326254009e-07
Andorra,earthquake,3.0,3.3744987597487804e-06
Andorra,earthquake,5.0,8.448061141337352e-06
Andorra,earthquake,10.0,1.834507219890422e-05
Andorra,earthquake,20.0,3.5021054955035926e-05
Andorra,earthquake,50.0,7.258284133335076e-05
Andorra,earthquake,100.0,0.00014063058837421834
Andorra,earthquake,250.0,0.0004184654710177937
Andorra,earthquake,500.0,0.0009377915576408448
Andorra,earthquake,1000.0,0.0019837521416131774
Andorra,earthquake,1500.0,0.0038585655679178755
Andorra,earthquake,2000.0,0.004691220417258826
Andorra,earthquake,4000.0,0.010380603675831195
Andorra,earthquake,5000.0,0.012116636710344943
Andorra,earthquake,30000.0,0.0780079969605188
Angola,earthquake,1.5,4.268083529545567e-08
Angola,earthquake,2.0,1.5440535548302234e-07
Angola,earthquake,3.0,6.423263796428766e-07
Angola,earthquake,5.0,3.58929056933412e-06
Angola,earthquake,10.0,1.8809440428120968e-05
Angola,earthquake,20.0,0.00012704562507835564
Angola,earthquake,50.0,0.00030629439275738736
Angola,earthquake,100.0,0.0006333132789351315
Angola,earthquake,250.0,0.001591036747438844
Angola,earthquake,500.0,0.0030275457438510255
Angola,earthquake,1000.0,0.005501259281536407
Angola,earthquake,1500.0,0.006558060883561922
Angola,earthquake,2000.0,0.007505144788858488
Angola,earthquake,4000.0,0.010404177927856603
Angola,earthquake,5000.0,0.011711679797214278
Angola,earthquake,30000.0,0.015642670070232283
Angola,flood,1.5,8.910484240838925e-10
Angola,flood,2.0,1.4990916413778072e-06
Angola,flood,3.0,4.5391320976242045e-05
Angola,flood,5.0,0.0007077425758321077
Angola,flood,10.0,0.003400454400273526
Angola,flood,20.0,0.009513678763005245
Angola,flood,50.0,0.016806477973362315
Angola,flood,100.0,0.01864382627786941
Angola,flood,250.0,0.02128266960159111
Angola,flood,500.0,0.022986880658840858
Angola,flood,1000.0,0.02424376781671036
Angola,flood,1500.0,0.031049137504729016
Angola,flood,2000.0,0.03197680791868958
Angola,flood,4000.0,0.03346516848273064
Angola,flood,5000.0,0.03434301958214956
Angola,flood,30000.0,0.03640238637391923
Angola,tsunami,250.0,0.0
Angola,tsunami,500.0,0.0
Angola,tsunami,1000.0,0.0
Angola,tsunami,1500.0,0.0
Angola,tsunami,2000.0,5.263422944838405e-07
Angola,tsunami,4000.0,4.530574710982465e-06
Angola,tsunami,5000.0,7.182265449673728e-06
Anguilla,earthquake,0.5,0.00011882205546161774
Anguilla,earthquake,1.0,0.0003162693610737778
Anguilla,earthquake,1.5,0.0006949370631503337
Anguilla,earthquake,2.0,0.0010898752670118503
Anguilla,earthquake,3.0,0.0023739271290569215
Anguilla,earthquake,5.0,0.00570330016375151
Anguilla,earthquake,10.0,0.016294453401200622
Anguilla,earthquake,20.0,0.03501737252417905
Anguilla,earthquake,50.0,0.06582115838558679
Anguilla,earthquake,100.0,0.07797233160833733
Anguilla,earthquake,250.0,0.11201986656101874
Anguilla,earthquake,500.0,0.14754044249699136
Anguilla,earthquake,1000.0,0.23471760455351395
Anguilla,earthquake,1500.0,0.3004003109331029
Anguilla,earthquake,2000.0,0.34464831509137156
Anguilla,earthquake,4000.0,0.4552212389470255
Anguilla,earthquake,5000.0,0.5465706913045886
Anguilla,earthquake,30000.0,0.900766287677525
Anguilla,surge,0.5,0.0
Anguilla,surge,1.0,2.0713396098637423e-06
Anguilla,surge,1.5,4.111011630207702e-05
Anguilla,surge,2.0,0.0003081019527505322
Anguilla,surge,3.0,0.001212986543374025
