country,gdp_pc_pp,gdp_pc_pp_B,gdp_pc_pp_2015_1,gdp_pd_pp_2005,pop,share1,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Albania,10971.29252,11359.1704,10971.29252,10397.287390000001,2889167.0,0.08900000000000001,0.57407,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.17475920840500003
Algeria,13724.72385,13921.180019999998,13724.72385,13822.566219999999,39666519.0,0.094,0.70727,1,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.2889104503291931,1.0,0.12955854598878927
Angola,6231.067992,5984.6404219999995,6231.067992,6937.006265999999,25021974.0,0.054000000000000006,0.4405,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.43239739052511456,1.0,0.1061323039936769
Argentina,19101.29739,18489.43489,19101.29739,18087.19626,43416755.0,0.051,0.91751,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.375,0.2695495148851759,1.0,0.14843068643099996
Armenia,8195.93365,8190.239289,8195.93365,7899.284409999999,3017712.0,0.08199999999999999,0.62673,1,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.3666957212217474,1.0,0.351328706266
Australia,43719.502160000004,44260.57597,43719.502160000004,43654.580519999996,23781169.0,0.073,0.89423,1,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666667,0.27360239086009513,1.0,0.15899599999999997
Austria,44288.92875,44438.724819999996,44288.92875,43892.72954,8611088.0,0.079,0.65968,1,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.23227851820729004,1.0,0.41677551037000005
Bangladesh,3132.56754,3319.353556,3132.56754,3136.5610690000003,160995642.0,0.08900000000000001,0.34276999999999996,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6166666666666667,0.2897089076246591,1.0,0.138472543886
Belarus,17229.55519,16752.09877,17229.55519,16621.03344,9513000.0,0.095,0.76667,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5166666666666667,0.38644453675382373,1.0,0.41684499865999997
Belgium,41722.92186,42094.57905,41722.92186,41138.38336,11285721.0,0.086,0.9785799999999999,1,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.21669151743746679,1.0,0.42390653531
Benin,1987.167146,2009.961384,1987.167146,1985.613853,10879829.0,0.032,0.4395,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.3302533219458435,1.0,0.07365719176
Bhutan,7743.337995999999,8253.293783,7743.337995999999,7601.368909999999,774830.0,0.067,0.38644,1,0.2,1.5,0.06,0.8,0.05,0.6,0.4166666666666667,0.18557539427848196,1.0,0.018739353068
Bolivia,6531.5193979999995,6707.956184000001,6531.5193979999995,6475.741503,10724705.0,0.039,0.68512,1,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.45,0.4218342004210295,1.0,0.140019777553
Bosnia and Herzegovina,10932.04871,11327.48741,10932.04871,10023.56017,3810416.0,0.077,0.39766999999999997,1,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.32393223235700314,1.0,0.132879533095
Botswana,15356.45762,15723.23706,15356.45762,14876.331740000001,2262485.0,0.027999999999999997,0.57444,1,0.2,1.5,0.06,0.8,0.05,0.6,0.7083333333333333,0.2811780767140953,1.0,0.049068881756
Brazil,14666.01817,14023.69162,14666.01817,14454.937319999999,207847528.0,0.036000000000000004,0.85687,1,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.5583333333333333,0.265575010187584,1.0,0.19739822375599997
