country,vp,vr,v
Afghanistan,0.6999999999999998,0.45468464062685954,
Albania,0.6999999999999998,0.35149999999999987,0.3825164999999999
Algeria,0.5522099499999998,0.10000000000000002,0.1425077353
American Samoa,0.3000000000000001,0.27549999999999997,
Andorra,0.10499999999999998,0.10000000000000002,
Angola,0.6999999999999997,0.6,0.6053999999999999
Antigua and Barbuda,0.3,0.2175,
Arab World,,,
Argentina,0.6999999999999998,0.3972539125,0.41269396296249994
Armenia,0.2999999999999999,0.2375,0.24262499999999998
Aruba,0.6999999999999997,0.6764212741773349,
Australia,0.6999999999999998,0.5385999999999999,0.5503821999999999
Austria,0.5700000000000001,0.2394999999999999,0.26560949999999994
Azerbaijan,0.2999999999999999,0.2375,
"Bahamas, The",0.6999999999999998,0.47350000000000003,
Bahrain,0.6999999999999997,0.62725,
Bangladesh,0.6999999999999998,0.41553519761222835,0.44085256502474
Barbados,0.39799999999999985,0.24700000000000003,
Belarus,0.6999999999999998,0.29499999999999993,0.33347499999999997
Belgium,0.46000000000000013,0.26999999999999996,0.28634
Belize,0.466,0.26899999999999996,
Benin,0.6999999999999997,0.6734349004145419,0.6742849836012765
Bermuda,0.6999999999999998,0.5265,
Bhutan,0.6999999999999997,0.673890576643806,0.675639908008671
Bolivia,0.6999999999999998,0.38885421167860285,0.4009888974231373
Bosnia and Herzegovina,0.6999999999999998,0.4420310714249999,0.46189467892527497
Botswana,0.6999999999999997,0.6416008539893611,0.6432360300776588
Brazil,0.6999999999999997,0.6506628849962744,0.6524390211364085
British Virgin Islands,,,
Brunei Darussalam,0.39486964955708176,0.22297463449207036,
Bulgaria,0.6999999999999998,0.3857760364,0.404629474216
Burkina Faso,0.6999999999999997,0.6734349004145419,0.6756398036801349
Burundi,0.6999999999999998,0.4424472127146907,0.46021835503737707
Cabo Verde,,,
Cambodia,0.6999999999999998,0.20385327749999993,
Cameroon,0.6343680960785822,0.3,0.31504656432353617
Canada,0.3927198494711082,0.27848915166168753,0.28602837771710926
Caribbean small states,,,
Cayman Islands,0.6999999999999998,0.391375828971834,
Central African Republic,0.7000000000000002,0.6348205552960912,0.6369714769713202
Central Europe and the Baltics,,,
Chad,0.6999999999999997,0.6734349004145419,0.6747365902942293
Channel Islands,,,
Chile,0.313141,0.11529374999999999,0.12479041799999999
China,0.6999999999999997,0.5370080662500001,0.545483646805
Colombia,0.5302351999999999,0.2226012,0.23429129199999998
Comoros,0.6999999999999998,0.4424472127146907,0.4540370881425295
"Congo, Dem. Rep.",0.6999999999999997,0.6,0.6054999999999999
"Congo, Rep.",0.6343680960785822,0.3,0.3140434600353004
Costa Rica,0.6999999999999998,0.32104216733095076,0.33733735413571986
Cote d'Ivoire,0.6999999999999997,0.6734349004145419,0.6749491110909129
Croatia,0.6999999999999998,0.44120128109999995,0.4600935875797
Cuba,0.3,0.14625,
Curacao,,,
Cyprus,0.4646689476190476,0.10000000000000002,0.12880884686190477
Czech Republic,0.6999999999999998,0.4135,0.4412905
Denmark,0.2999999999999999,0.25,0.2547
Djibouti,0.6224866506129807,0.2919383715793353,0.3081352372519839
Dominica,0.40199999999999997,0.26899999999999996,
Dominican Republic,0.3489973692170465,0.2999999999999999,0.30249886583006924
Early-demographic dividend,,,
East Asia & Pacific,,,
East Asia & Pacific (IDA & IBRD countries),,,
East Asia & Pacific (excluding high income),,,
Ecuador,0.6999999999999997,0.6764212741773349,0.6775058955651775
"Egypt, Arab Rep.",0.6999999999999998,0.5499999999999999,0.56365
