country,hazard,rp,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,need,aid,unif_aid
Albania,earthquake,1.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,55.35390538364434,0.0022585582045691805,0.0,0.0,567.95852,25.563545878817308,25.563545878817308,11318.524281154641
Albania,earthquake,20.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,178.6770347571252,0.007290406702505895,0.0,0.0,567.95852,82.51664528180554,82.51664528180554,11318.524281154643
Albania,earthquake,50.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,378.5900797605773,0.015447288224480056,0.0,0.0,567.95852,174.84050684677172,174.84050684677172,11318.524281154643
Albania,earthquake,100.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,653.4071728364572,0.026660415753974643,0.0,0.0,567.95852,301.7565630570397,301.7565630570397,11318.524281154643
Albania,earthquake,250.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,1295.000726251766,0.05283881046743971,0.0,0.0,567.95852,598.0573592630445,567.95852,10748.889215626588
Albania,earthquake,500.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,2071.944152579346,0.08453977064100565,0.0,0.0,567.95852,956.8654467234669,567.95852,6718.240606682155
Albania,earthquake,1000.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,3156.0733557587123,0.12877457014943014,0.0,0.0,567.95852,1457.538099031577,567.95852,4410.486630558661
Albania,earthquake,1500.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,3951.845727785682,0.16124379174010847,0.0,0.0,567.95852,1825.0417719958605,567.95852,3522.358993612797
Albania,earthquake,2000.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,2.7890164459302075e-11,1.1379786002407857e-15,0.0,0.0,567.95852,1.2880238418259704e-11,1.2880238418259704e-11,11318.524281154641
Albania,flood,1.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,15.134619580664925,0.0006129365521022206,0.0,0.0,567.95852,6.937537247776192,6.937537247776192,11318.524281154643
Albania,flood,20.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,330.4194269511577,0.013381647501848629,0.0,0.0,567.95852,151.4605021715261,151.4605021715261,11318.524281154643
Albania,flood,50.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,738.7744850286692,0.02991960803646919,0.0,0.0,567.95852,338.64581004340613,338.64581004340613,11318.524281154643
Albania,flood,100.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,892.5852901755158,0.03614878770499659,0.0,0.0,567.95852,409.15093137330825,409.15093137330825,11318.524281154643
Albania,flood,250.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,1573.0978912457383,0.06370884926709702,0.0,0.0,567.95852,721.0901573540589,567.95852,8914.907843003954
Albania,flood,500.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,1837.9603593151573,0.07443550725109783,0.0,0.0,567.95852,842.5000962016132,567.95852,7630.20957302099
Albania,flood,1000.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,2142.1147673590144,0.086753448457315,0.0,0.0,567.95852,981.9210128380178,567.95852,6546.812029950032
Albania,flood,1500.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,2288.7845084303244,0.09269342236355207,0.0,0.0,567.95852,1049.1527517251868,567.95852,6127.279644206197
Albania,flood,2000.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,1.4128130108200333e-11,5.717648576819557e-16,0.0,0.0,567.95852,6.471534424784144e-12,6.471534424784144e-12,11318.524281154643
Albania,surge,1.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,0.0,0.0,0.0,0.0,567.95852,0.0,0.0,
Albania,surge,20.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,0.0,0.0,0.0,0.0,567.95852,0.0,0.0,
