country,_dw_tot_curr,_bbb_complete1_dw_tot_curr,_bbb_incl1_dw_tot_curr,_bbb_fast1_dw_tot_curr,_bbb_fast2_dw_tot_curr,_bbb_fast4_dw_tot_curr,_bbb_fast5_dw_tot_curr,_bbb_50yrstand1_dw_tot_curr
Albania,449073278.95368457,328100773.89561796,376982942.7750748,415390742.312109,432501705.3042854,465130912.02568597,480698456.77107847,424932861.5945441
Algeria,4188501911.5768204,2656623332.1838017,3588594822.717531,3640835235.829284,3919052240.9036264,4449601096.354384,4702740121.628107,3621458384.37119
Angola,509802530.80185914,277142479.07069916,375651050.85105085,418847674.1383903,464966055.89979476,553412895.9728869,595849617.1572988,482178908.7240737
Antigua and Barbuda,488135062.940989,109777384.21373452,365034366.5152526,399930678.4888162,444714110.19598037,530257625.6309606,571141825.7150189,187127800.95886293
Argentina,5653769873.203318,3711181164.6832495,4501720020.665824,4957544847.682133,5310822325.034823,5986847768.426122,6310488603.287015,5446811596.931202
Armenia,235632642.59602857,162934080.93666992,222480801.2375443,200239321.61865085,218257724.37246203,252398040.52433142,268585527.09191614,204998225.2841574
Australia,3075279648.2820725,2631545806.0436954,3036462684.6684976,2711596387.9344907,2896357985.5532804,3248641040.801356,3416703844.141133,3026489488.7688384
Austria,1168494036.5297792,994284167.4901538,1130584395.3743372,1052460671.1794548,1111548073.301871,1223413122.6995723,1276411849.7296345,1144232918.8408384
Azerbaijan,653159551.6605606,432841253.2382611,630317007.8148295,508392438.17901903,582106867.8133472,721692480.486522,787837696.7564284,581952499.2958483
Bangladesh,16335149937.327936,10697142494.830372,15643567598.69547,14281810336.204277,15324531662.253092,17315147292.358795,18265914667.679962,12819390286.332512
Belarus,917537153.2425667,666889237.5558352,893984461.6481926,772162261.3348466,846161284.7788372,986427568.284296,1052960717.2196895,816584184.5396729
Belgium,383122369.07700187,319731259.68849015,353618274.6292365,350279515.0735823,367003813.3853484,398667582.9317295,413669575.3232023,381305208.0717516
Belize,93445384.67527927,41102866.32649755,83634918.98711097,65011610.77587109,79464616.30336045,106976914.93923706,120080722.4531142,69184733.82535425
Benin,117071530.78333344,61356362.10331222,80122621.34139107,99357961.67397715,108325754.55400448,125603810.36797184,133930662.70147502,111823101.2744132
Bhutan,204468297.5545471,144358583.91718158,180745049.0815719,187472539.31200123,196078129.03868142,212651343.2131728,220635126.76834282,180167984.13319936
Bolivia,645446692.2956456,456778413.30072564,598279314.6429541,532236682.0620412,589747778.2401885,699419760.3884149,751747804.072094,606663097.1906846
Bosnia and Herzegovina,360250526.08374524,267664005.28944674,333704840.74366903,310487768.81213355,335735019.1793209,384066710.4033274,407214045.5459745,338165932.2013325
Botswana,152792260.89123523,115944641.77566284,137386550.94583502,132925112.23099785,142995026.68283573,162328409.39242238,171614385.3005031,150245275.24006063
Brazil,7566447475.556695,5671336226.641061,6689885042.040625,6626242860.604793,7103147849.379961,8016739253.906878,8454584889.031118,7427875409.221288
Bulgaria,453906082.7507953,369652753.478406,439911273.95722747,392187795.0408496,423596574.5129819,483173514.8297479,511452136.0994993,443379094.5583728
Burkina Faso,96724286.68120581,73118146.42915054,92283097.43900797,79804956.79280475,88365746.70179513,104888049.36409207,112864123.3516011,93265677.55637677
Burundi,43660687.74283837,31242140.311599135,40795464.45945347,35358212.29263435,39568827.8957244,47638911.96516919,51508321.30511768,41811885.121663444
Cameroon,379140770.07666504,238384088.87968633,327664514.2524272,309559283.7030243,344893089.1246531,412352016.60454565,444573510.9883396,346164423.12144494
Canada,2056601821.965696,1682147215.6479487,2012154955.0764005,1759659799.2078865,1910772285.4321253,2197422016.9234924,2333487829.8172946,2016018014.8807929
Central African Republic,30801612.39242853,17198441.24195493,22244988.503788814,26449404.52005641,28648911.540162914,32909090.39152813,34972853.173978075,28893543.112776022
Chad,129949941.38968411,73728649.54305708,112897097.37835787,94712896.7727236,112519283.35811333,147017749.46863776,163734951.4831788,121734525.5479668
Chile,6356455304.758113,3123837732.685998,5786080025.228972,5260134553.484707,5817963983.765943,6876600522.949199,7379324707.826131,4217920160.695798
China,85019177813.17097,70967061153.56755,80403995547.38737,76145125463.2497,80651139709.78625,89255624387.74298,93366467920.37329,84170356757.41908
Colombia,13409492781.190477,8290461662.779856,12475042559.425697,11586405326.157766,12513143713.64086,14276930967.06682,15116841837.87569,10415882029.208221
