country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.118347494599629,108.93095858340743,313296438.9126967,1.7935169450552662e-06,5.158335879190396,0.0,0.086087198,56795.852,108.93095858340743,121.82266461608968,121.82266461608968,108.93095858340743,1.7935169450552662e-06,0.004432543009474145,1.0000000000000002,0.0,50.16984567999539,0.0,306540.67509679444,3.391080770574371,0.0,0.19179090180000002,2.105999999999999,2.105999999999999,147.74615411438754,424932861.5945441,0.013006773286400168,0.7372845624060798,0.009589693150778636
Algeria,13921.18002,13974.66622,40606052,0.094,0.71304,3843.752322,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.2889104503291931,1.0,0.14544458210878927,1.216243465076183,49.96781851598931,2028995836.9868243,7.979655055061181e-07,32.402228810787726,26.134209294768226,0.15218446000000002,69605.90009999998,49.96781851598931,60.77303273418468,60.773032734184696,49.96781851598931,7.979655055061181e-07,0.007667276355361779,0.9999999999999998,26.134209294768226,66.56284310173531,26.134209294768226,240925.5186881921,3.3887743954790386,2.4000000000000004,0.15626269645967916,0.9503924000000001,0.8591547296000002,89.18518806928559,3621458384.37119,0.006406438817769529,0.5602703722188783,0.0035893378610292047
Angola,5984.6404219999995,6024.726138,28813463,0.054000000000000006,0.44819,3110.808183,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.15,0.43239739052511456,1.0,0.12735853573367692,1.351790414097182,8.454298077944385,243597604.8598216,5.312301382760565e-07,15.30657993370204,0.0,0.18571632000000005,29923.202110000002,8.454298077944385,11.428439099685448,11.428439099685448,8.454298077944385,5.312301382760565e-07,0.001428624668354779,0.9999999999999998,0.0,1.2316534434360389,0.0,69203.0127047263,3.397675343171074,0.0,0.13004843279721207,3.0999999999999988,3.0999999999999988,16.734500421697792,482178908.7240737,0.0027962415854059465,0.505201700971164,0.0014126660052733886
Antigua and Barbuda,21013.01763000001,20777.613080000006,100963,0.0103,0.23393000000000005,14353.37881,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.4166666666666667,0.4005106416086056,1.0,0.13901490701349917,1.3216681498414258,790.2627447626006,79787297.49946645,8.940793779229554e-06,0.9026893623323533,10.563357892217056,0.15300000000000002,105065.08815000007,790.2627447626007,1044.4650997589933,1044.4650997589933,790.2627447626006,8.940793779229554e-06,0.05465083408879802,0.9999999999999998,10.563357892217057,38.0280884119814,10.563357892217056,262327.8316102115,3.338414372213486,1.6,0.16390495997237436,1.1779571109442395,1.1024406459462304,1853.4294836609743,187127800.95886293,0.08820387039579014,0.4263786411779958,0.037608246405997046
Argentina,18489.434889999997,10405.0,43847430,0.05,0.91893,12449.21685,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.4,0.2695495148851759,1.0,0.1541967379,1.1979538860660952,77.29652154834835,3389253817.834697,7.262552662790068e-07,31.844426950300114,7.27416565382567,0.050750804000000004,92447.17444999999,77.29652154834835,92.59766836823557,92.59766836823556,77.29652154834835,7.262552662790068e-07,0.0029238001279775733,0.9999999999999998,7.274165653825671,24.798292001678426,7.27416565382567,342969.17391738243,3.3955374374995406,3.2000000000000006,0.1616266216,2.289462949999999,1.9964116923999995,124.22191213786537,5446811596.931202,0.0067185348214753035,0.6222454655388193,0.004180577827727669
Armenia,8190.239289,8174.366731999998,2924816,0.079,0.62558,3606.152057,3.0,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.3666957212217474,1.0,0.3524222720091001,1.289724411382942,50.13285820950838,146629385.81690145,1.389693155470153e-06,4.064596776209591,1.381622505371275,0.020931459799999996,40951.19644499999,50.13285820950836,64.65757104520267,64.65757104520267,50.13285820950838,1.389693155470153e-06,0.009598796525789936,0.9999999999999998,1.381622505371275,8.127191208066323,1.3816225053712747,111676.23202299677,3.3837599992398557,1.6000000000000003,0.40256331958000013,1.2499999999999998,1.1699999999999997,70.08927237958127,204998225.2841574,0.008557658684492347,0.7152714888807051,0.006121049268589738
Australia,44260.57597000001,44414.02948000001,24127159,0.073,0.89554,49927.81951,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666669,0.27360239086009513,1.0,0.22769110058000006,1.201782492156731,99.73876118378435,2406412949.5441937,1.9789612546187546e-07,4.774671284502617,5.229606331467854,0.6593659200000002,221302.87985000006,99.73876118378435,119.86429698007342,119.86429698007342,99.73876118378435,1.9789612546187546e-07,0.0012493967404791808,0.9999999999999998,5.2296063314678545,7.131281361092525,5.229606331467853,808848.4868656058,3.3981633785438237,4.0,0.28233659200000016,2.8543999999999987,2.3976959999999994,125.43911567743382,3026489488.7688384,0.002834104910032281,0.7951169030899594,0.002253444719096915
Austria,44438.72481999998,44143.70016,8747358,0.079,0.66032,44176.51522,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.23227851820729006,1.0,0.4837075332999999,1.1627453167024924,111.996174010224,979670628.6977249,2.052059402804836e-07,1.7950098233600107,20.588257455373316,0.6452541399999999,222193.62409999996,111.996174010224,130.22302681898535,130.22302681898535,111.996174010224,2.052059402804836e-07,0.0021485720374138746,0.9999999999999998,20.588257455373316,28.868609487888442,20.588257455373316,956582.7516675899,3.3969037055143088,3.9999999999999996,0.4944901699999999,1.528,1.2835199999999998,130.80897327408326,1144232918.8408384,0.002943580712631333,0.8561811258586909,0.0025202382485966226
Azerbaijan,16001.323400000005,15994.00974,9762274,0.084,0.54895,3876.936433,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.2375,0.5982212831852317,1.0,0.43154867302399996,1.5084382783151649,36.819168398167854,359438810.35505575,4.328371441197916e-07,4.225474798274894,0.0,0.0571493,80006.61700000001,36.81916839816786,55.539442987528446,55.539442987528446,36.819168398167854,4.328371441197916e-07,0.0057752326329642304,0.9999999999999998,0.0,3.873215931980256,0.0,133740.8401352831,3.3885047868817675,0.0,0.4859833592,1.2499999999999998,1.2499999999999998,59.612391466972575,581952499.2958483,0.0037254663240524565,0.61764286739892,0.0023010077027858736
Bangladesh,3319.353556000001,3319.353556,162951560,0.086,0.35035,1358.779752,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6166666666666667,0.2897089076246591,1.0,0.14815265559800003,1.2169977389506987,65.19749437550918,10624033416.58045,6.045844128459677e-06,985.1797322493447,6.625270491919601,0.08737927799999998,16596.767780000002,65.1974943755092,79.34520324024561,79.34520324024561,65.19749437550918,6.045844128459677e-06,0.01357502744459443,1.0,6.625270491919601,14.805940720272126,6.625270491919601,57287.737253500105,3.380081932383769,3.2000000000000006,0.13804606460000002,2.3566042902633697,2.0549589411096583,78.66994514402018,12819390286.332512,0.023700381359442073,0.8287471696612076,0.01964162397152886
Belarus,16752.098769999997,16742.2555,9507120,0.096,0.77046,4989.254611,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5541666666666667,0.3864445367538237,1.0,0.43562942058399995,1.308380406754342,63.868210637137814,607202742.7125456,5.822627650671927e-07,5.535641979025611,3.7971573807667722,0.172373852,83760.49385,63.86821063713783,83.5639154120904,83.5639154120904,63.868210637137814,5.822627650671927e-07,0.0045250089838210225,0.9999999999999998,3.7971573807667722,9.343654525468477,3.797157380766772,216746.48205301925,3.3932406264046717,3.2000000000000006,0.4684550397999999,1.8799999999999992,1.6393599999999995,85.89185626558546,816584184.5396729,0.005127229575520553,0.7435886638618158,0.0038125497893741127
Belgium,42094.579050000015,41945.69212,11348159,0.086,0.97897,41096.1573,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.2166915174374668,1.0,0.48314774690999995,1.1480208379739567,27.297725643582375,309778930.9417501,5.715001123981969e-08,0.6485474144012608,0.0,0.5792287,210472.89525,27.297725643582375,31.33835786812861,31.33835786812861,27.297725643582375,5.715001123981969e-08,0.00045658037883642636,0.9999999999999998,0.0,5.542403422575386,0.0,971301.9583737914,3.3990811698518013,0.0,0.5101755720000001,1.54,1.54,33.600622627137284,381305208.0717516,0.0007982173330971288,0.8124172562664232,0.000648485535659071
