country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,1,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.0409983515622998,108.93095858340743,313296438.9126967,1.384817110776948e-06,3.9828738771226906,48.415709285926056,0.086087198,56795.852,108.93095858340746,113.39694831942832,113.3969483194283,108.93095858340743,1.384817110776948e-06,0.004432543009474145,1.0000000000000002,48.415709285926056,50.16984567999539,48.415709285926056,306540.67509679444,3.3940449483108512,0.0,0.19179090180000005,2.1059999999999994,2.1059999999999994,114.0783212743982,328100773.89561796,0.010042839156141032,0.9548786953253847,0.009589693150778636
Algeria,13921.18002,13974.66622,40606052,0.094,0.71304,3843.752322,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2889104503291931,1.0,0.14544458210878927,1.0749118148570513,49.96781851598931,2028995836.9868245,5.853701893563197e-07,23.769572348252563,64.72647161104555,0.15218446000000002,69605.90009999998,49.96781851598931,53.71099848546984,53.71099848546984,49.96781851598931,5.853701893563197e-07,0.007667276355361779,0.9999999999999998,64.72647161104555,66.56284310173531,64.72647161104555,240925.5186881921,3.389812816407125,2.4000000000000004,0.15626269645967916,0.9503924000000001,0.8591547296000002,65.42431980788976,2656623332.1838017,0.004699624580236536,0.7637499123065167,0.0035893378610292047
Angola,5984.6404219999995,6024.726138,28813463,0.054000000000000006,0.44819,3110.808183,1,0.2,1.5,0.06,0.8,0.05,1,1,0.43239739052511456,1.0,0.12735853573367692,1.1218684613662162,8.454298077944385,243597604.8598216,3.053357059280806e-07,8.797779065337629,1.231653443436039,0.18571632000000005,29923.202110000002,8.454298077944385,9.484610376634826,9.484610376634826,8.454298077944385,3.053357059280806e-07,0.0014286246683547787,0.9999999999999998,1.231653443436039,1.231653443436039,1.231653443436039,69203.0127047263,3.398642776741245,0.0,0.13004843279721207,3.0999999999999988,3.0999999999999988,9.61850642773134,277142479.07069916,0.0016071987203062307,0.8789616289665931,0.0014126660052733884
Antigua and Barbuda,21013.01763000001,20777.613080000006,100963,0.0103,0.23393000000000005,14353.37881,1,0.2,1.5,0.06,0.8,0.05,1,1,0.4005106416086056,1.0,0.13901490701349917,1.1114334015959364,790.2627447626006,79787297.49946645,5.24506219198299e-06,0.5295572140891788,34.901994772092976,0.15300000000000002,105065.08815000007,790.2627447626007,878.3244105660383,878.3244105660384,790.2627447626006,5.24506219198299e-06,0.05465083408879802,0.9999999999999998,34.90199477209297,38.02808841198139,34.901994772092976,262327.8316102115,3.3494166980909683,1.6,0.16390495997237436,1.1779571109442395,1.1024406459462304,1087.3031131576372,109777384.21373452,0.05174426311836853,0.7268099715704835,0.03760824640599705
Argentina,18489.434889999997,10405.0,43847430,0.05,0.91893,12449.21685,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2695495148851759,1.0,0.1541967379,1.068575875150691,77.29652154834835,3389253817.834696,4.948335034178916e-07,21.697177402770766,24.79829200167842,0.050750804000000004,92447.17444999999,77.29652154834835,82.59719815963058,82.59719815963058,77.29652154834835,4.948335034178916e-07,0.0029238001279775733,0.9999999999999998,24.79829200167842,24.79829200167842,24.79829200167842,342969.17391738243,3.3960668602700728,3.200000000000001,0.1616266216,2.289462949999999,1.9964116923999995,84.6385105052508,3711181164.6832495,0.004577668869210682,0.9132547475956944,0.004180577827727669
Armenia,8190.239289,8174.366731999998,2924816,0.079,0.62558,3606.152057,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3666957212217474,1.0,0.3524222720091001,1.1003673403838623,50.13285820950838,146629385.81690145,1.1045382307902785e-06,3.230571090027099,8.11830199821205,0.020931459799999996,40951.19644499999,50.13285820950838,55.164559853838014,55.16455985383803,50.13285820950838,1.1045382307902785e-06,0.009598796525789936,0.9999999999999998,8.11830199821205,8.127191208066323,8.11830199821205,111676.23202299677,3.3875637524472335,1.6000000000000003,0.40256331958000013,1.2499999999999998,1.1699999999999997,55.70746362734268,162934080.93666992,0.006801689384357947,0.89993072642607,0.006121049268589736
Australia,44260.57597000001,44414.02948000001,24127159,0.073,0.89554,49927.81951,1,0.2,1.5,0.06,0.8,0.05,1,1,0.27360239086009513,1.0,0.22769110058000006,1.0699021942166627,99.73876118378435,2406412949.5441937,1.7207154392045923e-07,4.151597499544403,7.131281361092526,0.6593659199999999,221302.87985000008,99.73876118378435,106.7107194389826,106.7107194389826,99.73876118378435,1.7207154392045923e-07,0.0012493967404791808,0.9999999999999998,7.131281361092525,7.131281361092526,7.131281361092525,808848.4868656059,3.3983331301388087,4.0,0.2823365920000001,2.854399999999999,2.397696,109.06985799876793,2631545806.0436954,0.0024642665760313625,0.9144484371191811,0.002253444719096915
Austria,44438.72481999998,44143.70016,8747358,0.079,0.66032,44176.51522,1,0.2,1.5,0.06,0.8,0.05,1,1,0.23227851820729006,1.0,0.4837075332999999,1.0563787998373693,111.996174010224,979670628.6977249,1.783142349221257e-07,1.5597784493599354,28.769462485029962,0.6452541399999999,222193.62409999996,111.99617401022402,118.3103838872976,118.31038388729759,111.996174010224,1.783142349221257e-07,0.0021485720374138746,0.9999999999999998,28.769462485029962,28.86860948788845,28.769462485029962,956582.7516675899,3.3971940282154125,3.9999999999999996,0.4944901699999999,1.528,1.2835199999999998,113.6667971620864,994284167.4901538,0.0025578321075255023,0.9853024524876853,0.002520238248596622
Azerbaijan,16001.323400000005,15994.00974,9762274,0.084,0.54895,3876.936433,1,0.2,1.5,0.06,0.8,0.05,1,1,0.5982212831852317,1.0,0.43154867302399996,1.176134960462112,36.819168398167854,359438810.35505575,3.2193309958384953e-07,3.1427991278068252,3.8732159319802566,0.0571493,80006.617,36.819168398167854,43.304311168226995,43.304311168226995,36.819168398167854,3.2193309958384953e-07,0.0057752326329642304,0.9999999999999998,3.8732159319802566,3.8732159319802566,3.8732159319802566,133740.8401352831,3.392340584336051,0.0,0.4859833592,1.2499999999999998,1.2499999999999998,44.33815863376311,432841253.2382611,0.002770905726070326,0.8304171741162564,0.0023010077027858736
Bangladesh,3319.353556000001,3319.353556,162951560,0.086,0.35035,1358.779752,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2897089076246591,1.0,0.14815265559800003,1.0751731130415736,65.19749437550918,10624033416.58045,5.04495570375282e-06,822.0834020574197,14.397243094659675,0.08737927799999998,16596.767780000002,65.1974943755092,70.09859299022672,70.09859299022672,65.19749437550918,5.04495570375282e-06,0.013575027444594432,1.0,14.397243094659679,14.805940720272126,14.397243094659679,57287.737253500105,3.382508855350087,3.2,0.13804606460000002,2.3566042902633697,2.0549589411096587,65.64614965840383,10697142494.830372,0.019776787422883316,0.9931655506799825,0.01964162397152886
Belarus,16752.098769999997,16742.2555,9507120,0.096,0.77046,4989.254611,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3864445367538237,1.0,0.43562942058399995,1.1068302153231997,63.86821063713781,607202742.7125456,4.7552325749697066e-07,4.520856671814599,9.343654525468475,0.172373852,83760.49385,63.86821063713782,70.69126533181074,70.69126533181074,63.86821063713781,4.7552325749697066e-07,0.0045250089838210225,0.9999999999999998,9.343654525468475,9.343654525468475,9.343654525468475,216746.48205301925,3.394055084519646,3.2000000000000006,0.4684550397999999,1.8799999999999992,1.6393599999999995,70.1462943095107,666889237.5558352,0.004187313797070617,0.9105001378309205,0.003812549789374112
Belgium,42094.579050000015,41945.69212,11348159,0.086,0.97897,41096.1573,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2166915174374668,1.0,0.48314774690999995,1.0512778945961865,27.297725643582375,309778930.9417501,4.7921310011271834e-08,0.5438186454962046,5.542403422575386,0.5792287,210472.89525000003,27.297725643582375,28.697495541849605,28.697495541849605,27.297725643582375,4.7921310011271834e-08,0.00045658037883642636,1.0,5.542403422575387,5.542403422575386,5.542403422575386,971301.9583737914,3.399388516609842,0.0,0.5101755720000001,1.54,1.54,28.174725053507814,319731259.68849015,0.0006693195582272441,0.968872831651067,0.0006484855356590712
