country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,115.13886248727134,331150997.53850365,1.5911344049193143e-06,4.576263253122844,51.27136116934764,0.086087198,56795.852,115.13886248727138,128.76525839369117,128.76525839369117,115.13886248727134,1.5911344049193143e-06,0.004684841967579156,1.0000000000000002,51.27136116934764,53.025497563416984,51.27136116934764,306540.6750967944,3.3937034201181033,0.0,0.19179090180000005,2.1059999999999994,2.1059999999999994,131.07430607446497,376982942.7750748,0.011539073845961935,0.8784243528389118,0.010136203475499527
Algeria,13921.18002,13974.66622,40606052,0.094,0.71304,3843.752322,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2889104503291931,1.0,0.14544458210878927,1.216243465076183,57.81974373705295,2347831520.8134465,7.907242270474546e-07,32.10818908114875,75.19896269952322,0.15218446000000002,69605.90009999998,57.81974373705295,70.3228854725702,70.32288547257022,57.81974373705295,7.907242270474546e-07,0.008855015927648233,0.9999999999999998,75.19896269952321,77.03533419021299,75.19896269952322,240925.51868819213,3.388228573864774,2.4000000000000004,0.15626269645967916,0.9503924000000001,0.8591547296000002,88.37586137942027,3588594822.717531,0.00634830246088724,0.6542481491503425,0.004153365135282041
Angola,5984.6404219999995,6024.726138,28813463,0.054000000000000006,0.44819,3110.808183,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.43239739052511456,1.0,0.12735853573367692,1.351790414097182,8.684839173083096,250240292.17458028,4.138653849775623e-07,11.924894957031746,1.311104804971658,0.18571632000000005,29923.20211,8.684839173083096,11.740082342149421,11.740082342149421,8.684839173083096,4.138653849775623e-07,0.0015207822274710043,0.9999999999999998,1.311104804971658,1.311104804971658,1.311104804971658,69203.0127047263,3.398591931227176,0.0,0.13004843279721207,3.0999999999999983,3.0999999999999983,13.037344759671923,375651050.85105085,0.0021784675169030437,0.6661509174742147,0.001451188135072737
Antigua and Barbuda,21013.01763000001,20777.613080000006,100963,0.0103,0.23393000000000005,14353.37881,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.4005106416086056,1.0,0.13901490701349917,1.3216681498414258,2072.1159773448508,209207045.42066818,1.7441005433832052e-05,1.7608962316159857,96.30090301724732,0.15300000000000002,105065.08815000007,2072.1159773448508,2738.6496900342263,2738.6496900342263,2072.1159773448508,1.7441005433832052e-05,0.1650964983948586,0.9999999999999998,96.30090301724732,100.28788139081175,96.30090301724732,262327.8316102115,3.242303318966353,1.6000000000000003,0.16390495997237436,1.1779571109442395,1.1024406459462304,3615.5261483439735,365034366.5152526,0.1720612532672192,0.5731160258082896,0.09861106166810224
Argentina,18489.434889999997,10405.0,43847430,0.05,0.91893,12449.21685,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2695495148851759,1.0,0.1541967379,1.1979538860660952,80.21683341862222,3517301988.1446986,6.002406755108275e-07,26.31901100261372,25.73694188730658,0.050750804000000004,92447.17444999999,80.21683341862222,96.09606732175509,96.0960673217551,80.21683341862222,6.002406755108275e-07,0.0030324152141462564,0.9999999999999998,25.73694188730658,25.73694188730658,25.73694188730658,342969.17391738243,3.395921114217648,3.2000000000000006,0.1616266216,2.289462949999999,1.9964116923999993,102.66781931497066,4501720020.665824,0.005552782977185447,0.7813240210404009,0.004338522723699222
Armenia,8190.239289,8174.366731999998,2924816,0.079,0.62558,3606.152057,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.3666957212217474,1.0,0.3524222720091001,1.289724411382942,57.62909104341974,168554487.54925075,1.5082084065594337e-06,4.411232078839537,9.333500131045627,0.020931459799999996,40951.19644499999,57.629091043419734,74.3256455245085,74.3256455245085,57.62909104341974,1.5082084065594337e-06,0.011016746984863712,0.9999999999999998,9.333500131045627,9.3423893408999,9.333500131045627,111676.23202299677,3.385673519640875,1.6000000000000003,0.40256331958,1.2499999999999998,1.1699999999999997,76.06659743298187,222480801.2375443,0.009287469480304933,0.7576136305320295,0.007036313471429241
Australia,44260.57597000001,44414.02948000001,24127159,0.073,0.89554,49927.81951,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.27360239086009513,1.0,0.22769110058000006,1.201782492156731,101.34305170093366,2445119921.9336476,1.9854825289675966e-07,4.79040526681233,7.248609854288302,0.6593659199999999,221302.87985000003,101.34305170093366,121.79230523591653,121.79230523591652,101.34305170093366,1.9854825289675966e-07,0.0012700219247559535,0.9999999999999998,7.2486098542883015,7.248609854288302,7.2486098542883015,808848.4868656058,3.398306062937593,3.9999999999999996,0.2823365920000001,2.8543999999999987,2.3976959999999994,125.85247540618013,3036462684.6684976,0.0028434441407062445,0.8052527482980053,0.0022896912089355637
Austria,44438.72481999998,44143.70016,8747358,0.079,0.66032,44176.51522,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.23227851820729006,1.0,0.4837075332999999,1.1627453167024924,114.37189980015123,1000451952.6920512,2.027582235217131e-07,1.7735987685884451,29.38574605851633,0.64525414,222193.62409999996,114.37189980015123,132.98539085499254,132.98539085499254,114.37189980015123,2.027582235217131e-07,0.0021940994067728434,0.9999999999999998,29.385746058516332,29.484893061374812,29.38574605851633,956582.7516675899,3.397133253798615,3.9999999999999996,0.4944901699999999,1.528,1.2835199999999998,129.24867089861158,1130584395.3743372,0.0029084693906527726,0.8848980728774352,0.0025736989588116465
Azerbaijan,16001.323400000005,15994.00974,9762274,0.084,0.54895,3876.936433,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.5982212831852317,1.0,0.43154867302399996,1.5084382783151649,41.326689345628544,403442464.9049066,4.6880907614077763e-07,4.576642654973135,4.3466854404928075,0.0571493,80006.617,41.326689345628544,62.3387601249856,62.3387601249856,41.326689345628544,4.6880907614077763e-07,0.0064812083916865725,0.9999999999999998,4.346685440492808,4.3466854404928075,4.3466854404928075,133740.84013528307,3.39139388940095,0.0,0.4859833592,1.2499999999999998,1.2499999999999998,64.56661714420528,630317007.8148295,0.004035079819973219,0.6400627936465699,0.0025827044621589573
Bangladesh,3319.353556000001,3319.353556,162951560,0.086,0.35035,1358.779752,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2897089076246591,1.0,0.14815265559800003,1.2169977389506987,83.09657141190408,13540715942.221169,7.37777454326909e-06,1202.2198711539859,18.45963445999874,0.08737927799999998,16596.767780000002,83.0965714119041,101.12833952284252,101.12833952284254,83.09657141190408,7.37777454326909e-06,0.01733380638164797,1.0,18.45963445999874,18.868332085611186,18.45963445999874,57287.737253500105,3.3776991960353993,3.2,0.13804606460000002,2.3566042902633697,2.0549589411096583,96.00133683099119,15643567598.69547,0.028921696713343773,0.8655772320982807,0.02503396218872205
Belarus,16752.098769999997,16742.2555,9507120,0.096,0.77046,4989.254611,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.3864445367538237,1.0,0.43562942058399995,1.308380406754342,71.75206877541122,682155528.0960875,6.374527873814006e-07,6.06034014396946,10.507445477712452,0.172373852,83760.49385,71.75206877541122,93.87900092983807,93.87900092983807,71.75206877541122,6.374527873814006e-07,0.005088617633931036,0.9999999999999998,10.507445477712452,10.507445477712452,10.507445477712452,216746.48205301928,3.393321946203818,3.2000000000000006,0.4684550397999999,1.8799999999999992,1.6393599999999995,94.03315216892105,893984461.6481926,0.005613216198158857,0.7630507658247581,0.004283168918745053
Belgium,42094.579050000015,41945.69212,11348159,0.086,0.97897,41096.1573,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2166915174374668,1.0,0.48314774690999995,1.1480208379739567,27.427868115601676,311255808.40687823,5.300029462451941e-08,0.6014557704458915,5.568836213634269,0.5792287,210472.89525000003,27.427868115601676,31.48776413791221,31.48776413791221,27.427868115601676,5.300029462451941e-08,0.00045875789873802883,1.0,5.568836213634268,5.568836213634269,5.568836213634269,971301.9583737914,3.3993855736493783,0.0,0.5101755720000001,1.54,1.54,31.16084949366999,353618274.6292365,0.0007402580141413715,0.880202836613083,0.0006515772038728028
Belize,7846.015831999998,7831.454486,366954,0.0321,0.43845,4810.565902,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.9615481265045698,1.0,0.15088172973340003,1.8516600728709784,109.2592110914799,40093104.54686292,4.819873350696595e-06,1.7686718055315183,9.076517149998145,0.2545334,39230.07916,109.2592110914799,202.31091877147531,202.31091877147531,109.2592110914799,4.819873350696595e-06,0.043664397924262056,1.0,9.076517149998145,9.076517149998145,9.076517149998145,40798.87223389389,3.350817834041937,0.0,0.19982794680000004,1.5420137719325504,1.5420137719325504,227.91662984218993,83634918.98711097,0.029048708888991952,0.47938235646574473,0.013925438519492388
Benin,2009.961384,2009.961384,10872298,0.032,0.44395,789.4404107,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.3302533219458435,1.0,0.08277983833600004,1.255298588167888,5.050598347204417,54911610.309113875,1.2019257871680913e-06,13.067695331976061,0.6902178326683764,0.08237205599999997,10049.806919999999,5.050598347204417,6.340008974648772,6.3400089746487716,5.050598347204417,1.2019257871680913e-06,0.0015758525854976618,0.9999999999999998,0.6902178326683764,0.6902178326683764,0.6902178326683764,30430.60054865402,3.3982082725999763,1.6000000000000003,0.07731285760000003,3.3937396016581673,3.1765402671520437,7.369428371204604,80122621.34139107,0.0036664527139017933,0.6853446553519927,0.002512783771573403
